method,source_index,image_id,snr_db,seed,N,E,diagnostic_only,header_ok,normalized_latent,psnr_db,lpips_alex,dino_cosine
Dc_F_representation_reference,0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,not_a_wireless_method,not_a_wireless_method,True,True,0.0,19.661914825439453,0.05764181911945343,0.9154562950134277
actual_RX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,4084,8168,False,True,0.894218385219574,16.433656692504883,0.13696834444999695,0.7336640357971191
actual_RX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,4084,8168,True,True,0.840865969657898,16.700498580932617,0.13846643269062042,0.8267906904220581
oracle_TX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,4084,8168,True,True,0.894218385219574,16.433656692504883,0.13696834444999695,0.7336640357971191
oracle_TX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,4084,8168,True,True,0.840865969657898,16.700498580932617,0.13846643269062042,0.8267906904220581
Dc_F_representation_reference,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,not_a_wireless_method,not_a_wireless_method,True,True,0.0,19.661914825439453,0.05764181911945343,0.9154562950134277
actual_RX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,4084,8168,False,True,0.8963469862937927,16.340194702148438,0.14657160639762878,0.7099884748458862
actual_RX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,4084,8168,True,True,0.840865969657898,16.700498580932617,0.13846643269062042,0.8267906904220581
oracle_TX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,4084,8168,True,True,0.8963469862937927,16.340194702148438,0.14657160639762878,0.7099884748458862
oracle_TX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,4084,8168,True,True,0.840865969657898,16.700498580932617,0.13846643269062042,0.8267906904220581
Dc_F_representation_reference,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,not_a_wireless_method,not_a_wireless_method,True,True,0.0,19.661914825439453,0.05764182657003403,0.9154562950134277
actual_RX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,False,True,0.8896604776382446,16.249225616455078,0.15425069630146027,0.7664024829864502
actual_RX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,True,True,0.840865969657898,16.700498580932617,0.13846643269062042,0.8267906904220581
oracle_TX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,True,True,0.8896604776382446,16.249225616455078,0.15425069630146027,0.7664024829864502
oracle_TX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,True,True,0.840865969657898,16.700498580932617,0.13846643269062042,0.8267906904220581
Dc_F_representation_reference,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,not_a_wireless_method,not_a_wireless_method,True,True,0.0,19.661914825439453,0.05764182657003403,0.9154562950134277
actual_RX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,False,True,0.8475049734115601,16.69438362121582,0.13187973201274872,0.8228404521942139
actual_RX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,True,True,0.8298695683479309,16.809965133666992,0.13193507492542267,0.8379230499267578
oracle_TX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,True,True,0.8475049734115601,16.69438362121582,0.13187973201274872,0.8228404521942139
oracle_TX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,True,True,0.8298695683479309,16.809965133666992,0.13193507492542267,0.8379230499267578
Dc_F_representation_reference,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,not_a_wireless_method,not_a_wireless_method,True,True,0.0,19.661914825439453,0.05764181911945343,0.9154562950134277
actual_RX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,False,True,0.8477252721786499,16.67304801940918,0.1363576054573059,0.8106784224510193
actual_RX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,True,True,0.8298695683479309,16.809965133666992,0.13193507492542267,0.8379230499267578
oracle_TX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,True,True,0.8477252721786499,16.67304801940918,0.1363576054573059,0.8106784224510193
oracle_TX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,True,True,0.8298695683479309,16.809965133666992,0.13193508982658386,0.8379230499267578
