step,method,source_index,image_id,snr_db,noise_count,mse,lpips_alex,normalized_latent,utility,U_image
2500,H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,1,3,0.012284923034409681,0.26582656304041546,0.7448960145314535,0.04631654048959414,0.03886757977306843
2500,H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,4,3,0.00518962275236845,0.12352765848239262,0.5564369956652323,0.023106758172313373,0.017542388290166855
2500,H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,7,3,0.004921905075510343,0.11853547394275665,0.5253092050552368,0.022028544917702675,0.016775452842315037
2500,H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,13,3,0.004716618141780297,0.11491267879803975,0.5011928280194601,0.021219815437992413,0.01620788685977459
2500,H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,19,3,0.004661865221957366,0.11375550925731659,0.4957245389620463,0.02099466199676196,0.01603741633395354
2500,H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,1,3,0.012571663906176886,0.22913490235805511,0.7623542149861654,0.043108696738878884,0.03548515463868777
2500,H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,4,3,0.010208336325983206,0.1872575879096985,0.6498856345812479,0.03543295214573542,0.0289340956757466
2500,H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,7,3,0.00982196411738793,0.18310301005840302,0.6179434458414713,0.034311700612306595,0.02813226543366909
2500,H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,13,3,0.009551273348430792,0.1800034443537394,0.5921925107638041,0.033473542581001915,0.027551618094245594
2500,H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,19,3,0.00947541929781437,0.17769718170166016,0.5851860642433167,0.03309699892997742,0.027245137219627697
2500,H8-V,2,n01484850/ILSVRC2012_val_00029481_n01484850,1,3,0.007062752731144428,0.18096608916918436,0.5500083565711975,0.030659444630146027,0.02515936146179835
