step,method,source_index,image_id,snr_db,noise_count,mse,lpips_alex,normalized_latent,utility,U_image
0,H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,1,3,0.023116048735876877,0.33542617162068683,0.894797146320343,0.06560663630565007,0.05665866409738859
0,H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,4,3,0.007516756653785706,0.15857872366905212,0.677435040473938,0.030148979276418686,0.023374630138278008
0,H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,7,3,0.007516756653785706,0.15857872366905212,0.677435040473938,0.030148979276418686,0.023374630138278008
0,H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,13,3,0.007516756653785706,0.15857872366905212,0.677435040473938,0.030148979276418686,0.023374630138278008
0,H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,19,3,0.007516756653785706,0.15857872366905212,0.677435040473938,0.030148979276418686,0.023374630138278008
0,H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,1,3,0.017509722771743935,0.2642378807067871,0.8961515227953593,0.05289502566059431,0.04393351078033447
0,H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,4,3,0.013178151100873947,0.214496910572052,0.8006659746170044,0.042634498327970505,0.03462783992290497
0,H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,7,3,0.013178151100873947,0.214496910572052,0.8006659746170044,0.042634498327970505,0.03462783992290497
0,H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,13,3,0.013178151100873947,0.214496910572052,0.8006659746170044,0.042634498327970505,0.03462783992290497
0,H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,19,3,0.013178151100873947,0.214496910572052,0.8006659746170044,0.042634498327970505,0.03462783992290497
0,H8-V,2,n01484850/ILSVRC2012_val_00029481_n01484850,1,3,0.010613618729015192,0.21719962358474731,0.6384871999422709,0.038718453918894134,0.03233358139793078
0,H8-V,2,n01484850/ILSVRC2012_val_00029481_n01484850,4,3,0.0059816160549720125,0.15454218784968057,0.5300513704617819,0.0267363494882981,0.021435835709174473
0,H8-V,2,n01484850/ILSVRC2012_val_00029481_n01484850,7,3,0.005690766032785177,0.15144124627113342,0.5234334468841553,0.02606922574341297,0.020834891125559807
0,H8-V,2,n01484850/ILSVRC2012_val_00029481_n01484850,13,3,0.005690766032785177,0.15144124627113342,0.5234334468841553,0.02606922574341297,0.020834891125559807
