step,method,source_index,image_id,snr_db,noise_count,mse,lpips_alex,normalized_latent,utility,U_image
5000,H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,1,3,0.011904500735302767,0.25766195356845856,0.7123526334762573,0.04479422296086947,0.03767069677511851
5000,H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,4,3,0.0049634988730152445,0.12445636093616486,0.5407564838727316,0.02281670148173968,0.017409135897954304
5000,H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,7,3,0.004649059226115544,0.11896560837825139,0.5109321673711141,0.02165494238336881,0.01654562105735143
5000,H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,13,3,0.004376142130543788,0.11458232998847961,0.48796579241752625,0.020714033395051956,0.015834375595053036
5000,H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,19,3,0.004291632367918889,0.11293657620747884,0.48459245761235553,0.020431214943528175,0.015585290268063545
5000,H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,1,3,0.012626548608144125,0.23240253825982413,0.730814536412557,0.043174948543310165,0.03586680317918459
5000,H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,4,3,0.009688082771996656,0.18282586336135864,0.6245947480201721,0.03421661754449209,0.02797066979110241
5000,H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,7,3,0.009342293565471968,0.17901766300201416,0.5941933194796244,0.03318599363168081,0.027244059989849728
5000,H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,13,3,0.009035617423554262,0.17462224264939627,0.5692144831021627,0.0321899875998497,0.026497842123111088
5000,H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,19,3,0.008937306702136993,0.17009424169858298,0.5636522173881531,0.03158325205246607,0.02594673012693723
5000,H8-V,2,n01484850/ILSVRC2012_val_00029481_n01484850,1,3,0.00705182986954848,0.17152522504329681,0.5190892120202383,0.029395244394739468,0.024204352249701817
5000,H8-V,2,n01484850/ILSVRC2012_val_00029481_n01484850,4,3,0.003908841327453653,0.10273042569557826,0.40343691905339557,0.01821625294784705,0.014181884316106638
5000,H8-V,2,n01484850/ILSVRC2012_val_00029481_n01484850,7,3,0.003231740090996027,0.09164164712031682,0.37352431813875836,0.01613114836315314,0.01239590502033631
5000,H8-V,2,n01484850/ILSVRC2012_val_00029481_n01484850,13,3,0.002845106724028786,0.08539758622646332,0.3522162139415741,0.01490702759474516,0.011384865579505762
5000,H8-V,2,n01484850/ILSVRC2012_val_00029481_n01484850,19,3,0.002676759148016572,0.0816180482506752,0.34908509254455566,0.014329415125151476,0.01083856417487065
5000,H8-V,3,n01491361/ILSVRC2012_val_00049000_n01491361,1,3,0.00395451959532996,0.1558909465869268,0.44382307926813763,0.02398184376458327,0.019543613617618878
5000,H8-V,3,n01491361/ILSVRC2012_val_00049000_n01491361,4,3,0.0013616683039193351,0.07717377940813701,0.33429569999376935,0.012422003783285618,0.009079046547412872
5000,H8-V,3,n01491361/ILSVRC2012_val_00049000_n01491361,7,3,0.0012725139580046136,0.07250886658827464,0.3065044979254405,0.011588445864617825,0.008523400872945786
5000,H8-V,3,n01491361/ILSVRC2012_val_00049000_n01491361,13,3,0.0012116051123787959,0.06932614495356877,0.2850898007551829,0.010995117947459221,0.008144219716389975
5000,H8-V,3,n01491361/ILSVRC2012_val_00049000_n01491361,19,3,0.0011649707642694314,0.0679016187787056,0.2814553876717885,0.010769686661660671,0.007955132673184076
5000,H8-V,4,n01494475/ILSVRC2012_val_00027283_n01494475,1,3,0.006068617105484009,0.15056211749712625,0.5292465289433798,0.02641729327539603,0.02112482860684395
5000,H8-V,4,n01494475/ILSVRC2012_val_00027283_n01494475,4,3,0.003268512897193432,0.08732026815414429,0.412776380777359,0.01612830286224683,0.012000539960960547
5000,H8-V,4,n01494475/ILSVRC2012_val_00027283_n01494475,7,3,0.003072430224468311,0.0812752718726794,0.3827298780282338,0.015027256682515144,0.011199958001573881
5000,H8-V,4,n01494475/ILSVRC2012_val_00027283_n01494475,13,3,0.002901556979243954,0.076206440726916,0.35892947514851886,0.014111495887239775,0.010522201036413511
5000,H8-V,4,n01494475/ILSVRC2012_val_00027283_n01494475,19,3,0.0028370913739005723,0.07463692625363667,0.35484273235003155,0.013849211235841116,0.010300784061352411
5000,H8-V,5,n01496331/ILSVRC2012_val_00041248_n01496331,1,3,0.004658533493056893,0.14809517562389374,0.38504916429519653,0.023318542788426082,0.01946805107096831
5000,H8-V,5,n01496331/ILSVRC2012_val_00041248_n01496331,4,3,0.0013500297985350092,0.06842412302891414,0.2678101758162181,0.010870543929437796,0.008192442047099272
5000,H8-V,5,n01496331/ILSVRC2012_val_00041248_n01496331,7,3,0.0012485231660927336,0.06398424630363782,0.24133614202340445,0.010060309122006098,0.007646947788695495
5000,H8-V,5,n01496331/ILSVRC2012_val_00041248_n01496331,13,3,0.0011861045689632495,0.060435778150955834,0.2220767339070638,0.00945045022914807,0.007229682523757219
5000,H8-V,5,n01496331/ILSVRC2012_val_00041248_n01496331,19,3,0.0011575295745084684,0.059640189011891685,0.2205774188041687,0.009327322555085024,0.007121548522263765
5000,H8-V,6,n01498041/ILSVRC2012_val_00030470_n01498041,1,3,0.015043335656325022,0.2810460776090622,0.6889089147249857,0.050037032614151634,0.043147943913936615
5000,H8-V,6,n01498041/ILSVRC2012_val_00030470_n01498041,4,3,0.0078226529682676,0.15261433025201163,0.5372771223386129,0.02845685804883639,0.02308408667643865
