complex_uses,scope,family,transmissions,reliably_accepted_correct_rate,actual_source_correct_rate,all_transmission_lpips,not_reliably_correct_count,not_reliably_correct_mean_lpips,reliably_correct_mean_lpips,not_reliably_correct_contribution_to_total_lpips,not_reliably_correct_mean_source_BER,source_BER_measurable_frames_in_failure_group,header_failed_frames,truth_used_for_offline_explanation_only
4204,snr_1,raw,300,0.16666666666666663,0.16666666666666666,0.18613206322615344,250,0.18694588864594697,0.18206293612718583,0.15578824053828916,0.005679738562091503,250,0,True
4204,snr_1,arithmetic,300,0.8166666666666667,0.8166666666666667,0.19948679447794954,55,0.3075817736712369,0.1752205746590483,0.05638999183972677,0.24245395127748068,55,0,True
4204,snr_4,raw,300,0.4633333333333334,0.4633333333333333,0.14019549380987884,161,0.14537249598073662,0.134199110000468,0.07801657284299533,0.0017676471737177234,161,0,True
4204,snr_4,arithmetic,300,0.9733333333333334,0.9733333333333334,0.14087910424917938,8,0.3373652193695307,0.13549592301300536,0.008996405849854151,0.35153793238993714,8,0,True
4204,snr_7,raw,300,1.0,1.0,0.1358956206962466,0,,0.1358956206962466,0.0,,0,0,True
4204,snr_7,arithmetic,300,1.0,1.0,0.1358956206962466,0,,0.1358956206962466,0.0,,0,0,True
4204,snr_13,raw,300,1.0,1.0,0.1358956206962466,0,,0.1358956206962466,0.0,,0,0,True
4204,snr_13,arithmetic,300,1.0,1.0,0.1358956206962466,0,,0.1358956206962466,0.0,,0,0,True
4204,snr_19,raw,300,1.0,1.0,0.1358956206962466,0,,0.1358956206962466,0.0,,0,0,True
4204,snr_19,arithmetic,300,1.0,1.0,0.1358956206962466,0,,0.1358956206962466,0.0,,0,0,True
4204,primary_1_4_7,raw,900,0.5433333333333333,0.5433333333333333,0.1540743925774263,411,0.1706604477235653,0.14013396585950577,0.0779349377937615,0.00414726480654849,411,0,True
4204,primary_1_4_7,arithmetic,900,0.9299999999999999,0.93,0.15875383980779184,63,0.3113637985218139,0.14726706872179018,0.021795465896526974,0.256305885386999,63,0,True
4204,high_13_19,raw,600,1.0,1.0,0.1358956206962466,0,,0.1358956206962466,0.0,,0,0,True
4204,high_13_19,arithmetic,600,1.0,1.0,0.1358956206962466,0,,0.1358956206962466,0.0,,0,0,True
4498,snr_1,raw,300,0.39,0.39,0.1811049344452719,183,0.18416955034996643,0.17631156085074967,0.11234342571347952,0.0032733311903996565,183,0,True
4498,snr_1,arithmetic,300,0.8966666666666667,0.8966666666666666,0.1939302665553987,31,0.35954337783398166,0.17484474072032036,0.03715281570951144,0.2781151170145478,31,0,True
4498,snr_4,raw,300,0.7733333333333333,0.7733333333333333,0.13696459986890355,68,0.1405790526255527,0.1359051913022995,0.03186458526179194,0.0011763549759526454,68,0,True
4498,snr_4,arithmetic,300,0.9966666666666667,0.9966666666666667,0.13632295162727434,1,0.3081646263599396,0.1357482303070982,0.0010272154211997985,0.2928459119496855,1,0,True
4498,snr_7,raw,300,1.0,1.0,0.1358956206962466,0,,0.1358956206962466,0.0,,0,0,True
4498,snr_7,arithmetic,300,1.0,1.0,0.1358956206962466,0,,0.1358956206962466,0.0,,0,0,True
4498,snr_13,raw,300,1.0,1.0,0.1358956206962466,0,,0.1358956206962466,0.0,,0,0,True
4498,snr_13,arithmetic,300,1.0,1.0,0.1358956206962466,0,,0.1358956206962466,0.0,,0,0,True
4498,snr_19,raw,300,1.0,1.0,0.1358956206962466,0,,0.1358956206962466,0.0,,0,0,True
4498,snr_19,arithmetic,300,1.0,1.0,0.1358956206962466,0,,0.1358956206962466,0.0,,0,0,True
4498,primary_1_4_7,raw,900,0.721111111111111,0.7211111111111111,0.15132171833680735,251,0.17236017248040414,0.14318512050931462,0.04806933699175715,0.0027052260805096296,251,0,True
4498,primary_1_4_7,arithmetic,900,0.9644444444444444,0.9644444444444444,0.15538294629297322,32,0.35793779185041785,0.14791548654891998,0.012726677043570413,0.27857545435627085,32,0,True
4498,high_13_19,raw,600,1.0,1.0,0.1358956206962466,0,,0.1358956206962466,0.0,,0,0,True
4498,high_13_19,arithmetic,600,1.0,1.0,0.1358956206962466,0,,0.1358956206962466,0.0,,0,0,True
