family,snr_db,mode,frames,source_images,raw_payload_bits,accepted_correct_probability,source_packet_BLER,source_index_goodput,psnr_db,lpips,dino_report_only,actual_payload_bits_mean,header_failure_probability,no_accepted_body_probability,body_CRC_failure_given_header_accept,success_lpips_mean,failure_lpips_mean,failure_contribution_to_mean_lpips,failure_frames
arithmetic,1.0,7,3000,1000,1860,0.985,0.015000000000000013,1832.1,17.77588376235962,0.23203567957505583,0.8350712011953195,1540.084,0.0,0.015,0.015,0.22944861333911795,0.4019196957349777,0.006028795436024666,45
arithmetic,1.0,8,3000,1000,3060,0.07466666666666667,0.9253333333333333,228.48000000000002,14.827523135026295,0.39525582890585065,0.6491109267013768,2484.842,0.0003333333333333333,0.9253333333333333,0.9253084361453818,0.11114105450854238,0.4181815167534721,0.3869572968358795,2776
arithmetic,1.0,9,3000,1000,5088,0.0,1.0,0.0,10.582837259054184,0.6492074477933347,0.3313478737212718,3988.694,0.0,1.0,1.0,,0.6492074477933347,0.6492074477933347,3000
arithmetic,4.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813169911384584,0.2299568111412227,0.8368089831024408,1540.084,0.0,0.0,0.0,0.2299568111412227,,0.0,0
arithmetic,4.0,8,3000,1000,3060,0.9976666666666667,0.0023333333333332984,3052.86,19.388708264350893,0.17428280931462845,0.8852851627071698,2484.842,0.0,0.0023333333333333335,0.0023333333333333335,0.17379677099774124,0.3820989068065371,0.0008915641158819199,7
arithmetic,4.0,9,3000,1000,5088,0.18066666666666667,0.8193333333333334,919.232,16.620760306517283,0.320486782885467,0.7180886410710712,3988.694,0.0,0.8193333333333334,0.8193333333333334,0.0890493986275858,0.37151976183899493,0.30439852486674984,2458
arithmetic,5.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813169911384584,0.2299568111412227,0.8368089831024408,1540.084,0.0,0.0,0.0,0.2299568111412227,,0.0,0
arithmetic,5.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396638371467592,0.17388999927788973,0.8856134079694747,2484.842,0.0,0.0,0.0,0.17388999927788973,,0.0,0
arithmetic,5.0,9,3000,1000,5088,0.6573333333333333,0.3426666666666667,3344.512,19.754722968419394,0.1833689520166566,0.8636311321121951,3988.694,0.0,0.3426666666666667,0.3426666666666667,0.11881726469493209,0.3071976751668908,0.10526640335718791,1028
arithmetic,6.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813169911384584,0.2299568111412227,0.8368089831024408,1540.084,0.0,0.0,0.0,0.2299568111412227,,0.0,0
arithmetic,6.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396638371467592,0.17388999927788973,0.8856134079694747,2484.842,0.0,0.0,0.0,0.17388999927788973,,0.0,0
arithmetic,6.0,9,3000,1000,5088,0.9503333333333334,0.04966666666666664,4835.296,20.82899401187897,0.13851643035995465,0.9110711753815413,3988.694,0.0,0.049666666666666665,0.049666666666666665,0.13054843732426666,0.2909778273045617,0.014451898756126564,149
arithmetic,7.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813169911384584,0.2299568111412227,0.8368089831024408,1540.084,0.0,0.0,0.0,0.2299568111412227,,0.0,0
arithmetic,7.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396638371467592,0.17388999927788973,0.8856134079694747,2484.842,0.0,0.0,0.0,0.17388999927788973,,0.0,0
arithmetic,7.0,9,3000,1000,5088,0.9953333333333333,0.004666666666666708,5064.255999999999,20.963846021652223,0.13293247468210756,0.9165793014367422,3988.694,0.0,0.004666666666666667,0.004666666666666667,0.1324565337549169,0.2344438752957753,0.0010940714180469513,14
arithmetic,13.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813169911384584,0.2299568111412227,0.8368089831024408,1540.084,0.0,0.0,0.0,0.2299568111412227,,0.0,0
arithmetic,13.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396638371467592,0.17388999927788973,0.8856134079694747,2484.842,0.0,0.0,0.0,0.17388999927788973,,0.0,0
arithmetic,13.0,9,3000,1000,5088,1.0,0.0,5088.0,20.97161380958557,0.13262774995900692,0.9169064673781395,3988.694,0.0,0.0,0.0,0.13262774995900692,,0.0,0
arithmetic,19.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813169911384584,0.2299568111412227,0.8368089831024408,1540.084,0.0,0.0,0.0,0.2299568111412227,,0.0,0
arithmetic,19.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396638371467592,0.17388999927788973,0.8856134079694747,2484.842,0.0,0.0,0.0,0.17388999927788973,,0.0,0
arithmetic,19.0,9,3000,1000,5088,1.0,0.0,5088.0,20.97161380958557,0.13262774995900692,0.9169064673781395,3988.694,0.0,0.0,0.0,0.13262774995900692,,0.0,0
raw,1.0,7,3000,1000,1860,0.8306666666666667,0.16933333333333334,1545.04,17.77830897363027,0.23112001373743019,0.8361968311667443,1860.0,0.0,0.16933333333333334,0.16933333333333334,0.2297077596884215,0.23804784265500822,0.0403094346895814,508
raw,1.0,8,3000,1000,3060,0.0,1.0,0.0,16.403387441476188,0.2854659326647719,0.7527927697362999,3060.0,0.0003333333333333333,1.0,1.0,,0.2854659326647719,0.2854659326647719,3000
raw,1.0,9,3000,1000,5088,0.0,1.0,0.0,9.850650485356649,0.702744976123174,0.04041546683385968,5088.0,0.0003333333333333333,1.0,1.0,,0.702744976123174,0.702744976123174,3000
raw,4.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813169911384584,0.2299568111412227,0.8368089831024408,1860.0,0.0,0.0,0.0,0.2299568111412227,,0.0,0
raw,4.0,8,3000,1000,3060,0.9766666666666667,0.023333333333333317,2988.6,19.393259431838988,0.1739986460134387,0.8853905482888221,3060.0,0.0,0.023333333333333334,0.023333333333333334,0.17372099362542603,0.18562038168311118,0.004331142239272594,70
raw,4.0,9,3000,1000,5088,0.0,1.0,0.0,12.281481617927552,0.55977349203825,0.17380302786671867,5088.0,0.0,1.0,1.0,,0.55977349203825,0.55977349203825,3000
raw,5.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813169911384584,0.2299568111412227,0.8368089831024408,1860.0,0.0,0.0,0.0,0.2299568111412227,,0.0,0
