step,method,snr_db,mse,lpips_alex,normalized_latent,utility,U_image
10000,P4084,1,0.008307385623881903,0.13814774281779926,0.5512414551277955,0.02763457457566013,0.02212216014461592
10000,P4084,4,0.006108507740932206,0.10037249393512805,0.3661945733825366,0.019807702963550885,0.016145757317232588
10000,P4084,7,0.005092291722889058,0.08281813978155454,0.26560850213468074,0.016030190797677885,0.013374105841619894
10000,P4084,13,0.004267896411038237,0.0682977322700123,0.1786611310231189,0.012884281059649463,0.011097669773269444
10000,P4084,19,0.004040923524114381,0.06443011919440081,0.15197200323392948,0.012003655568463728,0.010483935564135512
12500,P4084,1,0.008094153410638683,0.13608686619189878,0.5387254618207613,0.02709009474484871,0.021702840260230005
12500,P4084,4,0.006005489317700266,0.09951745948009193,0.35574602444966635,0.019514695609143623,0.01595723544798481
12500,P4084,7,0.005005607132237249,0.0815464524316291,0.251234012996157,0.015672592596306156,0.013160252515304213
12500,P4084,13,0.00417791028440115,0.06655540823874374,0.15592912941177686,0.012392742484187086,0.010833451229613274
12500,P4084,19,0.003960499178055518,0.06293872742044429,0.1282093236465007,0.011536465233269459,0.01025437202778024
15000,P4084,1,0.00804634973113813,0.13386053728188077,0.5278402206997077,0.026710805765042703,0.021432403691112996
15000,P4084,4,0.005951544627566667,0.09750896153288582,0.34700121969978015,0.01917245305577914,0.015702440935807922
15000,P4084,7,0.004945874747723186,0.07978303893283009,0.2382728765383363,0.015306907492068906,0.012924178781608741
15000,P4084,13,0.004115991459169891,0.0648315179257964,0.1383255035293599,0.01198239836608991,0.010599143366484593
15000,P4084,19,0.00388968131049963,0.06073773619097968,0.11062555036507547,0.011069710533134639,0.009963455039580973
17500,P4084,1,0.00795009395464634,0.1325209409420689,0.518068740695715,0.02638287556078285,0.021202188272494822
17500,P4084,4,0.005911336785075643,0.09697353462750713,0.3407539706627528,0.019016230065375568,0.015608690419389556
17500,P4084,7,0.00489422011958474,0.07924436870900294,0.2300866174325347,0.015119523245841265,0.012818657118361443
17500,P4084,13,0.004041680855919064,0.0640487804642568,0.12679789245749512,0.011714537919033319,0.010446559021559854
17500,P4084,19,0.0038122432016195187,0.05987746833699445,0.09765421407483518,0.01077653224929236,0.00979999013718528
20000,P4084,1,0.007866092034712589,0.1320513475947082,0.5110483468572299,0.026181710391305388,0.02107122701701398
20000,P4084,4,0.005861696254694834,0.0970385996568948,0.33623815621932346,0.01892793785935889,0.015565556378491843
20000,P4084,7,0.00486752274671259,0.079358844610552,0.22424161984274785,0.015045823487918823,0.012803407342638821
20000,P4084,13,0.004021228567503083,0.0641005848677208,0.11804795734584332,0.011611766735247026,0.010431287181253234
20000,P4084,19,0.003795713716778361,0.06000500416196883,0.08751384815946221,0.010671352710497255,0.009796214244677685
