step,method,mse,lpips_alex,normalized_latent,utility,U_image
10000,P4084,0.005563401004571158,0.09081324559977899,0.3027355329804122,0.017672080993000418,0.01464472572817467
12500,P4084,0.005448731864606574,0.08932898275256157,0.2859687904649725,0.017241318133551006,0.014381630296182508
15000,P4084,0.005389888375219501,0.08734435837287456,0.2724130741664519,0.01684845504242306,0.014124324362919044
17500,P4084,0.005321914983369061,0.08653301861596605,0.26267228706466655,0.016601939808065073,0.013975216993798192
20000,P4084,0.005282450664080292,0.08651087617836893,0.25541798568492136,0.016487718236865477,0.013933538432815112
