new_step,arm,region,weight,psnr_db,lpips,mse,dino,frames,registered_selection_score
0,lpips_0p01__conditioned,mechanism,0.01,21.197276501549617,0.19407974392837948,0.009804862748000435,0.7980262850688563,9000,0.01174566018728423
0,lpips_0p01__conditioned,primary,0.01,19.409856190946368,0.2338318379132284,0.015888197440848066,0.7745889630773001,9000,0.01822651581998035
0,lpips_0p01__conditioned,high,0.01,21.343306049982708,0.19109818654569488,0.00949106844155176,0.7987956405133009,6000,0.011402050307008709
0,lpips_0p01__conditioned,snr_1,0.01,16.774899679978688,0.2945562108370165,0.02596105758131792,0.7311952949737509,3000,0.028906619689688086
0,lpips_0p01__conditioned,snr_4,0.01,20.54945148817698,0.20689644420892,0.011271083380328492,0.7960840200781822,3000,0.013340047822417692
0,lpips_0p01__conditioned,snr_7,0.01,20.90521740468343,0.20004285869374872,0.010432451360897783,0.7964875741799673,3000,0.01243287994783527
0,lpips_0p01__conditioned,snr_13,0.01,21.280532943725586,0.1924965324414273,0.009617831096062825,0.7970647935569286,3000,0.011542796420477099
0,lpips_0p01__conditioned,snr_19,0.01,21.406079156239826,0.18969984064996243,0.009364305787040696,0.8005264874696731,3000,0.01126130419354032
0,lpips_0p01__unconditioned,mechanism,0.01,21.197276501549617,0.19407974392837948,0.009804862748000435,0.7980262850688563,9000,0.01174566018728423
0,lpips_0p01__unconditioned,primary,0.01,19.409856190946368,0.2338318379132284,0.015888197440848066,0.7745889630773001,9000,0.01822651581998035
0,lpips_0p01__unconditioned,high,0.01,21.343306049982708,0.19109818654569488,0.00949106844155176,0.7987956405133009,6000,0.011402050307008709
0,lpips_0p01__unconditioned,snr_1,0.01,16.774899679978688,0.2945562108370165,0.02596105758131792,0.7311952949737509,3000,0.028906619689688086
0,lpips_0p01__unconditioned,snr_4,0.01,20.54945148817698,0.20689644420892,0.011271083380328492,0.7960840200781822,3000,0.013340047822417692
0,lpips_0p01__unconditioned,snr_7,0.01,20.90521740468343,0.20004285869374872,0.010432451360897783,0.7964875741799673,3000,0.01243287994783527
0,lpips_0p01__unconditioned,snr_13,0.01,21.280532943725586,0.1924965324414273,0.009617831096062825,0.7970647935569286,3000,0.011542796420477099
0,lpips_0p01__unconditioned,snr_19,0.01,21.406079156239826,0.18969984064996243,0.009364305787040696,0.8005264874696731,3000,0.01126130419354032
0,lpips_0p03__conditioned,mechanism,0.03,21.197276501549617,0.19407974392837948,0.009804862748000435,0.7980262850688563,9000,0.01562725506585182
0,lpips_0p03__conditioned,primary,0.03,19.409856190946368,0.2338318379132284,0.015888197440848066,0.7745889630773001,9000,0.022903152578244917
0,lpips_0p03__conditioned,high,0.03,21.343306049982708,0.19109818654569488,0.00949106844155176,0.7987956405133009,6000,0.015224014037922607
0,lpips_0p03__conditioned,snr_1,0.03,16.774899679978688,0.2945562108370165,0.02596105758131792,0.7311952949737509,3000,0.03479774390642841
0,lpips_0p03__conditioned,snr_4,0.03,20.54945148817698,0.20689644420892,0.011271083380328492,0.7960840200781822,3000,0.017477976706596093
0,lpips_0p03__conditioned,snr_7,0.03,20.90521740468343,0.20004285869374872,0.010432451360897783,0.7964875741799673,3000,0.016433737121710243
0,lpips_0p03__conditioned,snr_13,0.03,21.280532943725586,0.1924965324414273,0.009617831096062825,0.7970647935569286,3000,0.015392727069305643
0,lpips_0p03__conditioned,snr_19,0.03,21.406079156239826,0.18969984064996243,0.009364305787040696,0.8005264874696731,3000,0.01505530100653957
0,lpips_0p03__unconditioned,mechanism,0.03,21.197276501549617,0.19407974392837948,0.009804862748000435,0.7980262850688563,9000,0.01562725506585182
0,lpips_0p03__unconditioned,primary,0.03,19.409856190946368,0.2338318379132284,0.015888197440848066,0.7745889630773001,9000,0.022903152578244917
0,lpips_0p03__unconditioned,high,0.03,21.343306049982708,0.19109818654569488,0.00949106844155176,0.7987956405133009,6000,0.015224014037922607
0,lpips_0p03__unconditioned,snr_1,0.03,16.774899679978688,0.2945562108370165,0.02596105758131792,0.7311952949737509,3000,0.03479774390642841
0,lpips_0p03__unconditioned,snr_4,0.03,20.54945148817698,0.20689644420892,0.011271083380328492,0.7960840200781822,3000,0.017477976706596093
0,lpips_0p03__unconditioned,snr_7,0.03,20.90521740468343,0.20004285869374872,0.010432451360897783,0.7964875741799673,3000,0.016433737121710243
0,lpips_0p03__unconditioned,snr_13,0.03,21.280532943725586,0.1924965324414273,0.009617831096062825,0.7970647935569286,3000,0.015392727069305643
0,lpips_0p03__unconditioned,snr_19,0.03,21.406079156239826,0.18969984064996243,0.009364305787040696,0.8005264874696731,3000,0.01505530100653957
