new_step,arm,region,mse,psnr_db,lpips
0,lpips_0p01__unconditioned,primary,0.015916177329038165,19.337948035664027,0.24167915294567743
0,lpips_0p01__unconditioned,mechanism,0.009516278499957278,21.13444512155321,0.2016030008925332
0,lpips_0p01__conditioned,primary,0.015916177329038165,19.337948035664027,0.24167915294567743
0,lpips_0p01__conditioned,mechanism,0.009516278499957278,21.13444512155321,0.2016030008925332
0,lpips_0p03__unconditioned,primary,0.015916177329038165,19.337948035664027,0.24167915294567743
0,lpips_0p03__unconditioned,mechanism,0.009516278499957278,21.13444512155321,0.2016030008925332
0,lpips_0p03__conditioned,primary,0.015916177329038165,19.337948035664027,0.24167915294567743
0,lpips_0p03__conditioned,mechanism,0.009516278499957278,21.13444512155321,0.2016030008925332
0,lpips_0p1__unconditioned,primary,0.015916177329038165,19.337948035664027,0.24167915294567743
0,lpips_0p1__unconditioned,mechanism,0.009516278499957278,21.13444512155321,0.2016030008925332
0,lpips_0p1__conditioned,primary,0.015916177329038165,19.337948035664027,0.24167915294567743
0,lpips_0p1__conditioned,mechanism,0.009516278499957278,21.13444512155321,0.2016030008925332
1000,lpips_0p01__unconditioned,primary,0.015913558495166298,19.339637022018433,0.24134727449052865
1000,lpips_0p01__unconditioned,mechanism,0.009488892335923284,21.14069130155775,0.200840260328518
1000,lpips_0p01__conditioned,primary,0.014448102067496317,19.66813458283742,0.25316754755874477
1000,lpips_0p01__conditioned,mechanism,0.009043223125368564,21.341508659786648,0.2082040698081255
1000,lpips_0p03__unconditioned,primary,0.016005757844799923,19.300477039019267,0.2385778374804391
1000,lpips_0p03__unconditioned,mechanism,0.009601864505352246,21.07672185897827,0.198142393703262
1000,lpips_0p03__conditioned,primary,0.014685992946486093,19.587249376508925,0.24259338337514136
1000,lpips_0p03__conditioned,mechanism,0.009235953250576535,21.23659639676412,0.19930651158508328
1000,lpips_0p1__unconditioned,primary,0.016231572512317344,19.219107905493843,0.23511333387758998
1000,lpips_0p1__unconditioned,mechanism,0.009859046532850092,20.960485246446396,0.19481413008024295
1000,lpips_0p1__conditioned,primary,0.015301499198992841,19.39904323471917,0.23585686420400936
1000,lpips_0p1__conditioned,mechanism,0.009688222317878777,21.019104332394072,0.19461509288599094
2000,lpips_0p01__unconditioned,primary,0.015906295562680396,19.344124147627088,0.24057731282379893
2000,lpips_0p01__unconditioned,mechanism,0.009445852001210571,21.17483670340644,0.19987483052743807
2000,lpips_0p01__conditioned,primary,0.014179672972208613,19.737391858100892,0.2512617188029819
2000,lpips_0p01__conditioned,mechanism,0.00894347714615934,21.40241721365187,0.20751694864696926
2000,lpips_0p03__unconditioned,primary,0.015944930753515413,19.32562456978692,0.23756204885741075
2000,lpips_0p03__unconditioned,mechanism,0.009499837724336734,21.143852695888942,0.1964054998424318
2000,lpips_0p03__conditioned,primary,0.01441146066729238,19.656216501659816,0.2403410165094667
2000,lpips_0p03__conditioned,mechanism,0.009113895150302495,21.314565582275392,0.19713160838931798
2000,lpips_0p1__unconditioned,primary,0.01616128010015624,19.23935529867808,0.23378697665201292
2000,lpips_0p1__unconditioned,mechanism,0.009774717397651532,21.005343763563367,0.19297675633596048
2000,lpips_0p1__conditioned,primary,0.014997431060441564,19.466146795484754,0.23349870389534366
2000,lpips_0p1__conditioned,mechanism,0.00955948957183864,21.091108847724065,0.1915231077041891
3000,lpips_0p01__unconditioned,primary,0.01586628680350259,19.358762387169733,0.2403671534359455
3000,lpips_0p01__unconditioned,mechanism,0.009419834578810777,21.18128540780809,0.19893949318263265
3000,lpips_0p01__conditioned,primary,0.013944741428713315,19.78753139707777,0.2513334627283944
3000,lpips_0p01__conditioned,mechanism,0.008903466756778977,21.413073320388794,0.20540752884414462
3000,lpips_0p03__unconditioned,primary,0.01594352662388701,19.327926048702665,0.2367421703785658
3000,lpips_0p03__unconditioned,mechanism,0.009501994823028022,21.137406854629518,0.19517389207250543
3000,lpips_0p03__conditioned,primary,0.014206580060094388,19.690535691579182,0.2413230450120237
3000,lpips_0p03__conditioned,mechanism,0.009121591967155432,21.30070690260993,0.19708031314942573
3000,lpips_0p1__unconditioned,primary,0.01613673440310069,19.250303413073222,0.2331891456246376
3000,lpips_0p1__unconditioned,mechanism,0.009743845073389821,21.02193189515008,0.1920562650884191
3000,lpips_0p1__conditioned,primary,0.014736473977617506,19.530845963690016,0.23351915256016784
3000,lpips_0p1__conditioned,mechanism,0.009473704266452438,21.134128941429985,0.19056983174135286
4000,lpips_0p01__unconditioned,primary,0.015834574359339767,19.374315372573005,0.24031825513475472
4000,lpips_0p01__unconditioned,mechanism,0.009371356898466021,21.208873568640815,0.19889093266593086
4000,lpips_0p01__conditioned,primary,0.013838114154124115,19.82365593486362,0.25134434480634
4000,lpips_0p01__conditioned,mechanism,0.008823512107741812,21.45053667810228,0.20675480987462733
4000,lpips_0p03__unconditioned,primary,0.01590960624556626,19.345506332715352,0.23637385551300313
4000,lpips_0p03__unconditioned,mechanism,0.009454596598386869,21.169293305079144,0.19458543269170656
4000,lpips_0p03__conditioned,primary,0.014142445983403983,19.723011848661635,0.23936060859925218
4000,lpips_0p03__conditioned,mechanism,0.009034692303005916,21.34196566157871,0.19636983379721643
4000,lpips_0p1__unconditioned,primary,0.01621505765160287,19.22361896779802,0.2319866547567977
4000,lpips_0p1__unconditioned,mechanism,0.009815030854402317,20.983535182740955,0.19073700069967242
4000,lpips_0p1__conditioned,primary,0.0147345611154257,19.52861499786377,0.23062037093771828
4000,lpips_0p1__conditioned,mechanism,0.00945473681242826,21.139884412553574,0.188227459407515
5000,lpips_0p01__unconditioned,primary,0.015792416512008963,19.381024445427787,0.239743684174286
5000,lpips_0p01__unconditioned,mechanism,0.009324612016078189,21.22090756310357,0.19774977267616325
5000,lpips_0p01__conditioned,primary,0.013652837761651932,19.86290202723609,0.2526554912494289
5000,lpips_0p01__conditioned,mechanism,0.008731427772565642,21.480823947058784,0.20710338992377123
5000,lpips_0p03__unconditioned,primary,0.015874556999187918,19.34551267200046,0.23557812996208669
5000,lpips_0p03__unconditioned,mechanism,0.009418784766846025,21.171017445458308,0.19307258473502265
5000,lpips_0p03__conditioned,primary,0.013921125152006022,19.77702675183614,0.2373822181009584
5000,lpips_0p03__conditioned,mechanism,0.008907864252364056,21.3925364473131,0.19404898487445382
5000,lpips_0p1__unconditioned,primary,0.016196448435528307,19.225103810628255,0.23108097082210913
5000,lpips_0p1__unconditioned,mechanism,0.009796672246690528,20.98811368306478,0.1892943787947297
5000,lpips_0p1__conditioned,primary,0.014708029454341158,19.523124112553067,0.22970602898548045
5000,lpips_0p1__conditioned,mechanism,0.00951462943520811,21.08733374489678,0.1877298596749703
6000,lpips_0p01__unconditioned,primary,0.015789902568988812,19.382728446324666,0.24009373875127898
6000,lpips_0p01__unconditioned,mechanism,0.009303791747920008,21.229779074986777,0.1977272911825114
6000,lpips_0p01__conditioned,primary,0.013603609174929766,19.892941620084976,0.250578491811951
6000,lpips_0p01__conditioned,mechanism,0.008664440065040253,21.52766736878289,0.203166842336456
6000,lpips_0p03__unconditioned,primary,0.01585882519074302,19.356241838667128,0.23514930771870746
6000,lpips_0p03__unconditioned,mechanism,0.009373643186603052,21.197119226455687,0.19242156649629275
6000,lpips_0p03__conditioned,primary,0.01386035482218075,19.8042946656545,0.23730391931202677
6000,lpips_0p03__conditioned,mechanism,0.008845248358621676,21.43477398660448,0.19313543623520268
6000,lpips_0p1__unconditioned,primary,0.016199975768362896,19.22581146981981,0.23022924228260913
6000,lpips_0p1__unconditioned,mechanism,0.009750528286935555,21.009178035524155,0.18885421241737074
6000,lpips_0p1__conditioned,primary,0.01464019613702678,19.551445218192207,0.2278075777573718
6000,lpips_0p1__conditioned,mechanism,0.009387960631607307,21.164970710542466,0.18541195976237457
7000,lpips_0p01__unconditioned,primary,0.015750412606220277,19.399096200731066,0.23994410816993977
7000,lpips_0p01__unconditioned,mechanism,0.00928600546076066,21.24543328391181,0.19768298693415193
7000,lpips_0p01__conditioned,primary,0.013461488745589223,19.930541000366212,0.24908388243781196
7000,lpips_0p01__conditioned,mechanism,0.00861942132010073,21.553419721391467,0.202719494547281
7000,lpips_0p03__unconditioned,primary,0.015814860402606427,19.371525129212273,0.2357458934560418
7000,lpips_0p03__unconditioned,mechanism,0.009360147926102702,21.206082527372573,0.19292248535487386
7000,lpips_0p03__conditioned,primary,0.013734202099472492,19.842312736511232,0.23788638681173324
7000,lpips_0p03__conditioned,mechanism,0.008783289312009907,21.470031642913817,0.19372416412664784
7000,lpips_0p1__unconditioned,primary,0.016076961383611584,19.271871911684674,0.23113748155948188
7000,lpips_0p1__unconditioned,mechanism,0.00966249999564348,21.05991925239563,0.18894626348382898
7000,lpips_0p1__conditioned,primary,0.014424029825345821,19.618424213197496,0.22920173895441823
7000,lpips_0p1__conditioned,mechanism,0.009273493709624745,21.222573666042752,0.1864411476916737
8000,lpips_0p01__unconditioned,primary,0.01577264630927756,19.38877023908827,0.23909676149487497
8000,lpips_0p01__unconditioned,mechanism,0.009283265954258645,21.244211083518135,0.1966645017514626
8000,lpips_0p01__conditioned,primary,0.013469882005269431,19.930622619522943,0.24984432166649237
8000,lpips_0p01__conditioned,mechanism,0.00859870159422927,21.564755058288576,0.20331621570719613
8000,lpips_0p03__unconditioned,primary,0.01585250310987855,19.356627654499476,0.23482962851723035
8000,lpips_0p03__unconditioned,mechanism,0.009380543748460089,21.195857345792984,0.1918752575500144
8000,lpips_0p03__conditioned,primary,0.013752395191501515,19.827919556299847,0.236456978958514
8000,lpips_0p03__conditioned,mechanism,0.008821829737797897,21.449039115905762,0.19191862030989593
8000,lpips_0p1__unconditioned,primary,0.0162313203235519,19.218726504643758,0.2298150984570384
8000,lpips_0p1__unconditioned,mechanism,0.009774809471564368,21.00601810561286,0.18785464296324386
8000,lpips_0p1__conditioned,primary,0.014491913688058654,19.5833642133077,0.22701033357116912
8000,lpips_0p1__conditioned,mechanism,0.009347967152845943,21.187331519656713,0.1838267917972472
9000,lpips_0p01__unconditioned,primary,0.015752701486991202,19.397802163230047,0.23881177219251792
9000,lpips_0p01__unconditioned,mechanism,0.009256265505423977,21.255327213075425,0.19580140528165632
9000,lpips_0p01__conditioned,primary,0.013411361663990344,19.951050013436213,0.24879801464577517
9000,lpips_0p01__conditioned,mechanism,0.008554292706345829,21.587313966751097,0.20207114776803387
9000,lpips_0p03__unconditioned,primary,0.01585494276052082,19.35640329890781,0.2343688099251853
9000,lpips_0p03__unconditioned,mechanism,0.009379767184469125,21.193148052427503,0.19110073609898487
9000,lpips_0p03__conditioned,primary,0.013708999209662174,19.84728716214498,0.23676599914001095
9000,lpips_0p03__conditioned,mechanism,0.008763860098422609,21.479193756315443,0.1911967006408506
9000,lpips_0p1__unconditioned,primary,0.016194485684585137,19.232874909506904,0.2292365187820461
9000,lpips_0p1__unconditioned,mechanism,0.009744074533615883,21.02239183002048,0.18645346941219434
9000,lpips_0p1__conditioned,primary,0.014462082129709113,19.599681256612143,0.22688055066598786
9000,lpips_0p1__conditioned,mechanism,0.009286799583803965,21.213143108155993,0.18327496650318303
10000,lpips_0p01__unconditioned,primary,0.015747305299026064,19.402823894288804,0.23911949531071716
10000,lpips_0p01__unconditioned,mechanism,0.009236984292446222,21.268251825968424,0.19638689554399913
10000,lpips_0p01__conditioned,primary,0.013387074200824524,19.95310721821255,0.24785973074535528
10000,lpips_0p01__conditioned,mechanism,0.00854388944985759,21.587745797899036,0.2016996069211099
10000,lpips_0p03__unconditioned,primary,0.01582642291426762,19.369745386971367,0.2342849735667308
