region,arm,source_images,expected_not_deployed,psnr_db,lpips,dino,mse
primary,arithmetic_adaptive,100,False,19.669175090789796,0.1825800808167292,0.8872288244631555,0.014266854444024445
primary,expected_mix_01,100,True,19.81630184555582,0.18328963108219629,0.8765187738593632,0.013972154886108666
primary,expected_mix_03,100,True,20.427688464833732,0.18623817391318284,0.8320130574017328,0.012747528089280652
primary,expected_mix_05,100,True,19.775743956534537,0.18309403198149163,0.8794711739479238,0.01405339362466153
primary,expected_mix_07,100,True,20.312902652622043,0.18568459476535082,0.8403688582167484,0.012977447713128684
primary,expected_mix_11,100,True,20.02864277201444,0.18431369064891373,0.8610614760263171,0.01354682927314116
primary,expected_mix_12,100,True,20.649975069272358,0.18731019864070464,0.8158317667461419,0.01230228096775718
primary,lpips_0p01__conditioned,100,False,20.430095666249596,0.2398919133614335,0.7699322863005931,0.012431172945847113
primary,lpips_0p01__unconditioned,100,False,19.80959307246738,0.23257595298811792,0.7863177573846446,0.014884639057046213
primary,lpips_0p03__conditioned,100,False,20.316310963100857,0.22610516874947478,0.7811007077412474,0.01273016728738892
primary,lpips_0p03__unconditioned,100,False,19.772307256062827,0.22776614269655615,0.7879450983968047,0.014976289911363792
primary,lpips_0p1__conditioned,100,False,20.025555523766414,0.2171773068813814,0.7841345043314828,0.013538807538700187
primary,lpips_0p1__unconditioned,100,False,19.618886497285633,0.222728582713753,0.7893797396951251,0.015371399729758397
primary,perceptual_deepjscc,100,False,24.378339140150285,0.20529103238135576,0.5444265561033454,0.004834249438181852
primary,raw_adaptive,100,False,19.626653791003758,0.18376324321867696,0.8867425170871946,0.014373732655740979
primary,raw_m7,100,False,18.074286801020303,0.23475945707410573,0.8494944192303552,0.01928592173148995
primary,raw_m8,100,False,18.65316053284539,0.21492697226090562,0.8449215295414131,0.01852289315037185
primary,raw_m9,100,False,14.495504557291662,0.4692564815986488,0.3699419956230041,0.0622363446104253
mechanism,arithmetic_adaptive,100,False,21.237186455196806,0.1359682518036829,0.9238311811288198,0.009809671617555487
mechanism,expected_mix_01,100,True,21.393342252085905,0.13625626714840489,0.9176020543844042,0.009606369541451902
mechanism,expected_mix_03,100,True,22.042249141199985,0.137453117634163,0.8917168593539128,0.008761545843689954
