image_index,image_id,snr_db,seed,arm,psnr_db,mse,lpips,dino,complex_uses,total_energy
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,raw_m7,12.33504867553711,0.05841106603692034,0.2813071608543396,0.6454499363899231,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,raw_adaptive,12.33504867553711,0.05841106603692034,0.2813071608543396,0.6454499363899231,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,raw_m8,11.942956924438477,0.06392994157793479,0.2759380340576172,0.5793576836585999,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,raw_m9,7.811697959899902,0.16551227340899274,0.6555675268173218,0.06234366446733475,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,arithmetic_adaptive,12.33504867553711,0.05841106603692034,0.2813071608543396,0.6454499363899231,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,raw_m7,12.33504867553711,0.05841106603692034,0.2813071608543396,0.6454499363899231,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,raw_adaptive,12.33504867553711,0.05841106603692034,0.2813071608543396,0.6454499363899231,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,raw_m8,11.405372619628906,0.0723540320696608,0.3072032332420349,0.5608764886856079,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,raw_m9,7.0808258056640625,0.19584722369891025,0.6642554998397827,-0.0022289101034402847,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,arithmetic_adaptive,12.33504867553711,0.05841106603692034,0.2813071608543396,0.6454499363899231,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,raw_m7,12.33504867553711,0.05841106603692034,0.2813071608543396,0.6454499363899231,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,raw_adaptive,12.33504867553711,0.05841106603692034,0.2813071608543396,0.6454499363899231,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,raw_m8,12.11353874206543,0.06146758150886975,0.3147737383842468,0.544249415397644,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,raw_m9,7.604879379272461,0.17358494735965474,0.7011181116104126,0.08317368477582932,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,arithmetic_adaptive,12.33504867553711,0.05841106603692034,0.2813071608543396,0.6454499363899231,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,raw_m7,12.33504867553711,0.05841106603692034,0.2813071608543396,0.6454499363899231,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,raw_m8,13.516948699951172,0.0444943769740715,0.20085062086582184,0.7360662221908569,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,raw_adaptive,13.516948699951172,0.0444943769740715,0.20085062086582184,0.7360662221908569,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,raw_m9,9.299922943115234,0.11749184013358002,0.539050817489624,0.2075052410364151,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,arithmetic_adaptive,13.516948699951172,0.0444943769740715,0.20085062086582184,0.7360662221908569,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,raw_m7,12.33504867553711,0.05841106603692034,0.2813071608543396,0.6454499363899231,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,raw_m8,13.516948699951172,0.0444943769740715,0.20085062086582184,0.7360662221908569,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,raw_adaptive,13.516948699951172,0.0444943769740715,0.20085062086582184,0.7360662221908569,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,raw_m9,8.412723541259766,0.14412112577526004,0.5924127101898193,0.1695224791765213,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,arithmetic_adaptive,13.516948699951172,0.0444943769740715,0.20085062086582184,0.7360662221908569,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,raw_m7,12.33504867553711,0.05841106603692034,0.2813071608543396,0.6454499363899231,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,raw_m8,13.516948699951172,0.0444943769740715,0.20085062086582184,0.7360662221908569,3060,6120
0,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,raw_adaptive,13.516948699951172,0.0444943769740715,0.20085062086582184,0.7360662221908569,3060,6120
