arm,image_id,snr_db,seed,psnr_db,lpips,dino,mse,p_deep,digital,actual_deployment,complex_uses_each_selected_frame,energy_each_selected_frame
expected_mix_01,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2001,12.487354439272238,0.28150012553034304,0.6320515991078162,0.057180099590376725,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2002,12.480437457829709,0.28185049417870284,0.6324052112551065,0.05721116314123149,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01440764/ILSVRC2012_val_00003014_n01440764,1.0,2003,12.493275482650164,0.28189789944956534,0.6350486559002048,0.05715473811641809,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2001,13.664296166396557,0.20165171994314224,0.7225182877734205,0.04357353273262932,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2002,13.660497800563016,0.20199460205406816,0.7213596365844852,0.043586855294849874,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01440764/ILSVRC2012_val_00003014_n01440764,4.0,2003,13.668567502996494,0.20182599737254436,0.7305151378782571,0.04355899006921329,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,14.901554846118328,0.15259955594741273,0.8630627476590773,0.032708036335415344,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,14.899343021003512,0.15296051915658232,0.8625800598968905,0.032714410165216326,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,14.904441177482967,0.15277890276964598,0.8717623266909513,0.03269987351435927,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,14.933151760365297,0.15143885260643417,0.8717122109778936,0.03262746813252246,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,14.932748689398446,0.15167028814997363,0.8683148416126775,0.03262838224142636,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,14.93447753252238,0.15167731518784605,0.8748340761379853,0.03262448054880284,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,14.94453952821942,0.1511466662860264,0.8745493484219073,0.032602733096781696,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,14.94450889863974,0.15124042933635004,0.8729032282544775,0.03260279688079207,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,14.945191628395389,0.15129389050416797,0.8750271814106123,0.03260137855347594,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,19.73730129174724,0.1811844246983092,0.6357031549726339,0.010707559963609623,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,19.741384441163067,0.18122243047966302,0.6350455845637908,0.010703087448320896,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,19.738560381998365,0.18115393292194157,0.6330747206465419,0.010706166427740055,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,20.340189923345335,0.1415674791088764,0.6979309313313307,0.009316499237897876,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,20.34317374496748,0.14158444893513109,0.6979032701095055,0.009313586699773767,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,20.34022984906204,0.1415294104780385,0.6952056464158155,0.00931645984172128,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,20.63591974701362,0.13130796748023374,0.8654079772242145,0.008707620719748467,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,20.637620165410887,0.1314071439661199,0.8653522078508995,0.00870610693263631,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,20.635554158547976,0.1312135736073106,0.8630744140553801,0.008707948667888338,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,20.6504282161485,0.1304539565861415,0.8634104995765419,0.008695294300661011,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,20.65090374931164,0.13049423798437093,0.8612487752771272,0.008694912172143568,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,20.650148616950325,0.13035035549657578,0.8615433410324472,0.00869551960674132,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,20.65503409450005,0.13023451225861374,0.8601361801901294,0.008691648846642634,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,20.655196300172992,0.13021696747596762,0.860117830934087,0.008691522706404834,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2003,20.654941788626655,0.13016300397782876,0.8607936146578662,0.008691720696223513,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2001,15.281259422820133,0.37539899161810153,0.8540010246898472,0.029940262168460498,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2002,15.280461027667284,0.37516453976487774,0.8523456493539462,0.02994246705396599,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2003,15.27885523917767,0.3750662738981832,0.852402521153767,0.02994694115717645,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2001,16.00747798423874,0.31178553941920323,0.8818473632965211,0.025327552268856936,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2002,16.006981534767295,0.31164619233640034,0.8794499864859607,0.025328716484093218,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2003,16.005112296138055,0.3115443463768716,0.8815195943915348,0.025333138417085437,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2001,16.75831929291732,0.25810526770932884,0.8899415476515506,0.021288906172775044,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2002,16.758216260731974,0.2579627874633564,0.8876152889894222,0.021289118069042542,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2003,16.756465607440408,0.2578707329878964,0.8899759165427588,0.021292743170255864,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2001,16.779453166581543,0.25695661284722526,0.8911421850891651,0.02124867327068699,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2002,16.779565196950802,0.25686334700615354,0.8914516633976275,0.021248476256421615,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2003,16.778718712166043,0.2567227028962198,0.8935603408702675,0.02124996890357809,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2001,16.786862068608247,0.2565128061036522,0.8923193978257334,0.02123598822734548,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2002,16.786982262892714,0.2564146659359258,0.8930338540009495,0.02123578809439708,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2003,16.78662722196715,0.25635108274230806,0.894198608573117,0.021236379777472655,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2001,13.711287559181955,0.2834141415513998,0.8069371885217013,0.04309352464397464,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2002,13.708276921779934,0.2829052041202453,0.8078347517805058,0.04310406810862545,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2003,10.873956712416417,0.4851815685370526,0.3434073750024608,0.08408161629947296,0.031242647999491068,arithmetic_adaptive,False,3060,6120
