region,arm,source_images,expected_not_deployed,psnr_db,lpips,dino,mse
primary,arithmetic_adaptive,100,False,19.669175090789796,0.1825800808167292,0.8872288244631555,0.014266854444024445
primary,lpips_0p01__conditioned,100,False,20.430095666249596,0.2398919133614335,0.7699322863005931,0.012431172945847113
primary,lpips_0p01__unconditioned,100,False,19.80959307246738,0.23257595298811792,0.7863177573846446,0.014884639057046213
primary,lpips_0p03__conditioned,100,False,20.316310963100857,0.22610516874947478,0.7811007077412474,0.01273016728738892
primary,lpips_0p03__unconditioned,100,False,19.772307256062827,0.22776614269655615,0.7879450983968047,0.014976289911363792
primary,lpips_0p1__conditioned,100,False,20.025555523766414,0.2171773068813814,0.7841345043314828,0.013538807538700187
primary,lpips_0p1__unconditioned,100,False,19.618886497285633,0.222728582713753,0.7893797396951251,0.015371399729758397
primary,perceptual_deepjscc,100,False,24.378339140150285,0.20529103238135576,0.5444265561033454,0.004834249438181852
primary,raw_adaptive,100,False,19.626653791003758,0.18376324321867696,0.8867425170871946,0.014373732655740979
mechanism,arithmetic_adaptive,100,False,21.237186455196806,0.1359682518036829,0.9238311811288198,0.009809671617555487
mechanism,lpips_0p01__conditioned,100,False,22.0801890595754,0.1942055413685739,0.8125393704573314,0.008104562738185956
mechanism,lpips_0p01__unconditioned,100,False,21.716407681571116,0.18888082525175476,0.8169885718160205,0.008845561131537479
mechanism,lpips_0p03__conditioned,100,False,21.944570176866318,0.18145328443083492,0.8228041734960344,0.008327468828906098
mechanism,lpips_0p03__unconditioned,100,False,21.657013094160288,0.18377324094374978,0.818730608622233,0.00895514166532343
mechanism,lpips_0p1__conditioned,100,False,21.603679933547973,0.17495591839568483,0.8230392080545424,0.008944755766941752
mechanism,lpips_0p1__unconditioned,100,False,21.433288054996066,0.17976189119120436,0.8199460991885927,0.009375421959686919
mechanism,perceptual_deepjscc,100,False,26.235347843170167,0.1451869116537273,0.7244522186120352,0.0033024742728586915
mechanism,raw_adaptive,100,False,21.219047507180107,0.13642074298113585,0.923171968128946,0.009854194063777987
high,arithmetic_adaptive,100,False,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
high,lpips_0p01__conditioned,100,False,22.236193505922955,0.19008960955465834,0.8152090015014012,0.007832965483830775
high,lpips_0p01__unconditioned,100,False,21.889834971427916,0.1848724586796016,0.8194291312495866,0.008511569353189164
high,lpips_0p03__conditioned,100,False,22.096150541305548,0.17743208478825787,0.8252838020523389,0.008052720929069133
high,lpips_0p03__unconditioned,100,False,21.826971920331317,0.17975018459372216,0.8209909808635711,0.008623371948391044
high,lpips_0p1__conditioned,100,False,21.74521454811096,0.17148761557725567,0.8244967972238858,0.008663783525019729
high,lpips_0p1__unconditioned,100,False,21.592032564481105,0.17600077617603044,0.8206979430715243,0.009049203915249864
high,perceptual_deepjscc,100,False,26.67525975545248,0.13450951125162341,0.7589587097615005,0.0030084000629548363
high,raw_adaptive,100,False,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
snr_1,arithmetic_adaptive,100,False,18.09179816881816,0.23448540014525257,0.8481807916363081,0.019318637064584518
snr_1,lpips_0p01__conditioned,100,False,18.10495442708333,0.30566107209771876,0.6986779746164876,0.019318978325075783
snr_1,lpips_0p01__unconditioned,100,False,17.07617758433024,0.29539632218579454,0.7372136597335337,0.024791615422970308
snr_1,lpips_0p03__conditioned,100,False,18.010454330444336,0.29000876131157083,0.7117720016588769,0.019745578419727586
