arm,last_step,updates_in_window,mse,lpips,loss,gradient_norm
lpips_0p01__unconditioned,100,100,0.012915494805201887,0.21031692653894424,0.015018664002418518,0.02282513308338821
lpips_0p01__unconditioned,200,100,0.01282659975811839,0.20985311076045035,0.014925130847841502,0.02276885279454291
lpips_0p01__unconditioned,300,100,0.013316125697456301,0.21090694710612298,0.015425195135176182,0.02096368096768856
lpips_0p01__unconditioned,400,100,0.012758733155205846,0.21274026438593865,0.014886135710403323,0.02212540983222425
lpips_0p01__unconditioned,500,100,0.012377382651902736,0.20870049685239792,0.014464387558400632,0.023002237090840937
lpips_0p01__unconditioned,600,100,0.01349363214801997,0.2123965260386467,0.015617597373202443,0.024120585052296518
lpips_0p01__unconditioned,700,100,0.012676928387954832,0.20978909626603126,0.014774819305166602,0.018407080294564365
lpips_0p01__unconditioned,800,100,0.01329877800308168,0.21266838654875755,0.01542546178214252,0.021749003492295742
lpips_0p01__unconditioned,900,100,0.012351873572915792,0.2074245534837246,0.014426119080744683,0.019968100041151047
lpips_0p01__unconditioned,1000,100,0.012832101685926318,0.211776911765337,0.014949870817363263,0.022207365967333317
lpips_0p01__unconditioned,1100,100,0.012793553471565246,0.20956903889775277,0.014889243878424168,0.019125901963561773
lpips_0p01__unconditioned,1200,100,0.01302481853403151,0.21098304197192191,0.015134648904204368,0.021840203385800123
lpips_0p01__unconditioned,1300,100,0.013276114258915186,0.21053022012114525,0.015381416408345103,0.02204745102673769
lpips_0p01__unconditioned,1400,100,0.013457881510257721,0.21520323932170868,0.015609913859516383,0.02240221159532666
lpips_0p01__unconditioned,1500,100,0.013174863774329424,0.2100908488035202,0.015275772288441658,0.021166064823046327
lpips_0p01__unconditioned,1600,100,0.013004776779562235,0.21186662659049035,0.01512344293296337,0.02183075815439224
lpips_0p01__unconditioned,1700,100,0.012926849937066436,0.209629208445549,0.015023141987621785,0.02000788813456893
lpips_0p01__unconditioned,1800,100,0.01303632658906281,0.21022443145513534,0.01513857084326446,0.023623449858278037
lpips_0p01__unconditioned,1900,100,0.012766872728243471,0.2084615658223629,0.014851488312706352,0.017903438936918974
lpips_0p01__unconditioned,2000,100,0.013162410669028759,0.20943540588021278,0.015256764646619559,0.021594174094498157
lpips_0p01__unconditioned,2100,100,0.012792416969314218,0.21082347363233567,0.01490065167658031,0.018959296913817526
lpips_0p01__unconditioned,2200,100,0.012874858085997403,0.2092999452352524,0.014967857473529876,0.018693928495049476
