snr_db,arm,frames,psnr_db,lpips_alex,dino_cosine,correct_accepted_tokens,correct_m9_accepted,last_accepted_scale,header_accepted,receiver_seconds,false_acceptances
1.0,group_entropy,300,7.963378579616546,0.8281420689821243,0.27903085728175936,0.0,0.0,0.0,1.0,0.0005973041274895271,0
1.0,group_ml,300,7.963378579616546,0.8281420689821243,0.27903085728175936,0.0,0.0,0.0,1.0,0.000702245116699487,0
1.0,group_static,300,7.963378579616546,0.8281420689821243,0.27903085728175936,0.0,0.0,0.0,1.0,0.0005861937697045505,0
1.0,group_var,300,7.963378579616546,0.8281420689821243,0.27903085728175936,0.0,0.0,0.0,1.0,0.0005702002098162969,0
1.0,whole_adaptive,300,18.019461431503295,0.23666967990497748,0.8486799637476603,127.1,0.0,5.74,1.0,0.0008516222036754091,0
1.0,whole_m7,300,18.019461431503295,0.23666967990497748,0.8486799637476603,127.1,0.0,5.74,1.0,0.0008516222036754091,0
1.0,whole_m8,300,16.577044331232706,0.29049052484333515,0.7552857605119546,0.0,0.0,0.0,1.0,0.0012126777856610715,0
1.0,whole_m9,300,9.832647886276245,0.7064682167768478,0.03097029867892464,0.0,0.0,0.0,1.0,0.0018373409930306176,0
4.0,group_entropy,300,14.346834811369577,0.4298397449466089,0.6590489229466766,72.6,0.013333333333333334,4.523333333333333,1.0,0.0011601964950871963,0
4.0,group_ml,300,14.226879440148672,0.4360765280450384,0.6518822463663916,66.73333333333333,0.0,4.4,1.0,0.0022063055401667954,0
4.0,group_static,300,14.226879440148672,0.4360765280450384,0.6518822463663916,66.73333333333333,0.0,4.4,1.0,0.002030951437385132,0
4.0,group_var,300,14.240098008314769,0.4357474123562376,0.6520879525256653,67.37333333333333,0.0,4.41,1.0,0.0020615245875281593,0
4.0,whole_adaptive,300,19.690813512802123,0.17714906277135015,0.8897491977612177,253.3,0.0,7.946666666666666,1.0,0.0012569006990330914,0
4.0,whole_m7,300,18.10169948577881,0.23380434527993202,0.8499016469717026,155.0,0.0,7.0,1.0,0.0008530619647353888,0
4.0,whole_m8,300,19.690813512802123,0.17714906277135015,0.8897491977612177,253.3,0.0,7.946666666666666,1.0,0.0012569006990330914,0
4.0,whole_m9,300,12.484179312388102,0.5638302393754323,0.1570572715299204,0.0,0.0,0.0,1.0,0.0018413585238158702,0
7.0,group_entropy,300,20.753532752990722,0.15429151221488913,0.9069568932056427,383.9033333333333,0.8633333333333333,8.663333333333334,1.0,0.0035167064246100685,0
7.0,group_ml,300,19.467445238431296,0.19581473069886365,0.8730687468747298,283.8,0.4666666666666667,7.833333333333333,1.0,0.00823177099538346,0
7.0,group_static,300,19.52776313304901,0.19378643001119294,0.8760436703264713,289.31333333333333,0.4866666666666667,7.886666666666667,1.0,0.008119626843836159,0
7.0,group_var,300,20.809827399253845,0.1532243645749986,0.9090376328925291,392.87666666666667,0.89,8.68,1.0,0.010028808449860663,0
7.0,whole_adaptive,300,21.16968642870585,0.13747098752607903,0.9217984195550283,282.6666666666667,0.6666666666666666,6.0,1.0,0.0018289721167335908,0
7.0,whole_m7,300,18.10169948577881,0.23380434527993202,0.8499016469717026,155.0,0.0,7.0,1.0,0.0008713594397219519,0
7.0,whole_m8,300,19.691623830795287,0.17714132877066732,0.8897296530008316,255.0,0.0,8.0,1.0,0.0012194693135097624,0
7.0,whole_m9,300,21.16968642870585,0.13747098752607903,0.9217984195550283,282.6666666666667,0.6666666666666666,6.0,1.0,0.0018289721167335908,0
13.0,group_entropy,300,21.243728008270264,0.13589562190696597,0.9238587683439254,424.0,1.0,9.0,1.0,0.0036831620164836446,0
13.0,group_ml,300,21.243728008270264,0.13589562190696597,0.9238587683439254,424.0,1.0,9.0,1.0,0.010425424478792895,0
13.0,group_static,300,21.243728008270264,0.13589562190696597,0.9238587683439254,424.0,1.0,9.0,1.0,0.01038327453425154,0
13.0,group_var,300,21.243728008270264,0.13589562190696597,0.9238587683439254,424.0,1.0,9.0,1.0,0.010496932421810925,0
13.0,whole_adaptive,300,21.243728008270264,0.13589562190696597,0.9238587683439254,424.0,1.0,9.0,1.0,0.0018181732459925115,0
13.0,whole_m7,300,18.10169948577881,0.23380434527993202,0.8499016469717026,155.0,0.0,7.0,1.0,0.0008541807058888177,0
13.0,whole_m8,300,19.691623830795287,0.17714132877066732,0.8897296530008316,255.0,0.0,8.0,1.0,0.0012068533804267644,0
13.0,whole_m9,300,21.243728008270264,0.13589562190696597,0.9238587683439254,424.0,1.0,9.0,1.0,0.0018181732459925115,0
19.0,group_entropy,300,21.243728008270264,0.13589562190696597,0.9238587683439254,424.0,1.0,9.0,1.0,0.003673326837985466,0
19.0,group_ml,300,21.243728008270264,0.13589562190696597,0.9238587683439254,424.0,1.0,9.0,1.0,0.01037579047648857,0
19.0,group_static,300,21.243728008270264,0.13589562190696597,0.9238587683439254,424.0,1.0,9.0,1.0,0.010386274575721473,0
19.0,group_var,300,21.243728008270264,0.13589562190696597,0.9238587683439254,424.0,1.0,9.0,1.0,0.010482728228283425,0
19.0,whole_adaptive,300,21.243728008270264,0.13589562190696597,0.9238587683439254,424.0,1.0,9.0,1.0,0.001824848586693406,0
19.0,whole_m7,300,18.10169948577881,0.23380434527993202,0.8499016469717026,155.0,0.0,7.0,1.0,0.0008567611966282129,0
19.0,whole_m8,300,19.691623830795287,0.17714132877066732,0.8897296530008316,255.0,0.0,8.0,1.0,0.001214747328000764,0
19.0,whole_m9,300,21.243728008270264,0.13589562190696597,0.9238587683439254,424.0,1.0,9.0,1.0,0.001824848586693406,0
