source_index,image_id,snr_db,noise_seed,method,tx_ms,rx_ms,total_ms,header_ok,tx_extra
0,n01440764/ILSVRC2012_val_00003014_n01440764,7,2001,arithmetic_N3572_m8_Dc,116.84134998358786,131.1894780374132,248.03082802100107,1,arithmetic
0,n01440764/ILSVRC2012_val_00003014_n01440764,7,2001,raw_N4084_m8_Dc,55.79757096711546,70.55361702805385,126.35118799516931,1,raw
0,n01440764/ILSVRC2012_val_00003014_n01440764,7,2001,arithmetic_N4084_m8_Dc,117.06441402202472,131.1633459990844,248.22776002110913,1,arithmetic
0,n01440764/ILSVRC2012_val_00003014_n01440764,13,2001,m8_D0,55.75030902400613,59.90167299751192,115.65198202151805,1,base
0,n01440764/ILSVRC2012_val_00003014_n01440764,13,2001,m8_Dc_only,55.24863302707672,59.39008796121925,114.63872098829597,1,base
0,n01440764/ILSVRC2012_val_00003014_n01440764,13,2001,m8_receiver_only_refiner,55.34665600862354,60.14701898675412,115.49367499537766,1,base
0,n01440764/ILSVRC2012_val_00003014_n01440764,13,2001,m8_plus_latent_512,55.469634011387825,60.09536900091916,115.56500301230699,1,enhancement512
0,n01440764/ILSVRC2012_val_00003014_n01440764,13,2001,m8_plus_latent_1024,55.98511401331052,60.14987995149568,116.1349939648062,1,enhancement1024
0,n01440764/ILSVRC2012_val_00003014_n01440764,13,2001,raw_N3060_m8_Dc,55.32077298266813,70.10653603356332,125.42730901623145,1,raw
0,n01440764/ILSVRC2012_val_00003014_n01440764,13,2001,arithmetic_N3060_m8_Dc,117.46310896705836,131.7283830139786,249.19149198103696,1,arithmetic
0,n01440764/ILSVRC2012_val_00003014_n01440764,13,2001,raw_N3060_m9_Dc,56.09652999555692,71.57673599431291,127.67326598986983,1,raw
0,n01440764/ILSVRC2012_val_00003014_n01440764,13,2001,arithmetic_N3060_m9_Dc,118.23145503876731,139.5087819546461,257.7402369934134,1,arithmetic
0,n01440764/ILSVRC2012_val_00003014_n01440764,13,2001,raw_N3572_m8_Dc,55.817093001678586,71.00442098453641,126.821513986215,1,raw
0,n01440764/ILSVRC2012_val_00003014_n01440764,13,2001,arithmetic_N3572_m8_Dc,117.78253997908905,131.48771499982104,249.2702549789101,1,arithmetic
0,n01440764/ILSVRC2012_val_00003014_n01440764,13,2001,raw_N4084_m8_Dc,55.679559998679906,70.65984699875116,126.33940699743107,1,raw
0,n01440764/ILSVRC2012_val_00003014_n01440764,13,2001,arithmetic_N4084_m8_Dc,120.79255597200245,133.35769897093996,254.1502549429424,1,arithmetic
0,n01440764/ILSVRC2012_val_00003014_n01440764,19,2001,m8_D0,56.94402998778969,60.75257802149281,117.6966080092825,1,base
0,n01440764/ILSVRC2012_val_00003014_n01440764,19,2001,m8_Dc_only,56.57799000618979,60.40349800605327,116.98148801224306,1,base
0,n01440764/ILSVRC2012_val_00003014_n01440764,19,2001,m8_receiver_only_refiner,55.45484396861866,60.71828899439424,116.1731329630129,1,base
0,n01440764/ILSVRC2012_val_00003014_n01440764,19,2001,m8_plus_latent_512,55.82071002572775,60.66140194889158,116.48211197461933,1,enhancement512
0,n01440764/ILSVRC2012_val_00003014_n01440764,19,2001,m8_plus_latent_1024,55.83635001676157,60.35815097857267,116.19450099533424,1,enhancement1024
0,n01440764/ILSVRC2012_val_00003014_n01440764,19,2001,raw_N3060_m8_Dc,55.6879669893533,69.93694900302216,125.62491599237546,1,raw
0,n01440764/ILSVRC2012_val_00003014_n01440764,19,2001,arithmetic_N3060_m8_Dc,117.16609395807609,131.919096049387,249.0851900074631,1,arithmetic
