method,source_index,snr_db,psnr_db,lpips_alex,dino_cosine
arithmetic_N4084_m7_Dc,0,13,13.200809478759766,0.2589964270591736,0.6476048231124878
arithmetic_N4084_m7_Dc,0,19,13.200809478759766,0.2589964270591736,0.6476048231124878
arithmetic_N4084_m8_D0,0,1,12.952642758687338,0.23767842849095663,0.6495035489400228
arithmetic_N4084_m8_D0,0,4,13.516948699951172,0.20085062583287558,0.7360659837722778
arithmetic_N4084_m8_D0,0,7,13.516948699951172,0.20085062583287558,0.7360659837722778
arithmetic_N4084_m8_D0,0,13,13.516948699951172,0.20085062583287558,0.7360659837722778
arithmetic_N4084_m8_D0,0,19,13.516948699951172,0.20085062086582184,0.7360659837722778
arithmetic_N4084_m8_Dc,0,1,13.873333295186361,0.22650001446406046,0.6005789140860239
arithmetic_N4084_m8_Dc,0,4,14.479000091552734,0.19207078218460083,0.6649432182312012
arithmetic_N4084_m8_Dc,0,7,14.479000091552734,0.19207078218460083,0.6649432182312012
arithmetic_N4084_m8_Dc,0,13,14.479000091552734,0.19207078218460083,0.6649432182312012
arithmetic_N4084_m8_Dc,0,19,14.479000091552734,0.19207078218460083,0.6649432182312012
arithmetic_N4084_m9_D0,0,1,8.749417622884115,0.5400215188662211,0.4049494465192159
arithmetic_N4084_m9_D0,0,4,14.76740837097168,0.15156676868597665,0.8782002925872803
arithmetic_N4084_m9_D0,0,7,14.76740837097168,0.15156676868597665,0.8782002925872803
arithmetic_N4084_m9_D0,0,13,14.76740837097168,0.1515667736530304,0.8782002925872803
arithmetic_N4084_m9_D0,0,19,14.76740837097168,0.15156676868597665,0.8782002925872803
arithmetic_N4084_m9_Dc,0,1,9.13160483042399,0.5285603205362955,0.41765134533246356
arithmetic_N4084_m9_Dc,0,4,15.693902969360352,0.14851780235767365,0.7976691722869873
arithmetic_N4084_m9_Dc,0,7,15.693902969360352,0.14851780235767365,0.7976690729459127
arithmetic_N4084_m9_Dc,0,13,15.693902969360352,0.14851780235767365,0.7976688742637634
arithmetic_N4084_m9_Dc,0,19,15.693902969360352,0.14851780235767365,0.7976688742637634
m8_D0,0,1,11.820622762044271,0.299305001894633,0.5614943106969198
m8_D0,0,4,13.516948699951172,0.20085062086582184,0.7360659837722778
m8_D0,0,7,13.516948699951172,0.20085062583287558,0.7360659837722778
m8_D0,0,13,13.516948699951172,0.20085062583287558,0.7360659837722778
m8_D0,0,19,13.516948699951172,0.20085062583287558,0.7360659837722778
m8_Dc_only,0,1,12.693090438842773,0.2802586654822032,0.5359020233154297
