method,snr_db,frames,header_failures,body_crc_failures,source_incomplete
m8_plus_latent_512,19,300,0,0,0
m8_receiver_only_refiner,1,300,0,300,0
m8_receiver_only_refiner,4,300,0,2,0
m8_receiver_only_refiner,7,300,0,0,0
m8_receiver_only_refiner,13,300,0,0,0
m8_receiver_only_refiner,19,300,0,0,0
raw_N3060_m7_D0,1,300,0,54,0
raw_N3060_m7_D0,4,300,0,0,0
raw_N3060_m7_D0,7,300,0,0,0
raw_N3060_m7_D0,13,300,0,0,0
raw_N3060_m7_D0,19,300,0,0,0
raw_N3060_m7_Dc,1,300,0,54,0
raw_N3060_m7_Dc,4,300,0,0,0
raw_N3060_m7_Dc,7,300,0,0,0
raw_N3060_m7_Dc,13,300,0,0,0
raw_N3060_m7_Dc,19,300,0,0,0
raw_N3060_m8_D0,1,300,0,300,0
raw_N3060_m8_D0,4,300,0,2,0
raw_N3060_m8_D0,7,300,0,0,0
raw_N3060_m8_D0,13,300,0,0,0
raw_N3060_m8_D0,19,300,0,0,0
raw_N3060_m8_Dc,1,300,0,300,0
raw_N3060_m8_Dc,4,300,0,2,0
raw_N3060_m8_Dc,7,300,0,0,0
raw_N3060_m8_Dc,13,300,0,0,0
raw_N3060_m8_Dc,19,300,0,0,0
raw_N3060_m9_D0,1,300,0,300,0
raw_N3060_m9_D0,4,300,0,300,0
raw_N3060_m9_D0,7,300,0,100,0
raw_N3060_m9_D0,13,300,0,0,0
raw_N3060_m9_D0,19,300,0,0,0
raw_N3060_m9_Dc,1,300,0,300,0
raw_N3060_m9_Dc,4,300,0,300,0
raw_N3060_m9_Dc,7,300,0,100,0
raw_N3060_m9_Dc,13,300,0,0,0
raw_N3060_m9_Dc,19,300,0,0,0
raw_N3572_m7_D0,1,300,0,4,0
raw_N3572_m7_D0,4,300,0,0,0
raw_N3572_m7_D0,7,300,0,0,0
raw_N3572_m7_D0,13,300,0,0,0
raw_N3572_m7_D0,19,300,0,0,0
raw_N3572_m7_Dc,1,300,0,4,0
raw_N3572_m7_Dc,4,300,0,0,0
raw_N3572_m7_Dc,7,300,0,0,0
raw_N3572_m7_Dc,13,300,0,0,0
raw_N3572_m7_Dc,19,300,0,0,0
raw_N3572_m8_D0,1,300,0,299,0
raw_N3572_m8_D0,4,300,0,2,0
raw_N3572_m8_D0,7,300,0,0,0
raw_N3572_m8_D0,13,300,0,0,0
raw_N3572_m8_D0,19,300,0,0,0
raw_N3572_m8_Dc,1,300,0,299,0
raw_N3572_m8_Dc,4,300,0,2,0
raw_N3572_m8_Dc,7,300,0,0,0
raw_N3572_m8_Dc,13,300,0,0,0
raw_N3572_m8_Dc,19,300,0,0,0
raw_N3572_m9_D0,1,300,0,300,0
raw_N3572_m9_D0,4,300,0,300,0
raw_N3572_m9_D0,7,300,0,5,0
raw_N3572_m9_D0,13,300,0,0,0
raw_N3572_m9_D0,19,300,0,0,0
raw_N3572_m9_Dc,1,300,0,300,0
raw_N3572_m9_Dc,4,300,0,300,0
raw_N3572_m9_Dc,7,300,0,5,0
raw_N3572_m9_Dc,13,300,0,0,0
raw_N3572_m9_Dc,19,300,0,0,0
raw_N4084_m7_D0,1,300,0,1,0
raw_N4084_m7_D0,4,300,0,0,0
raw_N4084_m7_D0,7,300,0,0,0
raw_N4084_m7_D0,13,300,0,0,0
raw_N4084_m7_D0,19,300,0,0,0
raw_N4084_m7_Dc,1,300,0,1,0
raw_N4084_m7_Dc,4,300,0,0,0
raw_N4084_m7_Dc,7,300,0,0,0
raw_N4084_m7_Dc,13,300,0,0,0
raw_N4084_m7_Dc,19,300,0,0,0
raw_N4084_m8_D0,1,300,0,272,0
raw_N4084_m8_D0,4,300,0,1,0
raw_N4084_m8_D0,7,300,0,0,0
raw_N4084_m8_D0,13,300,0,0,0
raw_N4084_m8_D0,19,300,0,0,0
raw_N4084_m8_Dc,1,300,0,272,0
raw_N4084_m8_Dc,4,300,0,1,0
raw_N4084_m8_Dc,7,300,0,0,0
raw_N4084_m8_Dc,13,300,0,0,0
raw_N4084_m8_Dc,19,300,0,0,0
raw_N4084_m9_D0,1,300,0,300,0
raw_N4084_m9_D0,4,300,0,220,0
raw_N4084_m9_D0,7,300,0,0,0
raw_N4084_m9_D0,13,300,0,0,0
raw_N4084_m9_D0,19,300,0,0,0
raw_N4084_m9_Dc,1,300,0,300,0
raw_N4084_m9_Dc,4,300,0,220,0
raw_N4084_m9_Dc,7,300,0,0,0
raw_N4084_m9_Dc,13,300,0,0,0
raw_N4084_m9_Dc,19,300,0,0,0
