method,N,E,PSNR,LPIPS,DINO
m8_D0,3060,6120,19.06854592959086,0.19981271518270172,0.8628447697957355
m8_Dc_only,3060,6120,19.72750286801656,0.18752480134616298,0.8462321729759376
m8_receiver_only_refiner,3060,6120,19.92028800455729,0.18787431444848576,0.8269842117081089
m8_plus_latent_512,3572,7144,21.34794983291626,0.15774083804835876,0.8533509700000288
m8_plus_latent_1024,4084,8168,22.06737456448873,0.13622466565171878,0.8744118903577328
raw_N3572_m8_Dc,3572,7144,20.1531457901001,0.1719236922239264,0.8679110597570738
arithmetic_N3572_m8_Dc,3572,7144,19.858418581962585,0.1891656739239891,0.8483753303637107
raw_N4084_m8_Dc,4084,8168,20.306092918395997,0.16688991685335833,0.8731814269622166
arithmetic_N4084_m8_Dc,4084,8168,20.2259636554718,0.17228873938818776,0.8673221284548441
