method,source_index,snr_db,seed,mse,lpips_alex,normalized_latent,utility
pure_continuous,0,1.0,4101,0.006662280764430761,0.15708063542842865,0.5679868459701538,0.028050214052200317
pure_continuous,1,1.0,4101,0.009797807782888412,0.18747520446777344,0.6034566164016724,0.03457989543676376
pure_continuous,2,1.0,4101,0.0044898949563503265,0.1261734664440155,0.47786831855773926,0.02188592404127121
pure_continuous,3,1.0,4101,0.0020732467528432608,0.1319049745798111,0.4138849377632141,0.01940259337425232
pure_continuous,4,1.0,4101,0.004411300178617239,0.11413764953613281,0.4762018322944641,0.02058708295226097
pure_continuous,5,1.0,4101,0.002885403810068965,0.10315187275409698,0.38050538301467896,0.017005644738674164
pure_continuous,6,1.0,4101,0.008983987383544445,0.18010085821151733,0.5493977069854736,0.03248804807662964
pure_continuous,7,1.0,4101,0.01474699005484581,0.17951616644859314,0.7843005657196045,0.04054161533713341
pure_continuous,8,1.0,4101,0.011823269538581371,0.16554905474185944,0.6785420179367065,0.03516359254717827
pure_continuous,9,1.0,4101,0.005255048628896475,0.11945739388465881,0.46161550283432007,0.02181694284081459
pure_continuous,10,1.0,4101,0.008850270882248878,0.14275376498699188,0.8715677261352539,0.031841326504945755
pure_continuous,11,1.0,4101,0.005498743616044521,0.11239141970872879,0.44900187849998474,0.02122790366411209
pure_continuous,12,1.0,4101,0.009457899257540703,0.09639321267604828,0.5128013491630554,0.024225233122706413
pure_continuous,13,1.0,4101,0.007261384278535843,0.10681548714637756,0.6269338130950928,0.024212270975112915
pure_continuous,14,1.0,4101,0.009814707562327385,0.10632652044296265,0.5312662124633789,0.025760021060705185
pure_continuous,15,1.0,4101,0.008917445316910744,0.09646138548851013,0.4221303462982178,0.0227848868817091
full_tx_control,0,1.0,4101,0.008069345727562904,0.21242547035217285,0.6524386405944824,0.03583627939224243
full_tx_control,1,1.0,4101,0.012990104965865612,0.24430489540100098,0.7373070120811462,0.044793661683797836
full_tx_control,2,1.0,4101,0.00718900840729475,0.17895880341529846,0.5023701190948486,0.03010859154164791
full_tx_control,3,1.0,4101,0.0021353536285459995,0.12648506462574005,0.40271949768066406,0.0188110563904047
full_tx_control,4,1.0,4101,0.007303442340344191,0.18943588435649872,0.5070875287055969,0.03131790831685066
full_tx_control,5,1.0,4101,0.006229551509022713,0.1471029818058014,0.3363144099712372,0.024302992969751358
full_tx_control,6,1.0,4101,0.01080466341227293,0.19256234169006348,0.6039612889289856,0.03610051050782204
full_tx_control,7,1.0,4101,0.02743496559560299,0.34869009256362915,1.034775733947754,0.07265172898769379
full_tx_control,8,1.0,4101,0.013751080259680748,0.20095205307006836,0.7898859977722168,0.0417451448738575
full_tx_control,9,1.0,4101,0.015104069374501705,0.24858161807060242,0.517282247543335,0.04513505473732948
full_tx_control,10,1.0,4101,0.0106895100325346,0.172764390707016,1.0287578105926514,0.038253527134656906
full_tx_control,11,1.0,4101,0.007518400903791189,0.15768203139305115,0.46142494678497314,0.027900854125618935
