region,arm,control,metric,difference,ci_low,ci_high,source_images
primary,add,raw_adaptive,psnr_db,0.06599975162082256,-0.05211623485883092,0.1797066406408945,100
primary,add,raw_adaptive,lpips,0.05256041138329439,0.049218914789716815,0.055970609954972224,100
primary,add,raw_adaptive,dino,-0.10497700398166974,-0.11620010536371007,-0.09400947818118666,100
primary,add,raw_adaptive,mse,0.0007950439583330992,0.00018547439185370333,0.0014853564773033463,100
primary,add,arithmetic_adaptive,psnr_db,0.023478451834784496,-0.09722248106532654,0.13843780854013218,100
primary,add,arithmetic_adaptive,lpips,0.05374357378524211,0.05054152815913159,0.05698259657124679,100
primary,add,arithmetic_adaptive,dino,-0.10546331135763061,-0.11666290409242112,-0.09449172099803886,100
primary,add,arithmetic_adaptive,mse,0.0009019221700496329,0.0002767647603384749,0.0016033806059523833,100
primary,add,perceptual_deepjscc,psnr_db,-4.685685597525703,-4.86106169131067,-4.515535489082335,100
primary,add,perceptual_deepjscc,lpips,0.03103262222061555,0.02182052519927836,0.04036511768266144,100
primary,add,perceptual_deepjscc,dino,0.2373389570021795,0.2104109088869041,0.26367922497028484,100
primary,add,perceptual_deepjscc,mse,0.010334527175892227,0.009292514503112716,0.011432241217009599,100
primary,add,raw_m7,psnr_db,1.6183667416042748,1.4612881132761633,1.778573391543494,100
primary,add,raw_m7,lpips,0.0015641975278655688,-0.001303856534469459,0.004492525041724241,100
primary,add,raw_m7,dino,-0.06772890612483025,-0.07822761621533167,-0.05735191841299335,100
primary,add,raw_m7,mse,-0.0041171451174158704,-0.005086845561477824,-0.0031365985567057284,100
primary,add,raw_m8,psnr_db,1.0394930097791883,0.9183951105276744,1.1687611244784457,100
primary,add,raw_m8,lpips,0.021396682341065672,0.016745657922596566,0.025980553331164023,100
primary,add,raw_m8,dino,-0.06315601643588808,-0.07494182022454011,-0.051344575876163104,100
primary,add,raw_m8,mse,-0.003354116536297771,-0.004231195689179705,-0.0025176234600766353,100
primary,add,raw_m9,psnr_db,5.1971489853329125,4.870765175766414,5.531975407759348,100
primary,add,raw_m9,lpips,-0.23293282699667742,-0.2456497583546572,-0.22047102852000128,100
primary,add,raw_m9,dino,0.4118235174825207,0.39391134250746107,0.42981359110454403,100
primary,add,raw_m9,mse,-0.047067567996351214,-0.05050800146573397,-0.04379117860214723,100
primary,add,snr_gain,psnr_db,-0.0007112185160318952,-0.0026438743008509397,0.0012959360811444682,100
primary,add,snr_gain,lpips,8.543332831726966e-05,-7.607998947305486e-06,0.00017930417000833193,100
primary,add,snr_gain,dino,-0.0012279197573661794,-0.001798989868826339,-0.0006848519742488862,100
primary,add,snr_gain,mse,-1.888689843731247e-07,-3.6992938387105067e-06,3.2786315164735946e-06,100
primary,snr_gain,raw_adaptive,psnr_db,0.06671097013685445,-0.05121092589696256,0.18024674876530983,100
primary,snr_gain,raw_adaptive,lpips,0.05247497805497712,0.04913939770569818,0.05585745985826685,100
primary,snr_gain,raw_adaptive,dino,-0.10374908422430358,-0.11494712425147496,-0.09283827982056474,100
primary,snr_gain,raw_adaptive,mse,0.0007952328273174724,0.0001864749277803297,0.0014861574366528281,100
primary,snr_gain,arithmetic_adaptive,psnr_db,0.024189670350816393,-0.09654233304659555,0.1389328258832296,100
primary,snr_gain,arithmetic_adaptive,lpips,0.053658140456924824,0.050458767671603705,0.05690506999168752,100
primary,snr_gain,arithmetic_adaptive,dino,-0.10423539160026447,-0.11545713461562992,-0.09325128548012841,100
primary,snr_gain,arithmetic_adaptive,mse,0.0009021110390340059,0.0002782854294367163,0.0016040326472871204,100
primary,snr_gain,perceptual_deepjscc,psnr_db,-4.68497437900967,-4.860985717614492,-4.5151417112615375,100
primary,snr_gain,perceptual_deepjscc,lpips,0.030947188892298277,0.02171942670415673,0.0402815272094061,100
primary,snr_gain,perceptual_deepjscc,dino,0.23856687675954572,0.21158772723728583,0.264879639084813,100
primary,snr_gain,perceptual_deepjscc,mse,0.0103347160448766,0.009292731167165181,0.011434127671215074,100
primary,snr_gain,raw_m7,psnr_db,1.6190779601203067,1.4620606259769868,1.7791726852522955,100
primary,snr_gain,raw_m7,lpips,0.001478764199548299,-0.0014130182932648376,0.004410849368510147,100
primary,snr_gain,raw_m7,dino,-0.06650098636746406,-0.07703160255278152,-0.05615452487021684,100
primary,snr_gain,raw_m7,mse,-0.004116956248431498,-0.005084680423485076,-0.003138276521609504,100
primary,snr_gain,raw_m8,psnr_db,1.04020422829522,0.9198149960570864,1.1688947472837237,100
primary,snr_gain,raw_m8,lpips,0.021311249012748404,0.01665758575395578,0.02590560626973295,100
primary,snr_gain,raw_m8,dino,-0.06192809667852188,-0.07366851276697384,-0.050121335776315806,100
primary,snr_gain,raw_m8,mse,-0.003353927667313399,-0.0042307218232412545,-0.0025184602948227198,100
primary,snr_gain,raw_m9,psnr_db,5.197860203848945,4.8731886350843645,5.53201778186692,100
primary,snr_gain,raw_m9,lpips,-0.2330182603249947,-0.24570113177494043,-0.22053164107011014,100
primary,snr_gain,raw_m9,dino,0.4130514372398871,0.39517341839835146,0.4311041453390693,100
