region,arm,sources,psnr_db,lpips,dino,mse
primary,add,100,19.692653542624583,0.23632365460197133,0.781765513105525,0.015168776614074078
primary,arithmetic_adaptive,100,19.669175090789796,0.1825800808167292,0.8872288244631555,0.014266854444024445
primary,perceptual_deepjscc,100,24.378339140150285,0.20529103238135576,0.5444265561033454,0.004834249438181852
primary,raw_adaptive,100,19.626653791003758,0.18376324321867696,0.8867425170871946,0.014373732655740979
primary,raw_m7,100,18.074286801020303,0.23475945707410573,0.8494944192303552,0.01928592173148995
primary,raw_m8,100,18.65316053284539,0.21492697226090562,0.8449215295414131,0.01852289315037185
primary,raw_m9,100,14.495504557291662,0.4692564815986488,0.3699419956230041,0.0622363446104253
primary,reliability_gain,100,19.694001274108885,0.23629950558559756,0.7828263119856517,0.015167238055210972
primary,snr_gain,100,19.693364761140614,0.23623822127365404,0.7829934328628911,0.01516896548305845
high,add,100,21.63144221623738,0.19342214156563078,0.8086230458815892,0.00894479754633115
high,arithmetic_adaptive,100,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
high,perceptual_deepjscc,100,26.67525975545248,0.13450951125162341,0.7589587097615005,0.0030084000629548363
high,raw_adaptive,100,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
high,raw_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026,0.019176631795329472
high,raw_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491,0.013651503398386073
high,raw_m9,100,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
high,reliability_gain,100,21.63427782694498,0.19335339258424938,0.8089900017778079,0.008940475876637113
high,snr_gain,100,21.634073982238764,0.19327245977396768,0.8094875745971999,0.008940227216129035
snr_1,add,100,17.032175499598182,0.2967909525396923,0.7341637317836285,0.025051191241169977
snr_1,arithmetic_adaptive,100,18.09179816881816,0.23448540014525257,0.8481807916363081,0.019318637064584518
snr_1,perceptual_deepjscc,100,23.327992095947266,0.2508411285777887,0.4165823387292524,0.005929014118876415
snr_1,raw_adaptive,100,18.019461431503295,0.23666967991739515,0.8486799637476604,0.0195045016038109
