step,selection_utility,U_image,mse,lpips_alex
0,0.1659745036597053,0.15304627591023842,0.07928834246248007,0.7375793193300565
2500,0.03575581059573839,0.0292250068377393,0.010962564467890965,0.18262442063763737
5000,0.03280507332530493,0.026611974943537887,0.010054660265985876,0.16557314390105507
7500,0.03151540155597031,0.025511646249673017,0.009676503680855967,0.15835142285823822
10000,0.03110190983687838,0.02517862920208524,0.009585352689629265,0.15593276236715417
12500,0.030320101658534257,0.024470561013417318,0.009229110618393557,0.15241450132889053
15000,0.03018624593348553,0.024371622289468844,0.009269519044148425,0.15102102983680865
17500,0.029956301330402495,0.024172851591790095,0.009143318347039167,0.15029532980881632
20000,0.02970021492034818,0.02397213429113229,0.009070455224878,0.14901678812665245
