method,source_index,image_id,snr_db,seed,mse,lpips_alex,normalized_latent,utility,U_image,header_ok,body_crc_ok
H6-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,1,4101,0.013173706829547882,0.1820378452539444,0.549164891242981,0.03686914220452309,0.03137749433517456,1,0
H6-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,1,4101,0.010426443070173264,0.2002188265323639,0.573418140411377,0.03618250787258148,0.030448326840996742,1,0
H6-V,2,n01484850/ILSVRC2012_val_00029481_n01484850,1,4101,0.003414380829781294,0.11075674742460251,0.4189814329147339,0.018679868429899216,0.014490054920315742,1,0
H6-V,3,n01491361/ILSVRC2012_val_00049000_n01491361,1,4101,0.0028264522552490234,0.12433925271034241,0.38519617915153503,0.01911233924329281,0.015260377898812294,1,0
H6-V,4,n01494475/ILSVRC2012_val_00027283_n01494475,1,4101,0.034504156559705734,0.3430168032646179,0.4956883490085602,0.07376272231340408,0.06880583614110947,1,0
H6-V,5,n01496331/ILSVRC2012_val_00041248_n01496331,1,4101,0.0033109141513705254,0.12152981758117676,0.33317017555236816,0.018795598298311234,0.015463896095752716,1,0
H6-V,6,n01498041/ILSVRC2012_val_00030470_n01498041,1,4101,0.008816905319690704,0.1668795645236969,0.49926289916038513,0.030497491359710693,0.025504862889647484,1,0
H6-V,7,n01514668/ILSVRC2012_val_00016052_n01514668,1,4101,0.011378960683941841,0.15339340269565582,0.7456243634223938,0.034174542874097824,0.026718299835920334,1,0
H6-V,8,n01514859/ILSVRC2012_val_00006195_n01514859,1,4101,0.011790654622018337,0.17528745532035828,0.6458341479301453,0.0357777439057827,0.0293194018304348,1,0
H6-V,9,n01518878/ILSVRC2012_val_00033181_n01518878,1,4101,0.0043874578550457954,0.09352117031812668,0.4088401198387146,0.017827976495027542,0.013739574700593948,1,0
H6-V,10,n01530575/ILSVRC2012_val_00027374_n01530575,1,4101,0.0072006285190582275,0.1417275369167328,0.8248106241226196,0.029621489346027374,0.021373383700847626,1,0
H6-V,11,n01531178/ILSVRC2012_val_00025888_n01531178,1,4101,0.004467501305043697,0.08531253039836884,0.3900277316570282,0.016899030655622482,0.012998754158616066,1,0
H6-V,12,n01532829/ILSVRC2012_val_00030042_n01532829,1,4101,0.007396872155368328,0.07330040633678436,0.4393415153026581,0.01912032812833786,0.01472691260278225,1,0
H6-V,13,n01534433/ILSVRC2012_val_00030911_n01534433,1,4101,0.006979255937039852,0.12103153765201569,0.5825999975204468,0.024908410385251045,0.019082410261034966,1,0
H6-V,14,n01537544/ILSVRC2012_val_00031716_n01537544,1,4101,0.00861353613436222,0.10664768517017365,0.46235957741737366,0.02390190027654171,0.019278304651379585,1,0
H6-V,15,n01558993/ILSVRC2012_val_00029417_n01558993,1,4101,0.006595052313059568,0.07878907024860382,0.3559579849243164,0.01803353987634182,0.014473959803581238,1,0
H6-P,0,n01440764/ILSVRC2012_val_00045866_n01440764,1,4101,0.013039360754191875,0.19225981831550598,0.5339747667312622,0.03760509192943573,0.03226534277200699,1,0
H6-P,1,n01443537/ILSVRC2012_val_00044095_n01443537,1,4101,0.010355249047279358,0.1944815218448639,0.5574463605880737,0.0353778637945652,0.029803400859236717,1,0
