step,method,mse,lpips_alex,normalized_latent,utility,U_image,header_failures,body_crc_failures
0,H7-P,0.024386853175711196,0.43935757052451374,0.8102220993717512,0.07642483190223574,0.06832261104385058,1,2992
0,H7-V,0.018777845688497958,0.2265072027899325,0.9002112843046586,0.05043067900904765,0.04142856636301925,1,2992
2500,H7-P,0.007940649161095886,0.1271302163048337,0.5373443402394652,0.026027114288012188,0.020653671013315517,1,2992
2500,H7-V,0.00800202901561861,0.1291134020867447,0.547152722401917,0.026384896551196774,0.02091336945107517,1,2992
5000,H7-P,0.007511107883945806,0.1185862469860663,0.5134307006215055,0.024504039704054594,0.019369732804192852,1,2992
5000,H7-V,0.00748012080550349,0.11976642839834094,0.5130973946774999,0.024587737681887423,0.019456763851937526,1,2992
7500,H7-P,0.00733413619872105,0.11722063603674372,0.506641675833861,0.024122616676706822,0.019056200017904243,1,2992
7500,H7-V,0.007233373509335797,0.11678326387517154,0.5004652847091356,0.023916352820908652,0.018911700092364724,1,2992
10000,H7-P,0.007194208138509808,0.11516347213946283,0.4983902122785648,0.0236944575654498,0.01871055555365359,1,2992
10000,H7-V,0.007176850549779677,0.11433142714711526,0.49312991443276405,0.023541292497950294,0.018609993460355325,1,2992
12500,H7-P,0.007139131466809582,0.1141862187910825,0.49387302075723805,0.023496483653675144,0.018557753542934857,1,2992
12500,H7-V,0.0070204918686145295,0.11344302216010789,0.486955946632723,0.023234353643407424,0.018364794283686207,1,2992
15000,H7-P,0.007100380414239286,0.11298208312876523,0.48875885174920164,0.023286177343099068,0.01839858892924773,1,2992
15000,H7-V,0.00700579702941274,0.11281861891162892,0.48312196203867597,0.0231188786308902,0.01828765911278315,1,2992
17500,H7-P,0.007090917750966036,0.11341896848492325,0.4887145386258761,0.023319960082508622,0.018432814808003604,1,2992
17500,H7-V,0.006917421572896031,0.11174845359412332,0.4801242401624719,0.02289350943455162,0.01809226712846818,1,2992
20000,H7-P,0.0070168481649792135,0.11201332828849554,0.4850248393473526,0.023068429467811558,0.018218181189289317,1,2992
20000,H7-V,0.0068908603277717095,0.11103512841636935,0.4779953499714534,0.022774326757605497,0.01799437336008996,1,2992
