step,method,snr_db,mse,lpips_alex,normalized_latent,utility,U_image,header_failures,body_crc_failures
0,H7-P,1,0.029605678380971463,0.48132646498829124,0.8374757094184557,0.08611308266222477,0.07773832570885618,1,2979
0,H7-P,4,0.023082671404117718,0.42887785138934853,0.8034181746691466,0.07400463896337897,0.06597045735176653,0,13
0,H7-P,7,0.0230819720311556,0.4288611787483096,0.8034055375903845,0.07400214596185833,0.0659680907195434,0,0
0,H7-P,13,0.0230819720311556,0.4288611787483096,0.8034055375903845,0.07400214596185833,0.0659680907195434,0,0
0,H7-P,19,0.0230819720311556,0.4288611787483096,0.8034055375903845,0.07400214596185833,0.0659680907195434,0,0
0,H7-V,1,0.024965926232320877,0.2738429090815286,0.9612893375009298,0.0619631108334288,0.05235021766492476,1,2979
0,H7-V,4,0.017231641268881503,0.21467870998506744,0.88494545190533,0.04754896695741142,0.03869951263054584,0,13
0,H7-V,7,0.017230553647095803,0.21467146496102213,0.884940544039011,0.04754710575146601,0.03869770050654188,0,0
0,H7-V,13,0.017230553647095803,0.21467146496102213,0.884940544039011,0.04754710575146601,0.03869770050654188,0,0
0,H7-V,19,0.017230553647095803,0.21467146496102213,0.884940544039011,0.04754710575146601,0.03869770050654188,0,0
2500,H7-P,1,0.012048763492649111,0.18480020828420918,0.6589460349927346,0.03711824485907952,0.030528784659846375,1,2979
2500,H7-P,4,0.007703392523437894,0.12450080157319705,0.5605966734588146,0.025759439481267084,0.020153472885334242,0,13
2500,H7-P,7,0.0070281908388909265,0.11489455897609392,0.5171063096895814,0.023688709896368284,0.018517646931267034,0,0
2500,H7-P,13,0.006525906861837332,0.10704682462848723,0.48020810655504464,0.022032670468402404,0.01723058951056252,0,0
2500,H7-P,19,0.006396992088664168,0.10440868806218108,0.46986457650115093,0.021536506734943638,0.01683786107956742,0,0
2500,H7-V,1,0.011593105277997286,0.18367957561463116,0.7061050180792808,0.0370221131760627,0.029961063167856385,1,2979
2500,H7-V,4,0.00791757854289608,0.12725955614633858,0.5757788078288237,0.0264013223106352,0.020643534359754995,0,13
2500,H7-V,7,0.0072402870279426376,0.11778916159334282,0.5184104099919399,0.024203307400923222,0.01901920339783343,0,0
2500,H7-V,13,0.006703470045196203,0.10975573263068994,0.4728752569730083,0.022407795977313072,0.017679043501382694,0,0
2500,H7-V,19,0.0065557041840608385,0.10708298444872101,0.46259411913653214,0.021889943891049674,0.017264002828548352,0,0
5000,H7-P,1,0.011446644080026696,0.17550594570239386,0.6456869597931703,0.03545410847074042,0.028997238984021047,1,2979
5000,H7-P,4,0.0073581802284849495,0.11700416283681989,0.5420891456057628,0.024479488065155843,0.019058596734966463,0,13
5000,H7-P,7,0.006647768266518445,0.10673268310911953,0.493048803396523,0.022251524693953494,0.01732103677551883,0,0
5000,H7-P,13,0.006114949665759923,0.09817704827835162,0.4496584022889535,0.020429238601742932,0.015932654675173883,0,0
5000,H7-P,19,0.005987997178939016,0.09551139500364661,0.43667019202311835,0.01990583868868028,0.015539136851284031,0,0
5000,H7-V,1,0.011051332092378288,0.1725020212456584,0.6653706348737081,0.034955240692322455,0.028301534516736865,1,2979
5000,H7-V,4,0.007407298866581793,0.11835693934435645,0.5418396629740795,0.024661389532188573,0.019242993014088522,0,13
