source_index,image_id,m,N,ND,NA,snr_db,seed,header_ok,header_crc_ok,decoded_mode,decoded_label,body_crc_ok,token_error_rate_including_erasure,prefix_error_normalized,base_error_normalized
0,n01440764/ILSVRC2012_val_00045866_n01440764,8,4084,2992,1024,1,4101,1,1,8,0,0,0.17647058823529413,0.12999814748764038,0.956477165222168
0,n01440764/ILSVRC2012_val_00045866_n01440764,8,4084,2992,1024,1,4102,1,1,8,0,0,0.1568627450980392,0.09371800720691681,0.8906972408294678
0,n01440764/ILSVRC2012_val_00045866_n01440764,8,4084,2992,1024,1,4103,1,1,8,0,0,0.17254901960784313,0.0980505645275116,0.8372170329093933
0,n01440764/ILSVRC2012_val_00045866_n01440764,8,4084,2992,1024,4,4101,1,1,8,0,1,0.0,0.0,0.677435040473938
0,n01440764/ILSVRC2012_val_00045866_n01440764,8,4084,2992,1024,4,4102,1,1,8,0,1,0.0,0.0,0.677435040473938
0,n01440764/ILSVRC2012_val_00045866_n01440764,8,4084,2992,1024,4,4103,1,1,8,0,1,0.0,0.0,0.677435040473938
0,n01440764/ILSVRC2012_val_00045866_n01440764,8,4084,2992,1024,7,4101,1,1,8,0,1,0.0,0.0,0.677435040473938
0,n01440764/ILSVRC2012_val_00045866_n01440764,8,4084,2992,1024,7,4102,1,1,8,0,1,0.0,0.0,0.677435040473938
0,n01440764/ILSVRC2012_val_00045866_n01440764,8,4084,2992,1024,7,4103,1,1,8,0,1,0.0,0.0,0.677435040473938
0,n01440764/ILSVRC2012_val_00045866_n01440764,8,4084,2992,1024,13,4101,1,1,8,0,1,0.0,0.0,0.677435040473938
0,n01440764/ILSVRC2012_val_00045866_n01440764,8,4084,2992,1024,13,4102,1,1,8,0,1,0.0,0.0,0.677435040473938
0,n01440764/ILSVRC2012_val_00045866_n01440764,8,4084,2992,1024,13,4103,1,1,8,0,1,0.0,0.0,0.677435040473938
0,n01440764/ILSVRC2012_val_00045866_n01440764,8,4084,2992,1024,19,4101,1,1,8,0,1,0.0,0.0,0.677435040473938
0,n01440764/ILSVRC2012_val_00045866_n01440764,8,4084,2992,1024,19,4102,1,1,8,0,1,0.0,0.0,0.677435040473938
0,n01440764/ILSVRC2012_val_00045866_n01440764,8,4084,2992,1024,19,4103,1,1,8,0,1,0.0,0.0,0.677435040473938
1,n01443537/ILSVRC2012_val_00044095_n01443537,8,4084,2992,1024,1,4101,1,1,8,1,0,0.09411764705882353,0.04135439544916153,0.8784753084182739
1,n01443537/ILSVRC2012_val_00044095_n01443537,8,4084,2992,1024,1,4102,1,1,8,1,0,0.12941176470588237,0.06593551486730576,0.9150837063789368
1,n01443537/ILSVRC2012_val_00044095_n01443537,8,4084,2992,1024,1,4103,1,1,8,1,0,0.10196078431372549,0.05221053957939148,0.8948955535888672
1,n01443537/ILSVRC2012_val_00044095_n01443537,8,4084,2992,1024,4,4101,1,1,8,1,1,0.0,0.0,0.8006659746170044
1,n01443537/ILSVRC2012_val_00044095_n01443537,8,4084,2992,1024,4,4102,1,1,8,1,1,0.0,0.0,0.8006659746170044
1,n01443537/ILSVRC2012_val_00044095_n01443537,8,4084,2992,1024,4,4103,1,1,8,1,1,0.0,0.0,0.8006659746170044
1,n01443537/ILSVRC2012_val_00044095_n01443537,8,4084,2992,1024,7,4101,1,1,8,1,1,0.0,0.0,0.8006659746170044
