region,arm,control,metric,difference,ci_low,ci_high,source_images
mechanism,conditioned,unconditioned,psnr_db,0.3637813780042861,0.32971443472968215,0.3976704534954497,100
mechanism,conditioned,unconditioned,lpips,0.005324716116819118,0.003627066957350406,0.007123838397777747,100
mechanism,conditioned,unconditioned,dino,-0.004449201358689208,-0.010223131774200334,0.0010910759303304797,100
mechanism,conditioned,unconditioned,mse,-0.0007409983933515226,-0.0008717210429587994,-0.0006220662782466713,100
mechanism,conditioned,raw_adaptive,psnr_db,0.8611415523952908,0.7208190779950885,1.0007355898751154,100
mechanism,conditioned,raw_adaptive,lpips,0.05778479838743806,0.053158865162430145,0.06259815760655328,100
mechanism,conditioned,raw_adaptive,dino,-0.11063259767161478,-0.1245860944290956,-0.09712358151872955,100
mechanism,conditioned,raw_adaptive,mse,-0.001749631325592029,-0.00209791556020154,-0.0014205974648600582,100
mechanism,conditioned,arithmetic_adaptive,psnr_db,0.8430026043785943,0.7045838051637016,0.9808828970856136,100
mechanism,conditioned,arithmetic_adaptive,lpips,0.058237289564890986,0.0536211789905404,0.06306427699886262,100
mechanism,conditioned,arithmetic_adaptive,dino,-0.11129181067148844,-0.12518378167185518,-0.09783337590595088,100
mechanism,conditioned,arithmetic_adaptive,mse,-0.001705108879369531,-0.002047989739190409,-0.001383718182901882,100
mechanism,conditioned,perceptual_deepjscc,psnr_db,-4.155158783594767,-4.312389773315853,-3.9983289441267647,100
mechanism,conditioned,perceptual_deepjscc,lpips,0.04901862971484662,0.040688426146697675,0.05761670726755014,100
mechanism,conditioned,perceptual_deepjscc,dino,0.08808715184529621,0.06384691017286644,0.11331539141676492,100
mechanism,conditioned,perceptual_deepjscc,mse,0.004802088465327264,0.004199297666499645,0.005457637987249085,100
mechanism,conditioned,raw_m7,psnr_db,3.9784895737965895,3.712276209990183,4.2407348402076295,100
mechanism,conditioned,raw_m7,lpips,-0.03959880428388715,-0.04310153204657964,-0.03617114679008308,100
mechanism,conditioned,raw_m7,dino,-0.03736227651437124,-0.04932242178916932,-0.02555722078018719,100
mechanism,conditioned,raw_m7,mse,-0.011072069057143516,-0.012393206597416023,-0.00979186832099137,100
mechanism,conditioned,raw_m8,psnr_db,2.388565266927084,2.218070347574022,2.563052212529713,100
mechanism,conditioned,raw_m8,lpips,0.017064213082194333,0.013524409980202715,0.020750662750564516,100
mechanism,conditioned,raw_m8,dino,-0.07719027121861777,-0.09097667859163551,-0.06310935887859928,100
mechanism,conditioned,raw_m8,mse,-0.00554694066020012,-0.006296060052361103,-0.0048450994036628465,100
mechanism,conditioned,raw_m9,psnr_db,0.8611415523952908,0.7208190779950885,1.0007355898751154,100
mechanism,conditioned,raw_m9,lpips,0.05778479838743806,0.053158865162430145,0.06259815760655328,100
mechanism,conditioned,raw_m9,dino,-0.11063259767161478,-0.1245860944290956,-0.09712358151872955,100
mechanism,conditioned,raw_m9,mse,-0.001749631325592029,-0.00209791556020154,-0.0014205974648600582,100
mechanism,unconditioned,raw_adaptive,psnr_db,0.4973601743910048,0.36507134683926895,0.6303017117977144,100
mechanism,unconditioned,raw_adaptive,lpips,0.05246008227061894,0.04794075582937026,0.057159759244364165,100
