region,arm,source_images,context_ablation_not_a_ranked_system,psnr_db,lpips,dino,mse
mechanism,arithmetic_adaptive,100,False,21.237186455196806,0.1359682518036829,0.9238311811288198,0.009809671617555487
mechanism,conditioned,100,False,22.0801890595754,0.1942055413685739,0.8125393704573314,0.008104562738185956
mechanism,conditioned_spatial_shuffle,100,True,21.10601849555969,0.23461924997468792,0.7641515041059919,0.010059158947551623
mechanism,perceptual_deepjscc,100,False,26.235347843170167,0.1451869116537273,0.7244522186120352,0.0033024742728586915
mechanism,raw_adaptive,100,False,21.219047507180107,0.13642074298113585,0.923171968128946,0.009854194063777987
mechanism,raw_m7,100,False,18.10169948577881,0.23380434565246105,0.8499016469717026,0.019176631795329472
mechanism,raw_m8,100,False,19.691623792648315,0.17714132828637957,0.8897296416759491,0.013651503398386073
mechanism,raw_m9,100,False,21.219047507180107,0.13642074298113585,0.923171968128946,0.009854194063777987
mechanism,unconditioned,100,False,21.716407681571116,0.18888082525175476,0.8169885718160205,0.008845561131537479
primary,arithmetic_adaptive,100,False,19.669175090789796,0.1825800808167292,0.8872288244631555,0.014266854444024445
primary,conditioned,100,False,20.430095666249596,0.2398919133614335,0.7699322863005931,0.012431172945847113
primary,conditioned_spatial_shuffle,100,True,18.746793382432724,0.3142004840821027,0.6964939229438701,0.01948857741934868
primary,perceptual_deepjscc,100,False,24.378339140150285,0.20529103238135576,0.5444265561033454,0.004834249438181852
primary,raw_adaptive,100,False,19.626653791003758,0.18376324321867696,0.8867425170871946,0.014373732655740979
primary,raw_m7,100,False,18.074286801020303,0.23475945707410573,0.8494944192303552,0.01928592173148995
primary,raw_m8,100,False,18.65316053284539,0.21492697226090562,0.8449215295414131,0.01852289315037185
primary,raw_m9,100,False,14.495504557291662,0.4692564815986488,0.3699419956230041,0.0622363446104253
primary,unconditioned,100,False,19.80959307246738,0.23257595298811792,0.7863177573846446,0.014884639057046213
high,arithmetic_adaptive,100,False,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
high,conditioned,100,False,22.236193505922955,0.19008960955465834,0.8152090015014012,0.007832965483830775
high,conditioned_spatial_shuffle,100,True,21.264471213022862,0.22939521295328938,0.7670886839926243,0.009709175580646842
high,perceptual_deepjscc,100,False,26.67525975545248,0.13450951125162341,0.7589587097615005,0.0030084000629548363
high,raw_adaptive,100,False,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
high,raw_m7,100,False,18.10169948577881,0.23380434565246105,0.8499016469717026,0.019176631795329472
high,raw_m8,100,False,19.691623792648315,0.17714132828637957,0.8897296416759491,0.013651503398386073
high,raw_m9,100,False,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
high,unconditioned,100,False,21.889834971427916,0.1848724586796016,0.8194291312495866,0.008511569353189164
snr_1,arithmetic_adaptive,100,False,18.09179816881816,0.23448540014525257,0.8481807916363081,0.019318637064584518
snr_1,conditioned,100,False,18.10495442708333,0.30566107209771876,0.6986779746164876,0.019318978325075783
snr_1,conditioned_spatial_shuffle,100,True,15.044752508799233,0.4396442929903665,0.5769401607165734,0.036024624694449205
snr_1,perceptual_deepjscc,100,False,23.327992095947266,0.2508411285777887,0.4165823387292524,0.005929014118876415
snr_1,raw_adaptive,100,False,18.019461431503295,0.23666967991739515,0.8486799637476604,0.0195045016038109
snr_1,raw_m7,100,False,18.019461431503295,0.23666967991739515,0.8486799637476604,0.0195045016038109
snr_1,raw_m8,100,False,16.577044331232706,0.290490526308616,0.7552857605119547,0.028264469897087682
snr_1,raw_m9,100,False,9.83264788309733,0.7064682183663051,0.030970302199323972,0.1113990077874019
snr_1,unconditioned,100,False,17.07617758433024,0.29539632218579454,0.7372136597335337,0.024791615422970308
snr_4,arithmetic_adaptive,100,False,19.691623792648315,0.17714132828637957,0.8897296416759491,0.013651503398386073
snr_4,conditioned,100,False,21.417152404785156,0.21157726299017668,0.8039187759160994,0.009326783265569247
snr_4,conditioned_spatial_shuffle,100,True,20.4065145778656,0.2578898352384567,0.7542644637823105,0.011681981882235655
snr_4,perceptual_deepjscc,100,False,24.451501305898027,0.1984902561083436,0.5612580932676793,0.004683111503002737
snr_4,raw_adaptive,100,False,19.69081347465515,0.1771490621877213,0.8897491864363352,0.013652706155641793
snr_4,raw_m7,100,False,18.10169948577881,0.23380434565246105,0.8499016469717026,0.019176631795329472
snr_4,raw_m8,100,False,19.69081347465515,0.1771490621877213,0.8897491864363352,0.013652706155641793
snr_4,raw_m9,100,False,12.484179321924847,0.563830238878727,0.15705728359209994,0.06534603583610372
snr_4,unconditioned,100,False,20.983048531214394,0.20543397838249802,0.809632159471512,0.01034875705993424
snr_7,arithmetic_adaptive,100,False,21.224103310902912,0.13611351401855548,0.9237760400772095,0.009830422869102746
snr_7,conditioned,100,False,21.76818016688029,0.20243740499640506,0.8072001083691914,0.008647757246896313
snr_7,conditioned_spatial_shuffle,100,True,20.789113060633344,0.24506732401748496,0.7582771443327271,0.010759125681361186
