method,source_id,repeat,tx_ms,rx_ms,total_ms
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,2,178.13958902843297,133.7131429463625,311.85273197479546
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m7,n01440764/ILSVRC2012_val_00003014_n01440764,0,173.86681400239468,137.17389293015003,311.0407069325447
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m7,n01440764/ILSVRC2012_val_00003014_n01440764,1,173.4731940086931,137.5021260464564,310.9753200551495
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m7,n01440764/ILSVRC2012_val_00003014_n01440764,2,174.09491597209126,138.18982208613306,312.2847380582243
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m8,n01440764/ILSVRC2012_val_00003014_n01440764,0,172.9107809951529,146.7604269273579,319.6712079225108
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m8,n01440764/ILSVRC2012_val_00003014_n01440764,1,172.47721494641155,147.01960305683315,319.4968180032447
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m8,n01440764/ILSVRC2012_val_00003014_n01440764,2,172.97929397318512,147.36498205456883,320.34427602775395
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m9,n01440764/ILSVRC2012_val_00003014_n01440764,0,172.61879204306751,146.6123890131712,319.2311810562387
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m9,n01440764/ILSVRC2012_val_00003014_n01440764,1,174.39846799243242,146.5950090205297,320.9934770129621
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m9,n01440764/ILSVRC2012_val_00003014_n01440764,2,172.8603799128905,146.46202500443906,319.32240491732955
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m10,n01440764/ILSVRC2012_val_00003014_n01440764,0,173.85573394130915,147.0478279516101,320.90356189291924
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m10,n01440764/ILSVRC2012_val_00003014_n01440764,1,174.0395730594173,146.9482770189643,320.9878500783816
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m10,n01440764/ILSVRC2012_val_00003014_n01440764,2,171.82825494091958,147.26744894869626,319.09570388961583
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m6,n01440764/ILSVRC2012_val_00003014_n01440764,0,170.81806994974613,131.48403400555253,302.30210395529866
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m6,n01440764/ILSVRC2012_val_00003014_n01440764,1,175.71243189740926,131.09992409590632,306.8123559933156
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m6,n01440764/ILSVRC2012_val_00003014_n01440764,2,174.94345793966204,130.80956204794347,305.7530199876055
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m7,n01440764/ILSVRC2012_val_00003014_n01440764,0,173.75133105088025,137.45359401218593,311.2049250630662
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m7,n01440764/ILSVRC2012_val_00003014_n01440764,1,173.8175479695201,137.1823059162125,310.9998538857326
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m7,n01440764/ILSVRC2012_val_00003014_n01440764,2,173.602006980218,137.37244403455406,310.97445101477206
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m8,n01440764/ILSVRC2012_val_00003014_n01440764,0,173.10110700782388,146.82245603762567,319.92356304544955
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m8,n01440764/ILSVRC2012_val_00003014_n01440764,1,173.0553419329226,147.01282791793346,320.06816985085607
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m8,n01440764/ILSVRC2012_val_00003014_n01440764,2,172.5640749791637,146.13411598838866,318.69819096755236
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m9,n01440764/ILSVRC2012_val_00003014_n01440764,0,171.33993690367788,161.86920693144202,333.2091438351199
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m9,n01440764/ILSVRC2012_val_00003014_n01440764,1,171.54515604488552,161.109812092036,332.6549681369215
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m9,n01440764/ILSVRC2012_val_00003014_n01440764,2,175.31548999249935,160.18475301098078,335.50024300348014
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m10,n01440764/ILSVRC2012_val_00003014_n01440764,0,169.59412000142038,159.82916799839586,329.42328799981624
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m10,n01440764/ILSVRC2012_val_00003014_n01440764,1,170.47955095767975,160.0880390033126,330.56758996099234
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m10,n01440764/ILSVRC2012_val_00003014_n01440764,2,170.35354604013264,159.49035400990397,329.8439000500366
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m6,n01440764/ILSVRC2012_val_00003014_n01440764,0,169.31241110432893,131.30454195197672,300.61695305630565
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m6,n01440764/ILSVRC2012_val_00003014_n01440764,1,174.6415029047057,131.2221580883488,305.8636609930545
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m6,n01440764/ILSVRC2012_val_00003014_n01440764,2,174.92227302864194,131.36600190773606,306.288274936378
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m7,n01440764/ILSVRC2012_val_00003014_n01440764,0,173.90527797397226,137.58278195746243,311.4880599314347
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m7,n01440764/ILSVRC2012_val_00003014_n01440764,1,174.53140404541045,137.60685198940337,312.1382560348138
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m7,n01440764/ILSVRC2012_val_00003014_n01440764,2,173.13926096539944,137.46614998672158,310.605410952121
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m8,n01440764/ILSVRC2012_val_00003014_n01440764,0,172.3693530075252,147.12774008512497,319.4970930926502
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m8,n01440764/ILSVRC2012_val_00003014_n01440764,1,172.15251305606216,146.38781698886305,318.5403300449252
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m8,n01440764/ILSVRC2012_val_00003014_n01440764,2,172.6065760012716,147.11988694034517,319.7264629416168
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m9,n01440764/ILSVRC2012_val_00003014_n01440764,0,171.02992697618902,160.4019229998812,331.4318499760702
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m9,n01440764/ILSVRC2012_val_00003014_n01440764,1,171.68240109458566,161.23815707396716,332.9205581685528
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m9,n01440764/ILSVRC2012_val_00003014_n01440764,2,171.28808493725955,160.2085530757904,331.49663801304996
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m10,n01440764/ILSVRC2012_val_00003014_n01440764,0,177.59950493928045,181.341523071751,358.94102801103145
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m10,n01440764/ILSVRC2012_val_00003014_n01440764,1,177.3077119141817,180.8702819980681,358.1779939122498
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m10,n01440764/ILSVRC2012_val_00003014_n01440764,2,180.4848089814186,182.29974596761167,362.7845549490303
token-efficiency-digital-v1/raw/QPSK/N2048/m6,n01943899/ILSVRC2012_val_00005706_n01943899,0,9.982974035665393,118.4363659704104,128.4193400060758
token-efficiency-digital-v1/raw/QPSK/N2048/m6,n01943899/ILSVRC2012_val_00005706_n01943899,1,9.83443798031658,118.45265200827271,128.2870899885893
