image_index,image_id,snr_db,seed,repeat,method,mode,family,complex_uses,total_energy,TX_seconds,RX_seconds,peak_allocated_bytes,parameters_vae,parameters_var,signal_exact,image_exact,signal_max_error,image_max_error,header_accepted,body_crc_accepted,actual_image_sha256,actual_signal_sha256
0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,1,arithmetic_adaptive_N4498,9,arithmetic,4498,8996,0.07036521000554785,0.08364776699454524,1962874880,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,5cb9a6ade2ed5cc01d5b22785738a758a3c92a7e3b953ddd5ee81118a9c7141c
0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2001,2,arithmetic_adaptive_N4498,9,arithmetic,4498,8996,0.0705540299823042,0.08064630199805833,1962874880,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,5cb9a6ade2ed5cc01d5b22785738a758a3c92a7e3b953ddd5ee81118a9c7141c
0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,0,raw_adaptive_N4204,9,raw,4204,8408,0.0107922809838783,0.05980655501480214,1962910208,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,3cb14e29ad67d308b986e894a89f4bce978dd5c8cb01f3f4aae4394a05eeda1a
0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,1,raw_adaptive_N4204,9,raw,4204,8408,0.01094874701811932,0.059535899985348806,1962910208,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,3cb14e29ad67d308b986e894a89f4bce978dd5c8cb01f3f4aae4394a05eeda1a
0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,2,raw_adaptive_N4204,9,raw,4204,8408,0.010921456007054076,0.05978492897702381,1962910208,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,3cb14e29ad67d308b986e894a89f4bce978dd5c8cb01f3f4aae4394a05eeda1a
0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,0,arithmetic_adaptive_N4204,9,arithmetic,4204,8408,0.0706243849999737,0.08096612599911168,1962874880,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,c66d3370e5535169cf569856bdfa17f2b2a754933d32c53e04ac799aabd93da6
0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,1,arithmetic_adaptive_N4204,9,arithmetic,4204,8408,0.07079210199299268,0.0807476100162603,1962874880,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,c66d3370e5535169cf569856bdfa17f2b2a754933d32c53e04ac799aabd93da6
0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,2,arithmetic_adaptive_N4204,9,arithmetic,4204,8408,0.07064242399064824,0.08075903498684056,1962874880,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,c66d3370e5535169cf569856bdfa17f2b2a754933d32c53e04ac799aabd93da6
0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,0,raw_adaptive_N4498,9,raw,4498,8996,0.010813512984896079,0.05987430698587559,1962910208,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,5dc335e796e466fd8cdc01ccfcd094ec7666ac16af21052b94f4ae28e53f73b8
0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,1,raw_adaptive_N4498,9,raw,4498,8996,0.010921003005933017,0.05986648300313391,1962910208,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,5dc335e796e466fd8cdc01ccfcd094ec7666ac16af21052b94f4ae28e53f73b8
