method,source_index,snr_db,seed_keys,psnr_db,lpips_alex,dino_cosine
arithmetic_adaptive_m789_Dc,10,7.0,"2001,2002,2003",20.043407440185547,0.1154266893863678,0.9612476627031962
arithmetic_adaptive_m789_Dc,10,13.0,"2001,2002,2003",20.043407440185547,0.1154266893863678,0.9612476229667664
arithmetic_adaptive_m789_Dc,10,19.0,"2001,2002,2003",20.043407440185547,0.1154266893863678,0.9612476229667664
arithmetic_adaptive_m789_Dc,11,1.0,"2001,2002,2003",14.261213938395182,0.39610115190347034,0.5800647139549255
arithmetic_adaptive_m789_Dc,11,4.0,"2001,2002,2003",19.850181579589844,0.14935721457004547,0.793117344379425
arithmetic_adaptive_m789_Dc,11,7.0,"2001,2002,2003",19.850181579589844,0.14935721457004547,0.793117344379425
arithmetic_adaptive_m789_Dc,11,13.0,"2001,2002,2003",19.850181579589844,0.14935721457004547,0.793117344379425
arithmetic_adaptive_m789_Dc,11,19.0,"2001,2002,2003",19.850181579589844,0.14935721457004547,0.793117344379425
arithmetic_adaptive_m789_Dc,12,1.0,"2001,2002,2003",20.706783294677734,0.22272529701391855,0.9130004644393921
arithmetic_adaptive_m789_Dc,12,4.0,"2001,2002,2003",22.268173217773438,0.17429921527703604,0.8909101486206055
arithmetic_adaptive_m789_Dc,12,7.0,"2001,2002,2003",22.268173217773438,0.1742992103099823,0.8909100691477457
arithmetic_adaptive_m789_Dc,12,13.0,"2001,2002,2003",22.268173217773438,0.17429921527703604,0.8909099102020264
arithmetic_adaptive_m789_Dc,12,19.0,"2001,2002,2003",22.268173217773438,0.17429921527703604,0.8909099102020264
arithmetic_adaptive_m789_Dc,13,1.0,"2001,2002,2003",17.41983699798584,0.27746473252773285,0.8246829708417257
arithmetic_adaptive_m789_Dc,13,4.0,"2001,2002,2003",20.89848518371582,0.16189720729986826,0.8910526037216187
arithmetic_adaptive_m789_Dc,13,7.0,"2001,2002,2003",20.89848518371582,0.16189720729986826,0.8910525441169739
arithmetic_adaptive_m789_Dc,13,13.0,"2001,2002,2003",20.89848518371582,0.161897212266922,0.8910524249076843
arithmetic_adaptive_m789_Dc,13,19.0,"2001,2002,2003",20.89848518371582,0.16189720729986826,0.8910524249076843
arithmetic_adaptive_m789_Dc,14,1.0,"2001,2002,2003",16.468777974446613,0.1297516624132792,0.8790240287780762
arithmetic_adaptive_m789_Dc,14,4.0,"2001,2002,2003",17.996095657348633,0.1025913804769516,0.9132829904556274
arithmetic_adaptive_m789_Dc,14,7.0,"2001,2002,2003",17.996095657348633,0.1025913804769516,0.9132830103238424
arithmetic_adaptive_m789_Dc,14,13.0,"2001,2002,2003",17.996095657348633,0.1025913804769516,0.9132830500602722
arithmetic_adaptive_m789_Dc,14,19.0,"2001,2002,2003",17.996095657348633,0.1025913804769516,0.9132830500602722
