method,snr_db,N,E_mean,E_min,E_p05,E_p95,E_max,energy_constraint,table_sha256
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m9,19,2048,4095.92,3982.4,4021.9200000000005,4188.799999999999,4220.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m10,1,3060,6125.296,5964.800000000001,6022.16,6221.04,6281.6,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m10,4,3060,6125.296,5964.800000000001,6022.16,6221.04,6281.6,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m10,7,3060,6125.296,5964.800000000001,6022.16,6221.04,6281.6,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m10,13,3060,6125.296,5964.800000000001,6022.16,6221.04,6281.6,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m10,19,3060,6125.296,5964.800000000001,6022.16,6221.04,6281.6,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m6,1,3060,6139.216,5827.200000000001,5963.280000000001,6315.52,6344.0,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m6,4,3060,6139.216,5827.200000000001,5963.280000000001,6315.52,6344.0,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m6,7,3060,6139.216,5827.200000000001,5963.280000000001,6315.52,6344.0,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m6,13,3060,6139.216,5827.200000000001,5963.280000000001,6315.52,6344.0,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m6,19,3060,6139.216,5827.200000000001,5963.280000000001,6315.52,6344.0,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m7,1,3060,6127.024,5923.200000000001,5964.320000000001,6245.360000000001,6308.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m7,4,3060,6127.024,5923.200000000001,5964.320000000001,6245.360000000001,6308.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m7,7,3060,6127.024,5923.200000000001,5964.320000000001,6245.360000000001,6308.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m7,13,3060,6127.024,5923.200000000001,5964.320000000001,6245.360000000001,6308.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m7,19,3060,6127.024,5923.200000000001,5964.320000000001,6245.360000000001,6308.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m8,1,3060,6120.704000000001,5953.6,5991.84,6222.64,6270.4,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m8,4,3060,6120.704000000001,5953.6,5991.84,6222.64,6270.4,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m8,7,3060,6120.704000000001,5953.6,5991.84,6222.64,6270.4,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m8,13,3060,6120.704000000001,5953.6,5991.84,6222.64,6270.4,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m8,19,3060,6120.704000000001,5953.6,5991.84,6222.64,6270.4,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,1,3060,6124.848000000001,5982.4,6014.4,6221.04,6257.6,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,4,3060,6124.848000000001,5982.4,6014.4,6221.04,6257.6,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,7,3060,6124.848000000001,5982.4,6014.4,6221.04,6257.6,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,13,3060,6124.848000000001,5982.4,6014.4,6221.04,6257.6,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,19,3060,6124.848000000001,5982.4,6014.4,6221.04,6257.6,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,1,4084,8169.552000000001,7992.0,8048.0,8299.359999999999,8332.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,4,4084,8169.552000000001,7992.0,8048.0,8299.359999999999,8332.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,7,4084,8169.552000000001,7992.0,8048.0,8299.359999999999,8332.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,13,4084,8169.552000000001,7992.0,8048.0,8299.359999999999,8332.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,19,4084,8169.552000000001,7992.0,8048.0,8299.359999999999,8332.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,1,4084,8192.624,7798.4,7926.08,8417.84,8464.0,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,4,4084,8192.624,7798.4,7926.08,8417.84,8464.0,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,7,4084,8192.624,7798.4,7926.08,8417.84,8464.0,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,13,4084,8192.624,7798.4,7926.08,8417.84,8464.0,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,19,4084,8192.624,7798.4,7926.08,8417.84,8464.0,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,1,4084,8176.1759999999995,7864.0,7991.28,8332.960000000001,8404.800000000001,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,4,4084,8176.1759999999995,7864.0,7991.28,8332.960000000001,8404.800000000001,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,7,4084,8176.1759999999995,7864.0,7991.28,8332.960000000001,8404.800000000001,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,13,4084,8176.1759999999995,7864.0,7991.28,8332.960000000001,8404.800000000001,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,19,4084,8176.1759999999995,7864.0,7991.28,8332.960000000001,8404.800000000001,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,1,4084,8172.768,7921.6,8015.92,8299.6,8379.2,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,4,4084,8172.768,7921.6,8015.92,8299.6,8379.2,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,7,4084,8172.768,7921.6,8015.92,8299.6,8379.2,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,13,4084,8172.768,7921.6,8015.92,8299.6,8379.2,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,19,4084,8172.768,7921.6,8015.92,8299.6,8379.2,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,1,4084,8170.511999999999,7980.799999999999,8052.08,8289.68,8337.600000000002,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,4,4084,8170.511999999999,7980.799999999999,8052.08,8289.68,8337.600000000002,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,7,4084,8170.511999999999,7980.799999999999,8052.08,8289.68,8337.600000000002,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,13,4084,8170.511999999999,7980.799999999999,8052.08,8289.68,8337.600000000002,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,19,4084,8170.511999999999,7980.799999999999,8052.08,8289.68,8337.600000000002,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m6,1,2048,4103.407999999999,3926.3999999999996,3999.84,4225.84,4294.4,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m6,4,2048,4103.407999999999,3926.3999999999996,3999.84,4225.84,4294.4,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
