method,source_id,repeat,tx_ms,rx_ms,total_ms
token-efficiency-digital-v1/raw/16QAM/N4084/m8,n01440764/ILSVRC2012_val_00003014_n01440764,2,10.86141704581678,118.90217196196318,129.76358900777996
token-efficiency-digital-v1/raw/16QAM/N4084/m9,n01440764/ILSVRC2012_val_00003014_n01440764,0,11.9389439933002,120.05263695027679,131.991580943577
token-efficiency-digital-v1/raw/16QAM/N4084/m9,n01440764/ILSVRC2012_val_00003014_n01440764,1,11.854941956698895,121.15804909262806,133.01299104932696
token-efficiency-digital-v1/raw/16QAM/N4084/m9,n01440764/ILSVRC2012_val_00003014_n01440764,2,11.852242983877659,119.76513708941638,131.61738007329404
token-efficiency-digital-v1/raw/16QAM/N4084/m10,n01440764/ILSVRC2012_val_00003014_n01440764,0,13.394352048635483,17.033474054187536,30.42782610282302
token-efficiency-digital-v1/raw/16QAM/N4084/m10,n01440764/ILSVRC2012_val_00003014_n01440764,1,13.223374029621482,16.974905040115118,30.1982790697366
token-efficiency-digital-v1/raw/16QAM/N4084/m10,n01440764/ILSVRC2012_val_00003014_n01440764,2,13.178298948332667,17.002118984237313,30.18041793256998
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,0,175.45209301169962,131.24916900414973,306.70126201584935
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,1,175.3788780188188,132.21085106488317,307.58972908370197
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,2,176.6713799443096,131.37997197918594,308.05135192349553
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m7,n01440764/ILSVRC2012_val_00003014_n01440764,0,176.28847295418382,138.16887605935335,314.45734901353717
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m7,n01440764/ILSVRC2012_val_00003014_n01440764,1,176.29572201985866,138.4979549329728,314.79367695283145
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m7,n01440764/ILSVRC2012_val_00003014_n01440764,2,177.64699296094477,138.86179903056473,316.5087919915095
