method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,psnr_db,lpips_alex,dino_cosine
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,1,0,True,114,20.504657745361328,0.18121042847633362,0.8016921877861023
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,1,1,True,136,21.632747650146484,0.1169852614402771,0.7790272235870361
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,1,1,True,114,21.67667007446289,0.11675169318914413,0.779306173324585
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,1,1,True,136,21.602516174316406,0.1195855662226677,0.7229398488998413
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,1,1,True,114,21.64464569091797,0.1185981035232544,0.726564884185791
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,1,1,True,136,21.594934463500977,0.11890026181936264,0.7394900321960449
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,1,1,True,114,21.640653610229492,0.11842109262943268,0.7392148971557617
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,1,1,True,136,21.72933578491211,0.11582326889038086,0.7785202264785767
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,1,1,True,114,21.760175704956055,0.11549647897481918,0.778540849685669
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,1,1,True,136,21.700214385986328,0.11686749756336212,0.7333546876907349
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,1,1,True,114,21.732440948486328,0.11607708781957626,0.7356351613998413
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,1,1,True,136,21.69654655456543,0.11763365566730499,0.7400010824203491
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,1,1,True,114,21.72875213623047,0.1171761080622673,0.7400504350662231
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,4084,8168,1,1,True,136,21.83028793334961,0.11458128690719604,0.7701880931854248
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,4084,8168,1,1,True,114,21.839950561523438,0.11453057825565338,0.7673181295394897
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,4084,8168,1,1,True,136,21.812335968017578,0.11488526314496994,0.7391992807388306
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,4084,8168,1,1,True,114,21.823673248291016,0.11471080780029297,0.7391210198402405
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,4084,8168,1,1,True,136,21.80628776550293,0.11619327962398529,0.7419877648353577
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,4084,8168,1,1,True,114,21.817543029785156,0.11608792096376419,0.7419084906578064
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,4084,8168,1,1,True,136,21.858539581298828,0.11479668319225311,0.7563908100128174
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,4084,8168,1,1,True,114,21.86046600341797,0.11481581628322601,0.7542530298233032
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,4084,8168,1,1,True,136,21.84939193725586,0.11462707817554474,0.7389559745788574
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,4084,8168,1,1,True,114,21.852519989013672,0.11462000757455826,0.7387378215789795
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2003,4084,8168,1,1,True,136,21.84341049194336,0.11547114700078964,0.7404985427856445
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2003,4084,8168,1,1,True,114,21.847148895263672,0.11537965387105942,0.7400153875350952
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2001,4084,8168,1,0,True,194,16.272151947021484,0.31142985820770264,0.8507649898529053
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2001,4084,8168,1,0,True,172,16.04606056213379,0.3268788456916809,0.8353452086448669
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2002,4084,8168,1,0,True,194,16.519298553466797,0.30150410532951355,0.6019498109817505
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2002,4084,8168,1,0,True,172,16.277502059936523,0.3141777515411377,0.6561251282691956
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2003,4084,8168,1,0,True,194,15.551100730895996,0.40256184339523315,0.3659248650074005
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2003,4084,8168,1,0,True,172,15.361939430236816,0.4301382899284363,0.3181644678115845
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2001,4084,8168,1,1,True,194,17.352962493896484,0.2517695426940918,0.8652068972587585
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2001,4084,8168,1,1,True,172,17.38926124572754,0.248552605509758,0.8688749074935913
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2002,4084,8168,1,1,True,194,17.327919006347656,0.2565780282020569,0.8594186305999756
