method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,psnr_db,lpips_alex,dino_cosine
source,21,n02105641/ILSVRC2012_val_00018762_n02105641,13.0,2002,4084,8168,1,1,True,174,19.113571166992188,0.19096842408180237,0.889335036277771
residual,21,n02105641/ILSVRC2012_val_00018762_n02105641,13.0,2002,4084,8168,1,1,True,148,19.13376235961914,0.19001410901546478,0.8897823095321655
source,21,n02105641/ILSVRC2012_val_00018762_n02105641,13.0,2003,4084,8168,1,1,True,174,19.118783950805664,0.1850028932094574,0.8892347812652588
residual,21,n02105641/ILSVRC2012_val_00018762_n02105641,13.0,2003,4084,8168,1,1,True,148,19.136878967285156,0.18474003672599792,0.8885879516601562
source,21,n02105641/ILSVRC2012_val_00018762_n02105641,19.0,2001,4084,8168,1,1,True,174,19.174930572509766,0.18542146682739258,0.8812080025672913
residual,21,n02105641/ILSVRC2012_val_00018762_n02105641,19.0,2001,4084,8168,1,1,True,148,19.18022346496582,0.1856253743171692,0.882112443447113
source,21,n02105641/ILSVRC2012_val_00018762_n02105641,19.0,2002,4084,8168,1,1,True,174,19.17469596862793,0.18797995150089264,0.8899381160736084
residual,21,n02105641/ILSVRC2012_val_00018762_n02105641,19.0,2002,4084,8168,1,1,True,148,19.18018341064453,0.1877351999282837,0.889509379863739
source,21,n02105641/ILSVRC2012_val_00018762_n02105641,19.0,2003,4084,8168,1,1,True,174,19.174339294433594,0.18508008122444153,0.8867092728614807
residual,21,n02105641/ILSVRC2012_val_00018762_n02105641,19.0,2003,4084,8168,1,1,True,148,19.179637908935547,0.18522916734218597,0.8862977623939514
source,22,n02106550/ILSVRC2012_val_00014315_n02106550,1.0,2001,4084,8168,1,0,True,190,14.722942352294922,0.28511306643486023,0.834215521812439
residual,22,n02106550/ILSVRC2012_val_00014315_n02106550,1.0,2001,4084,8168,1,0,True,157,14.369760513305664,0.30153366923332214,0.7884552478790283
source,22,n02106550/ILSVRC2012_val_00014315_n02106550,1.0,2002,4084,8168,1,0,True,190,14.33292293548584,0.28999894857406616,0.8397605419158936
residual,22,n02106550/ILSVRC2012_val_00014315_n02106550,1.0,2002,4084,8168,1,0,True,157,13.867634773254395,0.30319684743881226,0.8305634260177612
source,22,n02106550/ILSVRC2012_val_00014315_n02106550,1.0,2003,4084,8168,1,0,True,190,15.239786148071289,0.26257234811782837,0.9025574922561646
residual,22,n02106550/ILSVRC2012_val_00014315_n02106550,1.0,2003,4084,8168,1,0,True,157,14.598183631896973,0.28707408905029297,0.8886945843696594
source,22,n02106550/ILSVRC2012_val_00014315_n02106550,4.0,2001,4084,8168,1,1,True,190,20.138202667236328,0.13981342315673828,0.9591798782348633
residual,22,n02106550/ILSVRC2012_val_00014315_n02106550,4.0,2001,4084,8168,1,1,True,157,20.317508697509766,0.13555866479873657,0.9608760476112366
source,22,n02106550/ILSVRC2012_val_00014315_n02106550,4.0,2002,4084,8168,1,1,True,190,19.942399978637695,0.13778656721115112,0.9589186310768127
residual,22,n02106550/ILSVRC2012_val_00014315_n02106550,4.0,2002,4084,8168,1,1,True,157,20.046409606933594,0.1366340070962906,0.959567129611969
source,22,n02106550/ILSVRC2012_val_00014315_n02106550,4.0,2003,4084,8168,1,1,True,190,20.021484375,0.1386099010705948,0.9608814716339111
residual,22,n02106550/ILSVRC2012_val_00014315_n02106550,4.0,2003,4084,8168,1,1,True,157,20.175270080566406,0.13677555322647095,0.9610215425491333
source,22,n02106550/ILSVRC2012_val_00014315_n02106550,7.0,2001,4084,8168,1,1,True,190,20.42873764038086,0.13249804079532623,0.9615771770477295
residual,22,n02106550/ILSVRC2012_val_00014315_n02106550,7.0,2001,4084,8168,1,1,True,157,20.5186824798584,0.1305963397026062,0.9627572298049927
source,22,n02106550/ILSVRC2012_val_00014315_n02106550,7.0,2002,4084,8168,1,1,True,190,20.113237380981445,0.13651081919670105,0.9599223136901855
residual,22,n02106550/ILSVRC2012_val_00014315_n02106550,7.0,2002,4084,8168,1,1,True,157,20.198135375976562,0.13582125306129456,0.9605469703674316
source,22,n02106550/ILSVRC2012_val_00014315_n02106550,7.0,2003,4084,8168,1,1,True,190,20.332059860229492,0.13453592360019684,0.9608948230743408
residual,22,n02106550/ILSVRC2012_val_00014315_n02106550,7.0,2003,4084,8168,1,1,True,157,20.443342208862305,0.13236527144908905,0.9613388776779175
source,22,n02106550/ILSVRC2012_val_00014315_n02106550,13.0,2001,4084,8168,1,1,True,190,20.63518714904785,0.12876030802726746,0.9650978446006775
residual,22,n02106550/ILSVRC2012_val_00014315_n02106550,13.0,2001,4084,8168,1,1,True,157,20.653104782104492,0.12862327694892883,0.9656494855880737
source,22,n02106550/ILSVRC2012_val_00014315_n02106550,13.0,2002,4084,8168,1,1,True,190,20.43328857421875,0.1328478753566742,0.9624161720275879
residual,22,n02106550/ILSVRC2012_val_00014315_n02106550,13.0,2002,4084,8168,1,1,True,157,20.503461837768555,0.13179828226566315,0.9629096388816833
source,22,n02106550/ILSVRC2012_val_00014315_n02106550,13.0,2003,4084,8168,1,1,True,190,20.57964515686035,0.12933576107025146,0.9629659652709961
residual,22,n02106550/ILSVRC2012_val_00014315_n02106550,13.0,2003,4084,8168,1,1,True,157,20.60441780090332,0.12891662120819092,0.963821530342102
source,22,n02106550/ILSVRC2012_val_00014315_n02106550,19.0,2001,4084,8168,1,1,True,190,20.6685791015625,0.12854556739330292,0.966113269329071
residual,22,n02106550/ILSVRC2012_val_00014315_n02106550,19.0,2001,4084,8168,1,1,True,157,20.668113708496094,0.1285228282213211,0.9660770893096924
source,22,n02106550/ILSVRC2012_val_00014315_n02106550,19.0,2002,4084,8168,1,1,True,190,20.58882713317871,0.13059403002262115,0.9642869234085083
residual,22,n02106550/ILSVRC2012_val_00014315_n02106550,19.0,2002,4084,8168,1,1,True,157,20.60428810119629,0.13034825026988983,0.964518129825592
source,22,n02106550/ILSVRC2012_val_00014315_n02106550,19.0,2003,4084,8168,1,1,True,190,20.636211395263672,0.1288096010684967,0.965031623840332
residual,22,n02106550/ILSVRC2012_val_00014315_n02106550,19.0,2003,4084,8168,1,1,True,157,20.641048431396484,0.12891176342964172,0.9651490449905396
source,23,n02107683/ILSVRC2012_val_00010786_n02107683,1.0,2001,4084,8168,1,0,True,136,23.046892166137695,0.17864660918712616,0.8301606178283691
residual,23,n02107683/ILSVRC2012_val_00010786_n02107683,1.0,2001,4084,8168,1,0,True,110,22.588157653808594,0.19182434678077698,0.846645712852478
source,23,n02107683/ILSVRC2012_val_00010786_n02107683,1.0,2002,4084,8168,1,0,True,136,24.35311508178711,0.1743190884590149,0.9096356630325317
residual,23,n02107683/ILSVRC2012_val_00010786_n02107683,1.0,2002,4084,8168,1,0,True,110,24.0267391204834,0.18263182044029236,0.8974705338478088
source,23,n02107683/ILSVRC2012_val_00010786_n02107683,1.0,2003,4084,8168,1,0,True,136,23.33065414428711,0.17385995388031006,0.9145320653915405
residual,23,n02107683/ILSVRC2012_val_00010786_n02107683,1.0,2003,4084,8168,1,0,True,110,22.763471603393555,0.18285822868347168,0.9094473123550415
source,23,n02107683/ILSVRC2012_val_00010786_n02107683,4.0,2001,4084,8168,1,1,True,136,25.31151580810547,0.14829546213150024,0.9329224228858948
residual,23,n02107683/ILSVRC2012_val_00010786_n02107683,4.0,2001,4084,8168,1,1,True,110,25.355335235595703,0.14702384173870087,0.9335264563560486
source,23,n02107683/ILSVRC2012_val_00010786_n02107683,4.0,2002,4084,8168,1,1,True,136,25.447263717651367,0.14328770339488983,0.9355771541595459
residual,23,n02107683/ILSVRC2012_val_00010786_n02107683,4.0,2002,4084,8168,1,1,True,110,25.484886169433594,0.14224962890148163,0.9353523254394531
source,23,n02107683/ILSVRC2012_val_00010786_n02107683,4.0,2003,4084,8168,1,1,True,136,25.313461303710938,0.14555154740810394,0.9345067739486694
residual,23,n02107683/ILSVRC2012_val_00010786_n02107683,4.0,2003,4084,8168,1,1,True,110,25.374698638916016,0.14444205164909363,0.9347223043441772
source,23,n02107683/ILSVRC2012_val_00010786_n02107683,7.0,2001,4084,8168,1,1,True,136,25.40497589111328,0.14560575783252716,0.9344642162322998
residual,23,n02107683/ILSVRC2012_val_00010786_n02107683,7.0,2001,4084,8168,1,1,True,110,25.435941696166992,0.14476679265499115,0.934921145439148
source,23,n02107683/ILSVRC2012_val_00010786_n02107683,7.0,2002,4084,8168,1,1,True,136,25.524423599243164,0.1407407522201538,0.935606062412262
residual,23,n02107683/ILSVRC2012_val_00010786_n02107683,7.0,2002,4084,8168,1,1,True,110,25.546520233154297,0.14007468521595,0.9360131025314331
source,23,n02107683/ILSVRC2012_val_00010786_n02107683,7.0,2003,4084,8168,1,1,True,136,25.44264793395996,0.14337779581546783,0.9353321194648743
residual,23,n02107683/ILSVRC2012_val_00010786_n02107683,7.0,2003,4084,8168,1,1,True,110,25.483722686767578,0.1429251730442047,0.9357051849365234
source,23,n02107683/ILSVRC2012_val_00010786_n02107683,13.0,2001,4084,8168,1,1,True,136,25.512170791625977,0.1416315734386444,0.9369601011276245
residual,23,n02107683/ILSVRC2012_val_00010786_n02107683,13.0,2001,4084,8168,1,1,True,110,25.52581024169922,0.14104624092578888,0.9376317858695984
source,23,n02107683/ILSVRC2012_val_00010786_n02107683,13.0,2002,4084,8168,1,1,True,136,25.589590072631836,0.13895314931869507,0.9379696846008301
residual,23,n02107683/ILSVRC2012_val_00010786_n02107683,13.0,2002,4084,8168,1,1,True,110,25.594188690185547,0.1388651579618454,0.9384241104125977
source,23,n02107683/ILSVRC2012_val_00010786_n02107683,13.0,2003,4084,8168,1,1,True,136,25.567909240722656,0.14104020595550537,0.9372034072875977
residual,23,n02107683/ILSVRC2012_val_00010786_n02107683,13.0,2003,4084,8168,1,1,True,110,25.57802963256836,0.14074981212615967,0.9378460645675659
source,23,n02107683/ILSVRC2012_val_00010786_n02107683,19.0,2001,4084,8168,1,1,True,136,25.55968475341797,0.14001333713531494,0.9385140538215637
residual,23,n02107683/ILSVRC2012_val_00010786_n02107683,19.0,2001,4084,8168,1,1,True,110,25.56562042236328,0.1399495005607605,0.9386535882949829
source,23,n02107683/ILSVRC2012_val_00010786_n02107683,19.0,2002,4084,8168,1,1,True,136,25.60283851623535,0.13879114389419556,0.9393807649612427
residual,23,n02107683/ILSVRC2012_val_00010786_n02107683,19.0,2002,4084,8168,1,1,True,110,25.603437423706055,0.13893753290176392,0.9394676685333252
source,23,n02107683/ILSVRC2012_val_00010786_n02107683,19.0,2003,4084,8168,1,1,True,136,25.597379684448242,0.1401636004447937,0.938633143901825
residual,23,n02107683/ILSVRC2012_val_00010786_n02107683,19.0,2003,4084,8168,1,1,True,110,25.5990047454834,0.14012332260608673,0.9387900829315186
source,24,n02110806/ILSVRC2012_val_00030364_n02110806,1.0,2001,4084,8168,1,0,True,192,14.077465057373047,0.2998168468475342,0.657671332359314
residual,24,n02110806/ILSVRC2012_val_00030364_n02110806,1.0,2001,4084,8168,1,0,True,165,13.552149772644043,0.3245692551136017,0.6759885549545288
source,24,n02110806/ILSVRC2012_val_00030364_n02110806,1.0,2002,4084,8168,1,0,True,192,15.320178985595703,0.2548254430294037,0.8100976943969727
residual,24,n02110806/ILSVRC2012_val_00030364_n02110806,1.0,2002,4084,8168,1,0,True,165,14.683174133300781,0.2791283130645752,0.7625049352645874
source,24,n02110806/ILSVRC2012_val_00030364_n02110806,1.0,2003,4084,8168,1,0,True,192,11.61014461517334,0.34221696853637695,0.6688394546508789
residual,24,n02110806/ILSVRC2012_val_00030364_n02110806,1.0,2003,4084,8168,1,0,True,165,10.805757522583008,0.37628602981567383,0.6407914161682129
source,24,n02110806/ILSVRC2012_val_00030364_n02110806,4.0,2001,4084,8168,1,1,True,192,19.549497604370117,0.1609666645526886,0.8740644454956055
residual,24,n02110806/ILSVRC2012_val_00030364_n02110806,4.0,2001,4084,8168,1,1,True,165,19.672149658203125,0.15768462419509888,0.8765929937362671
source,24,n02110806/ILSVRC2012_val_00030364_n02110806,4.0,2002,4084,8168,1,1,True,192,19.45644760131836,0.16134896874427795,0.8864823579788208
residual,24,n02110806/ILSVRC2012_val_00030364_n02110806,4.0,2002,4084,8168,1,1,True,165,19.601804733276367,0.15844714641571045,0.8871955275535583
source,24,n02110806/ILSVRC2012_val_00030364_n02110806,4.0,2003,4084,8168,1,1,True,192,19.18857192993164,0.16440337896347046,0.8707778453826904
residual,24,n02110806/ILSVRC2012_val_00030364_n02110806,4.0,2003,4084,8168,1,1,True,165,19.431306838989258,0.16031870245933533,0.8717930316925049
source,24,n02110806/ILSVRC2012_val_00030364_n02110806,7.0,2001,4084,8168,1,1,True,192,19.789936065673828,0.15434154868125916,0.8795871734619141
residual,24,n02110806/ILSVRC2012_val_00030364_n02110806,7.0,2001,4084,8168,1,1,True,165,19.86629867553711,0.1522853821516037,0.8815791606903076
source,24,n02110806/ILSVRC2012_val_00030364_n02110806,7.0,2002,4084,8168,1,1,True,192,19.74431610107422,0.15526069700717926,0.8876775503158569
residual,24,n02110806/ILSVRC2012_val_00030364_n02110806,7.0,2002,4084,8168,1,1,True,165,19.840068817138672,0.15291278064250946,0.8886980414390564
source,24,n02110806/ILSVRC2012_val_00030364_n02110806,7.0,2003,4084,8168,1,1,True,192,19.644804000854492,0.15671803057193756,0.8731452226638794
residual,24,n02110806/ILSVRC2012_val_00030364_n02110806,7.0,2003,4084,8168,1,1,True,165,19.78141975402832,0.15430983901023865,0.8748534321784973
source,24,n02110806/ILSVRC2012_val_00030364_n02110806,13.0,2001,4084,8168,1,1,True,192,20.012737274169922,0.14869824051856995,0.8858867883682251
residual,24,n02110806/ILSVRC2012_val_00030364_n02110806,13.0,2001,4084,8168,1,1,True,165,20.034439086914062,0.14819757640361786,0.8863226771354675
source,24,n02110806/ILSVRC2012_val_00030364_n02110806,13.0,2002,4084,8168,1,1,True,192,20.028430938720703,0.1493975818157196,0.888890266418457
residual,24,n02110806/ILSVRC2012_val_00030364_n02110806,13.0,2002,4084,8168,1,1,True,165,20.054901123046875,0.14900211989879608,0.8884110450744629
source,24,n02110806/ILSVRC2012_val_00030364_n02110806,13.0,2003,4084,8168,1,1,True,192,20.036163330078125,0.14978161454200745,0.8777479529380798
residual,24,n02110806/ILSVRC2012_val_00030364_n02110806,13.0,2003,4084,8168,1,1,True,165,20.06816864013672,0.1493120640516281,0.8785884380340576
source,24,n02110806/ILSVRC2012_val_00030364_n02110806,19.0,2001,4084,8168,1,1,True,192,20.084152221679688,0.14743268489837646,0.8850456476211548
residual,24,n02110806/ILSVRC2012_val_00030364_n02110806,19.0,2001,4084,8168,1,1,True,165,20.089929580688477,0.14756634831428528,0.8849210739135742
source,24,n02110806/ILSVRC2012_val_00030364_n02110806,19.0,2002,4084,8168,1,1,True,192,20.108659744262695,0.14844352006912231,0.8870565295219421
residual,24,n02110806/ILSVRC2012_val_00030364_n02110806,19.0,2002,4084,8168,1,1,True,165,20.11244010925293,0.14839622378349304,0.8867388963699341
source,24,n02110806/ILSVRC2012_val_00030364_n02110806,19.0,2003,4084,8168,1,1,True,192,20.125886917114258,0.148414745926857,0.8807514905929565
residual,24,n02110806/ILSVRC2012_val_00030364_n02110806,19.0,2003,4084,8168,1,1,True,165,20.12694549560547,0.148390993475914,0.8812877535820007
source,25,n02113799/ILSVRC2012_val_00007866_n02113799,1.0,2001,4084,8168,1,0,True,160,17.913497924804688,0.2794928252696991,0.6118114590644836
residual,25,n02113799/ILSVRC2012_val_00007866_n02113799,1.0,2001,4084,8168,1,0,True,133,17.447267532348633,0.29779309034347534,0.5922364592552185
source,25,n02113799/ILSVRC2012_val_00007866_n02113799,1.0,2002,4084,8168,1,0,True,160,17.62613296508789,0.24609433114528656,0.7263739109039307
residual,25,n02113799/ILSVRC2012_val_00007866_n02113799,1.0,2002,4084,8168,1,0,True,133,17.240293502807617,0.2583076059818268,0.7026140689849854
source,25,n02113799/ILSVRC2012_val_00007866_n02113799,1.0,2003,4084,8168,1,0,True,160,18.587200164794922,0.21920759975910187,0.721936821937561
residual,25,n02113799/ILSVRC2012_val_00007866_n02113799,1.0,2003,4084,8168,1,0,True,133,18.316038131713867,0.23198045790195465,0.7157336473464966
source,25,n02113799/ILSVRC2012_val_00007866_n02113799,4.0,2001,4084,8168,1,1,True,160,19.724708557128906,0.1730719357728958,0.8491030931472778
residual,25,n02113799/ILSVRC2012_val_00007866_n02113799,4.0,2001,4084,8168,1,1,True,133,19.78582191467285,0.17051167786121368,0.8533799648284912
source,25,n02113799/ILSVRC2012_val_00007866_n02113799,4.0,2002,4084,8168,1,1,True,160,19.647109985351562,0.1746339350938797,0.8283377885818481
residual,25,n02113799/ILSVRC2012_val_00007866_n02113799,4.0,2002,4084,8168,1,1,True,133,19.71544075012207,0.17238464951515198,0.8322058916091919
source,25,n02113799/ILSVRC2012_val_00007866_n02113799,4.0,2003,4084,8168,1,1,True,160,19.67311668395996,0.1764988899230957,0.8326247930526733
residual,25,n02113799/ILSVRC2012_val_00007866_n02113799,4.0,2003,4084,8168,1,1,True,133,19.732574462890625,0.17471888661384583,0.8323476314544678
source,25,n02113799/ILSVRC2012_val_00007866_n02113799,7.0,2001,4084,8168,1,1,True,160,19.844486236572266,0.16825929284095764,0.8556158542633057
residual,25,n02113799/ILSVRC2012_val_00007866_n02113799,7.0,2001,4084,8168,1,1,True,133,19.890239715576172,0.16633182764053345,0.8571288585662842
source,25,n02113799/ILSVRC2012_val_00007866_n02113799,7.0,2002,4084,8168,1,1,True,160,19.778682708740234,0.17038312554359436,0.834753155708313
residual,25,n02113799/ILSVRC2012_val_00007866_n02113799,7.0,2002,4084,8168,1,1,True,133,19.826982498168945,0.16836467385292053,0.836406946182251
source,25,n02113799/ILSVRC2012_val_00007866_n02113799,7.0,2003,4084,8168,1,1,True,160,19.78929901123047,0.17298395931720734,0.8315882682800293
residual,25,n02113799/ILSVRC2012_val_00007866_n02113799,7.0,2003,4084,8168,1,1,True,133,19.833633422851562,0.1717730313539505,0.8332264423370361
source,25,n02113799/ILSVRC2012_val_00007866_n02113799,13.0,2001,4084,8168,1,1,True,160,19.9735107421875,0.1632276028394699,0.8569981455802917
residual,25,n02113799/ILSVRC2012_val_00007866_n02113799,13.0,2001,4084,8168,1,1,True,133,19.985797882080078,0.16274140775203705,0.855765700340271
source,25,n02113799/ILSVRC2012_val_00007866_n02113799,13.0,2002,4084,8168,1,1,True,160,19.920074462890625,0.1648845225572586,0.8383854627609253
residual,25,n02113799/ILSVRC2012_val_00007866_n02113799,13.0,2002,4084,8168,1,1,True,133,19.936735153198242,0.16434772312641144,0.8377114534378052
source,25,n02113799/ILSVRC2012_val_00007866_n02113799,13.0,2003,4084,8168,1,1,True,160,19.923465728759766,0.16793657839298248,0.847282886505127
residual,25,n02113799/ILSVRC2012_val_00007866_n02113799,13.0,2003,4084,8168,1,1,True,133,19.940200805664062,0.16695624589920044,0.8495180606842041
source,25,n02113799/ILSVRC2012_val_00007866_n02113799,19.0,2001,4084,8168,1,1,True,160,19.999095916748047,0.1623801290988922,0.8523805737495422
residual,25,n02113799/ILSVRC2012_val_00007866_n02113799,19.0,2001,4084,8168,1,1,True,133,19.999984741210938,0.1624079942703247,0.8517961502075195
source,25,n02113799/ILSVRC2012_val_00007866_n02113799,19.0,2002,4084,8168,1,1,True,160,19.965757369995117,0.1633915901184082,0.8392874002456665
residual,25,n02113799/ILSVRC2012_val_00007866_n02113799,19.0,2002,4084,8168,1,1,True,133,19.971187591552734,0.16326798498630524,0.8403468132019043
source,25,n02113799/ILSVRC2012_val_00007866_n02113799,19.0,2003,4084,8168,1,1,True,160,19.969783782958984,0.16498582065105438,0.8503620624542236
residual,25,n02113799/ILSVRC2012_val_00007866_n02113799,19.0,2003,4084,8168,1,1,True,133,19.974822998046875,0.1646266132593155,0.8502673506736755
source,26,n02123159/ILSVRC2012_val_00025723_n02123159,1.0,2001,4084,8168,1,0,True,187,15.654333114624023,0.2746058702468872,0.8667066097259521
residual,26,n02123159/ILSVRC2012_val_00025723_n02123159,1.0,2001,4084,8168,1,0,True,159,15.212862014770508,0.2886623442173004,0.8517941236495972
source,26,n02123159/ILSVRC2012_val_00025723_n02123159,1.0,2002,4084,8168,1,0,True,187,16.19707489013672,0.2751230299472809,0.8627232909202576
residual,26,n02123159/ILSVRC2012_val_00025723_n02123159,1.0,2002,4084,8168,1,0,True,159,15.912744522094727,0.3012610077857971,0.8464211225509644
source,26,n02123159/ILSVRC2012_val_00025723_n02123159,1.0,2003,4084,8168,1,0,True,187,14.23581314086914,0.3772481083869934,0.8087894916534424
residual,26,n02123159/ILSVRC2012_val_00025723_n02123159,1.0,2003,4084,8168,1,0,True,159,13.83905029296875,0.4134719967842102,0.7945934534072876
source,26,n02123159/ILSVRC2012_val_00025723_n02123159,4.0,2001,4084,8168,1,1,True,187,17.040969848632812,0.21518990397453308,0.8951585292816162
residual,26,n02123159/ILSVRC2012_val_00025723_n02123159,4.0,2001,4084,8168,1,1,True,159,17.097410202026367,0.21398749947547913,0.8969882726669312
source,26,n02123159/ILSVRC2012_val_00025723_n02123159,4.0,2002,4084,8168,1,1,True,187,17.075027465820312,0.210516557097435,0.9031042456626892
residual,26,n02123159/ILSVRC2012_val_00025723_n02123159,4.0,2002,4084,8168,1,1,True,159,17.130769729614258,0.20955446362495422,0.905131459236145
source,26,n02123159/ILSVRC2012_val_00025723_n02123159,4.0,2003,4084,8168,1,1,True,187,16.962528228759766,0.21304558217525482,0.8983010053634644
residual,26,n02123159/ILSVRC2012_val_00025723_n02123159,4.0,2003,4084,8168,1,1,True,159,17.023897171020508,0.2104085087776184,0.899871826171875
source,26,n02123159/ILSVRC2012_val_00025723_n02123159,7.0,2001,4084,8168,1,1,True,187,17.150705337524414,0.21272769570350647,0.9004226922988892
residual,26,n02123159/ILSVRC2012_val_00025723_n02123159,7.0,2001,4084,8168,1,1,True,159,17.191661834716797,0.2111915796995163,0.9033769369125366
source,26,n02123159/ILSVRC2012_val_00025723_n02123159,7.0,2002,4084,8168,1,1,True,187,17.183446884155273,0.20848718285560608,0.9069170951843262
residual,26,n02123159/ILSVRC2012_val_00025723_n02123159,7.0,2002,4084,8168,1,1,True,159,17.22303009033203,0.20721730589866638,0.9079434871673584
source,26,n02123159/ILSVRC2012_val_00025723_n02123159,7.0,2003,4084,8168,1,1,True,187,17.083600997924805,0.2080661654472351,0.9009747505187988
residual,26,n02123159/ILSVRC2012_val_00025723_n02123159,7.0,2003,4084,8168,1,1,True,159,17.13238525390625,0.2069275975227356,0.9023691415786743
source,26,n02123159/ILSVRC2012_val_00025723_n02123159,13.0,2001,4084,8168,1,1,True,187,17.274738311767578,0.20670317113399506,0.9072967767715454
residual,26,n02123159/ILSVRC2012_val_00025723_n02123159,13.0,2001,4084,8168,1,1,True,159,17.290002822875977,0.20575393736362457,0.9072428941726685
source,26,n02123159/ILSVRC2012_val_00025723_n02123159,13.0,2002,4084,8168,1,1,True,187,17.298534393310547,0.20414693653583527,0.9096479415893555
residual,26,n02123159/ILSVRC2012_val_00025723_n02123159,13.0,2002,4084,8168,1,1,True,159,17.310726165771484,0.20339660346508026,0.9100766181945801
source,26,n02123159/ILSVRC2012_val_00025723_n02123159,13.0,2003,4084,8168,1,1,True,187,17.237730026245117,0.20473690330982208,0.9078853726387024
residual,26,n02123159/ILSVRC2012_val_00025723_n02123159,13.0,2003,4084,8168,1,1,True,159,17.258880615234375,0.20422105491161346,0.9089813232421875
source,26,n02123159/ILSVRC2012_val_00025723_n02123159,19.0,2001,4084,8168,1,1,True,187,17.317317962646484,0.2039957046508789,0.9080290198326111
residual,26,n02123159/ILSVRC2012_val_00025723_n02123159,19.0,2001,4084,8168,1,1,True,159,17.322084426879883,0.20369631052017212,0.9079077243804932
source,26,n02123159/ILSVRC2012_val_00025723_n02123159,19.0,2002,4084,8168,1,1,True,187,17.32996368408203,0.20279864966869354,0.9103295207023621
residual,26,n02123159/ILSVRC2012_val_00025723_n02123159,19.0,2002,4084,8168,1,1,True,159,17.3328857421875,0.2026670277118683,0.909927487373352
source,26,n02123159/ILSVRC2012_val_00025723_n02123159,19.0,2003,4084,8168,1,1,True,187,17.298959732055664,0.20337137579917908,0.9110224843025208
residual,26,n02123159/ILSVRC2012_val_00025723_n02123159,19.0,2003,4084,8168,1,1,True,159,17.306682586669922,0.20317380130290985,0.9107624292373657
source,27,n02134084/ILSVRC2012_val_00020332_n02134084,1.0,2001,4084,8168,1,0,True,137,20.343441009521484,0.20580168068408966,0.539292573928833
residual,27,n02134084/ILSVRC2012_val_00020332_n02134084,1.0,2001,4084,8168,1,0,True,112,19.78334617614746,0.2296547293663025,0.5438017249107361
source,27,n02134084/ILSVRC2012_val_00020332_n02134084,1.0,2002,4084,8168,1,0,True,137,21.777667999267578,0.19694475829601288,0.8539119958877563
residual,27,n02134084/ILSVRC2012_val_00020332_n02134084,1.0,2002,4084,8168,1,0,True,112,21.486806869506836,0.21755671501159668,0.851150631904602
source,27,n02134084/ILSVRC2012_val_00020332_n02134084,1.0,2003,4084,8168,1,0,True,137,21.297657012939453,0.20192356407642365,0.8826974630355835
residual,27,n02134084/ILSVRC2012_val_00020332_n02134084,1.0,2003,4084,8168,1,0,True,112,20.589435577392578,0.22757838666439056,0.8789083361625671
source,27,n02134084/ILSVRC2012_val_00020332_n02134084,4.0,2001,4084,8168,1,1,True,137,24.06142807006836,0.1173110157251358,0.8615622520446777
residual,27,n02134084/ILSVRC2012_val_00020332_n02134084,4.0,2001,4084,8168,1,1,True,112,24.128751754760742,0.11551398038864136,0.8664647936820984
source,27,n02134084/ILSVRC2012_val_00020332_n02134084,4.0,2002,4084,8168,1,1,True,137,24.018108367919922,0.11700572073459625,0.8826454877853394
residual,27,n02134084/ILSVRC2012_val_00020332_n02134084,4.0,2002,4084,8168,1,1,True,112,24.083158493041992,0.11563513427972794,0.8864809274673462
source,27,n02134084/ILSVRC2012_val_00020332_n02134084,4.0,2003,4084,8168,1,1,True,137,24.082433700561523,0.11908968538045883,0.8731926083564758
residual,27,n02134084/ILSVRC2012_val_00020332_n02134084,4.0,2003,4084,8168,1,1,True,112,24.14073944091797,0.11803413927555084,0.8777402639389038
source,27,n02134084/ILSVRC2012_val_00020332_n02134084,7.0,2001,4084,8168,1,1,True,137,24.19806671142578,0.11393682658672333,0.8722034692764282
residual,27,n02134084/ILSVRC2012_val_00020332_n02134084,7.0,2001,4084,8168,1,1,True,112,24.24532699584961,0.11291434615850449,0.8762329816818237
source,27,n02134084/ILSVRC2012_val_00020332_n02134084,7.0,2002,4084,8168,1,1,True,137,24.15304183959961,0.11441706866025925,0.8893519043922424
residual,27,n02134084/ILSVRC2012_val_00020332_n02134084,7.0,2002,4084,8168,1,1,True,112,24.201351165771484,0.11381900310516357,0.8908488750457764
source,27,n02134084/ILSVRC2012_val_00020332_n02134084,7.0,2003,4084,8168,1,1,True,137,24.20428466796875,0.11657995730638504,0.8828636407852173
residual,27,n02134084/ILSVRC2012_val_00020332_n02134084,7.0,2003,4084,8168,1,1,True,112,24.24790382385254,0.11539815366268158,0.8863229751586914
source,27,n02134084/ILSVRC2012_val_00020332_n02134084,13.0,2001,4084,8168,1,1,True,137,24.337970733642578,0.11113817989826202,0.8834686875343323
residual,27,n02134084/ILSVRC2012_val_00020332_n02134084,13.0,2001,4084,8168,1,1,True,112,24.351680755615234,0.11090889573097229,0.8843256235122681
source,27,n02134084/ILSVRC2012_val_00020332_n02134084,13.0,2002,4084,8168,1,1,True,137,24.3065185546875,0.11176784336566925,0.8913605213165283
residual,27,n02134084/ILSVRC2012_val_00020332_n02134084,13.0,2002,4084,8168,1,1,True,112,24.323436737060547,0.11132775247097015,0.8908881545066833
