method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,enhancement_energy,psnr_db,lpips_alex,dino_cosine
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,1,0,True,114,2047.999755859375,21.12866973876953,0.14387866854667664,0.7267746925354004
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,1,0,True,136,2048.0,20.735246658325195,0.1697467714548111,0.7943738698959351
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,1,0,True,114,2047.999755859375,20.50482177734375,0.18120263516902924,0.8016840219497681
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,1,1,True,136,2048.0,21.63296890258789,0.11698304116725922,0.7789660692214966
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,1,1,True,114,2047.999755859375,21.6768798828125,0.11673761904239655,0.7793245315551758
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,1,1,True,136,2048.0,21.602588653564453,0.11957721412181854,0.7229188084602356
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,1,1,True,114,2047.999755859375,21.644792556762695,0.11858681589365005,0.7265059947967529
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,1,1,True,136,2048.0,21.5950927734375,0.11890305578708649,0.7394430637359619
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,1,1,True,114,2047.999755859375,21.64083480834961,0.11842953413724899,0.7391369342803955
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,1,1,True,136,2048.0,21.729522705078125,0.11583030968904495,0.7784432172775269
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,1,1,True,114,2047.999755859375,21.760189056396484,0.1154845580458641,0.7784209251403809
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,1,1,True,136,2048.0,21.7003231048584,0.11686541885137558,0.7333920001983643
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,1,1,True,114,2047.999755859375,21.732513427734375,0.11607242375612259,0.7355951070785522
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,1,1,True,136,2048.0,21.696651458740234,0.11761455237865448,0.7399267554283142
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,1,1,True,114,2047.999755859375,21.728946685791016,0.11718889325857162,0.7400219440460205
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,4084,8168,1,1,True,136,2048.0,21.83038902282715,0.11458277702331543,0.7701777815818787
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,4084,8168,1,1,True,114,2047.999755859375,21.84004020690918,0.11452645063400269,0.7672483921051025
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,4084,8168,1,1,True,136,2048.0,21.812397003173828,0.11488176882266998,0.7391124367713928
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,4084,8168,1,1,True,114,2047.999755859375,21.823701858520508,0.11471157521009445,0.7390761375427246
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,4084,8168,1,1,True,136,2048.0,21.806373596191406,0.11619745194911957,0.7418981790542603
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,4084,8168,1,1,True,114,2047.999755859375,21.817623138427734,0.11608374118804932,0.7418085336685181
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,4084,8168,1,1,True,136,2048.0,21.858510971069336,0.11478305608034134,0.7563278675079346
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,4084,8168,1,1,True,114,2047.999755859375,21.860464096069336,0.11482112109661102,0.7542040348052979
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,4084,8168,1,1,True,136,2048.0,21.84938621520996,0.11463018506765366,0.7388938665390015
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,4084,8168,1,1,True,114,2047.999755859375,21.85247230529785,0.11460372060537338,0.7386484146118164
source,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2003,4084,8168,1,1,True,136,2048.0,21.843456268310547,0.11548279970884323,0.7404261827468872
residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2003,4084,8168,1,1,True,114,2047.999755859375,21.847116470336914,0.11536471545696259,0.7399718165397644
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2001,4084,8168,1,0,True,194,2047.9998779296875,16.271881103515625,0.3114619851112366,0.850683331489563
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2001,4084,8168,1,0,True,172,2047.999755859375,16.04611587524414,0.3268667161464691,0.8353338241577148
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2002,4084,8168,1,0,True,194,2047.9998779296875,16.519067764282227,0.30147936940193176,0.6020088195800781
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2002,4084,8168,1,0,True,172,2047.999755859375,16.27728843688965,0.31417927145957947,0.6561055183410645
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2003,4084,8168,1,0,True,194,2047.9998779296875,15.550786972045898,0.402618408203125,0.36603936553001404
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2003,4084,8168,1,0,True,172,2047.999755859375,15.361837387084961,0.4301002025604248,0.3180292546749115
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2001,4084,8168,1,1,True,194,2047.9998779296875,17.3528995513916,0.2517731785774231,0.8652005195617676
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2001,4084,8168,1,1,True,172,2047.999755859375,17.389095306396484,0.2485506683588028,0.8688968420028687
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2002,4084,8168,1,1,True,194,2047.9998779296875,17.32779312133789,0.25657936930656433,0.8594110012054443
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2002,4084,8168,1,1,True,172,2047.999755859375,17.361988067626953,0.2527551054954529,0.864048957824707
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2003,4084,8168,1,1,True,194,2047.9998779296875,17.296749114990234,0.2529379725456238,0.8661901950836182
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2003,4084,8168,1,1,True,172,2047.999755859375,17.339113235473633,0.24979029595851898,0.8665800094604492
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2001,4084,8168,1,1,True,194,2047.9998779296875,17.4408016204834,0.24506400525569916,0.8726655840873718
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2001,4084,8168,1,1,True,172,2047.999755859375,17.465778350830078,0.24313539266586304,0.8751257658004761
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2002,4084,8168,1,1,True,194,2047.9998779296875,17.413461685180664,0.2467208057641983,0.8674057722091675
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2002,4084,8168,1,1,True,172,2047.999755859375,17.438051223754883,0.2429349720478058,0.8679550886154175
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2003,4084,8168,1,1,True,194,2047.9998779296875,17.40253257751465,0.24596768617630005,0.8701663017272949
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2003,4084,8168,1,1,True,172,2047.999755859375,17.434833526611328,0.24353967607021332,0.8732821941375732
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2001,4084,8168,1,1,True,194,2047.9998779296875,17.536041259765625,0.23930883407592773,0.8814165592193604
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2001,4084,8168,1,1,True,172,2047.999755859375,17.54526138305664,0.23883484303951263,0.8816328048706055
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2002,4084,8168,1,1,True,194,2047.9998779296875,17.515714645385742,0.23859402537345886,0.8714216947555542
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2002,4084,8168,1,1,True,172,2047.999755859375,17.527055740356445,0.2384805679321289,0.871893048286438
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2003,4084,8168,1,1,True,194,2047.9998779296875,17.52547836303711,0.23978888988494873,0.8805303573608398
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2003,4084,8168,1,1,True,172,2047.999755859375,17.537391662597656,0.23948918282985687,0.8803858757019043
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2001,4084,8168,1,1,True,194,2047.9998779296875,17.568132400512695,0.23779989778995514,0.8807893395423889
