method,snr_db,attempts,header_failures,body_failures_with_valid_header,source_overflow_erasures,energy_constraint,E_mean
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m8,7,300,0,0,0,fixed_constellation_average_2_per_symbol,6120.704000000001
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m8,13,300,0,0,0,fixed_constellation_average_2_per_symbol,6120.704000000001
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m8,19,300,0,0,0,fixed_constellation_average_2_per_symbol,6120.704000000001
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,1,300,0,300,0,fixed_constellation_average_2_per_symbol,6124.848000000001
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,4,300,0,291,0,fixed_constellation_average_2_per_symbol,6124.848000000001
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,7,300,0,19,0,fixed_constellation_average_2_per_symbol,6124.848000000001
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,13,300,0,0,0,fixed_constellation_average_2_per_symbol,6124.848000000001
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,19,300,0,0,0,fixed_constellation_average_2_per_symbol,6124.848000000001
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,1,300,0,300,0,fixed_constellation_average_2_per_symbol,8169.552000000001
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,4,300,0,295,0,fixed_constellation_average_2_per_symbol,8169.552000000001
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,7,300,0,90,0,fixed_constellation_average_2_per_symbol,8169.552000000001
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,13,300,0,0,0,fixed_constellation_average_2_per_symbol,8169.552000000001
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,19,300,0,0,0,fixed_constellation_average_2_per_symbol,8169.552000000001
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,1,300,0,0,0,fixed_constellation_average_2_per_symbol,8192.624
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,4,300,0,0,0,fixed_constellation_average_2_per_symbol,8192.624
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,7,300,0,0,0,fixed_constellation_average_2_per_symbol,8192.624
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,13,300,0,0,0,fixed_constellation_average_2_per_symbol,8192.624
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,19,300,0,0,0,fixed_constellation_average_2_per_symbol,8192.624
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,1,300,0,15,0,fixed_constellation_average_2_per_symbol,8176.1759999999995
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,4,300,0,0,0,fixed_constellation_average_2_per_symbol,8176.1759999999995
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,7,300,0,0,0,fixed_constellation_average_2_per_symbol,8176.1759999999995
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,13,300,0,0,0,fixed_constellation_average_2_per_symbol,8176.1759999999995
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,19,300,0,0,0,fixed_constellation_average_2_per_symbol,8176.1759999999995
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,1,300,0,285,0,fixed_constellation_average_2_per_symbol,8172.768
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,4,300,0,4,0,fixed_constellation_average_2_per_symbol,8172.768
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,7,300,0,0,0,fixed_constellation_average_2_per_symbol,8172.768
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,13,300,0,0,0,fixed_constellation_average_2_per_symbol,8172.768
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,19,300,0,0,0,fixed_constellation_average_2_per_symbol,8172.768
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,1,300,0,299,0,fixed_constellation_average_2_per_symbol,8170.511999999999
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,4,300,0,196,0,fixed_constellation_average_2_per_symbol,8170.511999999999
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,7,300,0,0,0,fixed_constellation_average_2_per_symbol,8170.511999999999
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,13,300,0,0,0,fixed_constellation_average_2_per_symbol,8170.511999999999
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,19,300,0,0,0,fixed_constellation_average_2_per_symbol,8170.511999999999
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m10,1,300,0,300,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m10,4,300,0,217,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m10,7,300,0,39,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m10,13,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m10,19,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m6,1,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m6,4,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m6,7,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m6,13,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m6,19,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m7,1,300,0,220,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m7,4,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m7,7,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m7,13,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m7,19,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m8,1,300,0,299,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m8,4,300,0,173,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m8,7,300,0,0,0,per_frame_2N,4096.0
