method,snr_db,attempts,header_failures,body_failures_with_valid_header,source_overflow_erasures,energy_constraint,E_mean
token-efficiency-digital-v1/raw/QPSK/N2048/m6,4,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/raw/QPSK/N2048/m6,7,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/raw/QPSK/N2048/m6,13,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/raw/QPSK/N2048/m6,19,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/raw/QPSK/N2048/m7,1,300,0,300,0,per_frame_2N,4096.0
token-efficiency-digital-v1/raw/QPSK/N2048/m7,4,300,0,2,0,per_frame_2N,4096.0
token-efficiency-digital-v1/raw/QPSK/N2048/m7,7,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/raw/QPSK/N2048/m7,13,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/raw/QPSK/N2048/m7,19,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/raw/QPSK/N2048/m8,1,300,0,300,0,per_frame_2N,4096.0
token-efficiency-digital-v1/raw/QPSK/N2048/m8,4,300,0,300,0,per_frame_2N,4096.0
token-efficiency-digital-v1/raw/QPSK/N2048/m8,7,300,0,13,0,per_frame_2N,4096.0
token-efficiency-digital-v1/raw/QPSK/N2048/m8,13,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/raw/QPSK/N2048/m8,19,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/raw/QPSK/N3060/m6,1,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m6,4,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m6,7,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m6,13,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m6,19,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m7,1,300,0,40,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m7,4,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m7,7,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m7,13,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m7,19,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m8,1,300,0,300,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m8,4,300,0,9,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m8,7,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m8,13,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m8,19,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m9,1,300,0,300,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m9,4,300,0,300,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m9,7,300,0,117,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m9,13,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N3060/m9,19,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/raw/QPSK/N4084/m6,1,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m6,4,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m6,7,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m6,13,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m6,19,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m7,1,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m7,4,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m7,7,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m7,13,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m7,19,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m8,1,300,0,264,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m8,4,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m8,7,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m8,13,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m8,19,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m9,1,300,0,300,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m9,4,300,0,210,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m9,7,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m9,13,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/QPSK/N4084/m9,19,300,0,0,0,per_frame_2N,8168.0
