snr_db,target,family,mcs,energy_constraint,continuous_N_required,digital_N_required,saving,status,strict_per_frame_equal_energy_protocol,interpolation_used,table_sha256
7,balanced,raw,16QAM,fixed_constellation_average_2_per_symbol,2048,3060,-0.494140625,MEASURED_GRID_TARGET_MET,False,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
7,balanced,raw,QPSK,per_frame_2N,2048,3060,-0.494140625,MEASURED_GRID_TARGET_MET,True,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
7,coarse,arithmetic,16QAM,fixed_constellation_average_2_per_symbol,2048,2048,0.0,MEASURED_GRID_TARGET_MET,False,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
7,coarse,arithmetic,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
7,coarse,raw,16QAM,fixed_constellation_average_2_per_symbol,2048,2048,0.0,MEASURED_GRID_TARGET_MET,False,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
7,coarse,raw,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
13,high,arithmetic,16QAM,fixed_constellation_average_2_per_symbol,3060,,,NOT_REACHED_IN_MEASURED_GRID,False,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
13,high,arithmetic,QPSK,per_frame_2N,3060,,,NOT_REACHED_IN_MEASURED_GRID,True,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
13,high,raw,16QAM,fixed_constellation_average_2_per_symbol,3060,,,NOT_REACHED_IN_MEASURED_GRID,False,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
13,high,raw,QPSK,per_frame_2N,3060,,,NOT_REACHED_IN_MEASURED_GRID,True,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
13,balanced,arithmetic,16QAM,fixed_constellation_average_2_per_symbol,2048,2048,0.0,MEASURED_GRID_TARGET_MET,False,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
13,balanced,arithmetic,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
13,balanced,raw,16QAM,fixed_constellation_average_2_per_symbol,2048,2048,0.0,MEASURED_GRID_TARGET_MET,False,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
13,balanced,raw,QPSK,per_frame_2N,2048,3060,-0.494140625,MEASURED_GRID_TARGET_MET,True,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
13,coarse,arithmetic,16QAM,fixed_constellation_average_2_per_symbol,2048,2048,0.0,MEASURED_GRID_TARGET_MET,False,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
13,coarse,arithmetic,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
13,coarse,raw,16QAM,fixed_constellation_average_2_per_symbol,2048,2048,0.0,MEASURED_GRID_TARGET_MET,False,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
13,coarse,raw,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
19,high,arithmetic,16QAM,fixed_constellation_average_2_per_symbol,3060,,,NOT_REACHED_IN_MEASURED_GRID,False,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
19,high,arithmetic,QPSK,per_frame_2N,3060,,,NOT_REACHED_IN_MEASURED_GRID,True,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
19,high,raw,16QAM,fixed_constellation_average_2_per_symbol,3060,,,NOT_REACHED_IN_MEASURED_GRID,False,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
19,high,raw,QPSK,per_frame_2N,3060,,,NOT_REACHED_IN_MEASURED_GRID,True,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
19,balanced,arithmetic,16QAM,fixed_constellation_average_2_per_symbol,2048,2048,0.0,MEASURED_GRID_TARGET_MET,False,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
19,balanced,arithmetic,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
19,balanced,raw,16QAM,fixed_constellation_average_2_per_symbol,2048,2048,0.0,MEASURED_GRID_TARGET_MET,False,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
19,balanced,raw,QPSK,per_frame_2N,2048,3060,-0.494140625,MEASURED_GRID_TARGET_MET,True,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
19,coarse,arithmetic,16QAM,fixed_constellation_average_2_per_symbol,2048,2048,0.0,MEASURED_GRID_TARGET_MET,False,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
19,coarse,arithmetic,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
19,coarse,raw,16QAM,fixed_constellation_average_2_per_symbol,2048,2048,0.0,MEASURED_GRID_TARGET_MET,False,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
19,coarse,raw,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,56a17b9fbeb391bff09043246c144808e776da8ff7714f17e81fc4df4bfbfa07
