method,sources,frames,psnr_db,lpips_alex,dino_cosine
original_residual_control,100,1500,22.018973367691032,0.13786762690668306,0.870398985683918
predicted_innovation_candidate,100,1500,22.09138508605957,0.13657678682853777,0.8726019547184309
