source_index,method_index,waveform_sha256,observation_sha256,snr_db,noise_seed,mse,psnr_db,lpips_alex,dino_cosine,E,header_ok,body_crc_ok,source_overflow_erasure,source_complete,m_actual,payload_bits,mother_bits,coded_slots,length_field,overflow_lower_m,decoded_mode,decoded_label,source_error,header_crc_ok,rx_source_overflow_erasure
667,10,6635f601f3a0770c4877cfa25ae08dac5267c485b7ad2a968e8abbabcd439ebd,bc55250efa17d6c0547ec18f59096796233f6df94d59c529b0edb4865ec74818,13,4102,0.007732469190488318,21.116819381713867,0.07002397626638412,0.9710047245025635,8206.4,True,True,False,True,10,5849,11742,15952,5849,False,10,667,,True,False
667,10,6635f601f3a0770c4877cfa25ae08dac5267c485b7ad2a968e8abbabcd439ebd,4ee771dfabd419e8c86f877a5e45918dd58138f68709e1acbbbeb7eaa10ff201,13,4103,0.007732469190488318,21.116819381713867,0.07002396881580353,0.9710047245025635,8206.4,True,True,False,True,10,5849,11742,15952,5849,False,10,667,,True,False
667,10,6635f601f3a0770c4877cfa25ae08dac5267c485b7ad2a968e8abbabcd439ebd,85544de9ad019d06d282e64a13040d202525bb3c75ddc2432aa455cf8eb85d4d,19,4101,0.007732469190488318,21.116819381713867,0.07002397626638412,0.9710047245025635,8206.4,True,True,False,True,10,5849,11742,15952,5849,False,10,667,,True,False
667,10,6635f601f3a0770c4877cfa25ae08dac5267c485b7ad2a968e8abbabcd439ebd,485225f22f230bf9cd7e80507bc7a4bfd53d2f387c1cd27bf380aad265372e52,19,4102,0.007732469190488318,21.116819381713867,0.07002397626638412,0.9710047245025635,8206.4,True,True,False,True,10,5849,11742,15952,5849,False,10,667,,True,False
667,10,6635f601f3a0770c4877cfa25ae08dac5267c485b7ad2a968e8abbabcd439ebd,28a4bd109ac668060f4d40ec8b27e5badf51e22fd9d466b4bc940ff339c977e6,19,4103,0.007732469190488318,21.116819381713867,0.07002397626638412,0.9710047245025635,8206.4,True,True,False,True,10,5849,11742,15952,5849,False,10,667,,True,False
668,10,ca49bd81c14761ac73ebdb06ec07c201662a3cb55227c792cb4c9eb2ef80ae72,70c390084aed21a48ae0e9b39db8bd8391428e38a891b29bf47c66c46d21ad65,1,4101,0.08890845968129855,10.510568618774414,0.645805835723877,0.29874950647354126,8136.0,True,False,False,True,10,5299,10642,15952,5299,False,10,668,,True,False
668,10,ca49bd81c14761ac73ebdb06ec07c201662a3cb55227c792cb4c9eb2ef80ae72,66d258d1735a0808fd6a0ac8078bb4909c69b895749848181a6fb38211cf8bb2,1,4102,0.03882504535033703,14.108880996704102,0.5044080018997192,0.5374104976654053,8136.0,True,False,False,True,10,5299,10642,15952,5299,False,10,668,,True,False
668,10,ca49bd81c14761ac73ebdb06ec07c201662a3cb55227c792cb4c9eb2ef80ae72,fb71682693eafc87b9dc2247b7b8ec8713af3e7383fd08190ad0a03f83363ef2,1,4103,0.05912258022292438,12.282466888427734,0.5889660120010376,0.5203076601028442,8136.0,True,False,False,True,10,5299,10642,15952,5299,False,10,668,,True,False
668,10,ca49bd81c14761ac73ebdb06ec07c201662a3cb55227c792cb4c9eb2ef80ae72,d68b552e19281c95121650b3c9eee2c9a0277b0bd4f68f3bbb7922a16c79d9fe,4,4101,0.018618735151438283,17.300498962402344,0.2780380845069885,0.5996745228767395,8136.0,True,False,False,True,10,5299,10642,15952,5299,False,10,668,,True,False
668,10,ca49bd81c14761ac73ebdb06ec07c201662a3cb55227c792cb4c9eb2ef80ae72,e69ca957064cab1dd68066b4263c5518d249951d133d18d2c4b9cb55c09d6477,4,4102,0.021034427486005067,16.770694732666016,0.265836238861084,0.6940739154815674,8136.0,True,False,False,True,10,5299,10642,15952,5299,False,10,668,,True,False
668,10,ca49bd81c14761ac73ebdb06ec07c201662a3cb55227c792cb4c9eb2ef80ae72,5b3662d1e93594468249ab3a771b37ffd3fccaca9edef20a370eba5d38f6c46a,4,4103,0.01313410579746206,18.815996170043945,0.21635040640830994,0.8133921027183533,8136.0,True,False,False,True,10,5299,10642,15952,5299,False,10,668,,True,False
668,10,ca49bd81c14761ac73ebdb06ec07c201662a3cb55227c792cb4c9eb2ef80ae72,0151377ce98572123a2a60d78d3bb829de86103f412a6b085a3fc33d520f03db,7,4101,0.003920973026906552,24.066062927246094,0.0877910852432251,0.9056296944618225,8136.0,True,True,False,True,10,5299,10642,15952,5299,False,10,668,,True,False
668,10,ca49bd81c14761ac73ebdb06ec07c201662a3cb55227c792cb4c9eb2ef80ae72,f42aab7f918f9bde562f8c87bad49d79df8082814ada462eb2ba6d901a782942,7,4102,0.003920973026906552,24.066062927246094,0.0877910852432251,0.9056296944618225,8136.0,True,True,False,True,10,5299,10642,15952,5299,False,10,668,,True,False
668,10,ca49bd81c14761ac73ebdb06ec07c201662a3cb55227c792cb4c9eb2ef80ae72,573b1e005bd05360c3a8d82ab2a11d8cb3fb0140777e6c9e532ba40ab86790de,7,4103,0.003920973026906552,24.066062927246094,0.0877910852432251,0.905629575252533,8136.0,True,True,False,True,10,5299,10642,15952,5299,False,10,668,,True,False
668,10,ca49bd81c14761ac73ebdb06ec07c201662a3cb55227c792cb4c9eb2ef80ae72,8dca462bc1794db9d6831f59f0275c1b69ea7b34caba48b49f3ae42c208a41dc,13,4101,0.003920973026906552,24.066062927246094,0.0877910852432251,0.905629575252533,8136.0,True,True,False,True,10,5299,10642,15952,5299,False,10,668,,True,False
668,10,ca49bd81c14761ac73ebdb06ec07c201662a3cb55227c792cb4c9eb2ef80ae72,974389f95b403f4f7721adf37ce6c0fb2b4278fbf307f8d982cf79cab8a8cf29,13,4102,0.003920973026906552,24.066062927246094,0.0877910852432251,0.905629575252533,8136.0,True,True,False,True,10,5299,10642,15952,5299,False,10,668,,True,False
668,10,ca49bd81c14761ac73ebdb06ec07c201662a3cb55227c792cb4c9eb2ef80ae72,333dbb58111696d22d8e4e4dfa6f014f67a5d560476e373403f036b0d68636e6,13,4103,0.003920973026906552,24.066062927246094,0.0877910852432251,0.905629575252533,8136.0,True,True,False,True,10,5299,10642,15952,5299,False,10,668,,True,False
668,10,ca49bd81c14761ac73ebdb06ec07c201662a3cb55227c792cb4c9eb2ef80ae72,dea2942748d006aa737a492544cac6f82ff306185f82516ffc70bf0277fcfb30,19,4101,0.003920973026906552,24.066062927246094,0.0877910852432251,0.905629575252533,8136.0,True,True,False,True,10,5299,10642,15952,5299,False,10,668,,True,False
668,10,ca49bd81c14761ac73ebdb06ec07c201662a3cb55227c792cb4c9eb2ef80ae72,43b2f9997512fe29129af25929f9bd11d4e89ff35d24e644a781336197634430,19,4102,0.003920973026906552,24.066062927246094,0.0877910852432251,0.905629575252533,8136.0,True,True,False,True,10,5299,10642,15952,5299,False,10,668,,True,False
668,10,ca49bd81c14761ac73ebdb06ec07c201662a3cb55227c792cb4c9eb2ef80ae72,05c619801206574226b5c4e1430d7340d54138a9ef15369faa3b3541b162b578,19,4103,0.003920973026906552,24.066062927246094,0.0877910852432251,0.905629575252533,8136.0,True,True,False,True,10,5299,10642,15952,5299,False,10,668,,True,False
669,10,91f5be2b95c8517111d9202062daa20592784319a4805f780ed86278bba8bb0e,d67f210bce765f7ded0f52270138fb9ce79453680ffe079c220445a436a460e8,1,4101,0.1714360834262301,7.658977508544922,0.7547195553779602,0.5022085905075073,8225.6,True,False,False,True,10,6217,12478,15952,6217,False,10,669,,True,False
669,10,91f5be2b95c8517111d9202062daa20592784319a4805f780ed86278bba8bb0e,0ac94eed0f7d4aa5313fce5e2cac7531be69f2013f9b6f5ae2be0be14d70dc68,1,4102,0.07638904079828693,11.169690132141113,0.7614725232124329,0.4397367835044861,8225.6,True,False,False,True,10,6217,12478,15952,6217,False,10,669,,True,False
669,10,91f5be2b95c8517111d9202062daa20592784319a4805f780ed86278bba8bb0e,c9091add98e2017805544374183dc6e8c6c1ac24361dd579e9094b99b954a424,1,4103,0.04762574781761453,13.221582412719727,0.6037834882736206,0.2532433271408081,8225.6,True,False,False,True,10,6217,12478,15952,6217,False,10,669,,True,False
669,10,91f5be2b95c8517111d9202062daa20592784319a4805f780ed86278bba8bb0e,af1b136c5ceeecb65b1e4d2e9a9bcad5799b263c80ca4e3ce2b9c0d4c9a961aa,4,4101,0.08595460659635189,10.657308578491211,0.7406648993492126,0.2437753677368164,8225.6,True,False,False,True,10,6217,12478,15952,6217,False,10,669,,True,False
669,10,91f5be2b95c8517111d9202062daa20592784319a4805f780ed86278bba8bb0e,21b3e61b6b3dd668ca75a3906540495ac3696c71e808c5284e01126264cba5aa,4,4102,0.03077895953710813,15.117460250854492,0.6229597330093384,0.32357534766197205,8225.6,True,False,False,True,10,6217,12478,15952,6217,False,10,669,,True,False
669,10,91f5be2b95c8517111d9202062daa20592784319a4805f780ed86278bba8bb0e,bd50986b8904f44822a06470d76daa4dcdbc7e8f21c1a05600c320b032936177,4,4103,0.06205373495571131,12.072319984436035,0.6749666929244995,0.2060655951499939,8225.6,True,False,False,True,10,6217,12478,15952,6217,False,10,669,,True,False
669,10,91f5be2b95c8517111d9202062daa20592784319a4805f780ed86278bba8bb0e,2f2d14a1f60b21b2011d0d42b58b5501b8d30a1b987d1184d2ea0d008dfbe550,7,4101,0.004395192253560202,23.570222854614258,0.13846874237060547,0.9216604232788086,8225.6,True,True,False,True,10,6217,12478,15952,6217,False,10,669,,True,False
669,10,91f5be2b95c8517111d9202062daa20592784319a4805f780ed86278bba8bb0e,22f99ce5d5537a34ff7c2f637af0b49e7ac8a1fdc95f82771cd3785898888d95,7,4102,0.006387737272922182,21.946529388427734,0.17825084924697876,0.9008492827415466,8225.6,True,False,False,True,10,6217,12478,15952,6217,False,10,669,,True,False
669,10,91f5be2b95c8517111d9202062daa20592784319a4805f780ed86278bba8bb0e,03a5d58bcc155796b81d92fdb681822c8cbd3cdbb9a4c30b36b3d67458260273,7,4103,0.004395192253560202,23.570222854614258,0.13846874237060547,0.9216604232788086,8225.6,True,True,False,True,10,6217,12478,15952,6217,False,10,669,,True,False
669,10,91f5be2b95c8517111d9202062daa20592784319a4805f780ed86278bba8bb0e,d4f9d496e633e6a02b7fa3a52734c4a17db22c352df4fffe7ce552befd2d7039,13,4101,0.004395192253560202,23.570222854614258,0.13846874237060547,0.9216604232788086,8225.6,True,True,False,True,10,6217,12478,15952,6217,False,10,669,,True,False
669,10,91f5be2b95c8517111d9202062daa20592784319a4805f780ed86278bba8bb0e,f909d2c6f3269402022b5451340d4b763d0ea305a685543cb4564a06e5b5f5c6,13,4102,0.004395192253560202,23.570222854614258,0.13846874237060547,0.9216604232788086,8225.6,True,True,False,True,10,6217,12478,15952,6217,False,10,669,,True,False
669,10,91f5be2b95c8517111d9202062daa20592784319a4805f780ed86278bba8bb0e,da968e328864e56f4b214a391bea27978d0548369e576ab6f91a79ec112b8dd3,13,4103,0.004395192253560202,23.570222854614258,0.13846874237060547,0.9216604232788086,8225.6,True,True,False,True,10,6217,12478,15952,6217,False,10,669,,True,False
669,10,91f5be2b95c8517111d9202062daa20592784319a4805f780ed86278bba8bb0e,10c00585e63178b24c934810aa2c9a70bf51f3cacc2e5cf605b68976affd4766,19,4101,0.004395192253560202,23.570222854614258,0.13846874237060547,0.9216604232788086,8225.6,True,True,False,True,10,6217,12478,15952,6217,False,10,669,,True,False
669,10,91f5be2b95c8517111d9202062daa20592784319a4805f780ed86278bba8bb0e,4a80e9ff25669069ea047b69a005bb9bd11d90d3450a55fb9baab75d20966588,19,4102,0.004395192253560202,23.570222854614258,0.13846874237060547,0.9216604232788086,8225.6,True,True,False,True,10,6217,12478,15952,6217,False,10,669,,True,False
669,10,91f5be2b95c8517111d9202062daa20592784319a4805f780ed86278bba8bb0e,e4c28f21d659d752c59d72c6f13076552e876f9a26e9d8f3b66c5476ed773746,19,4103,0.004395192253560202,23.570222854614258,0.13846874237060547,0.9216604232788086,8225.6,True,True,False,True,10,6217,12478,15952,6217,False,10,669,,True,False
