method,protocol,complex_uses,total_energy,scope,source_images,transmissions,psnr_db,psnr_db_ci_low,psnr_db_ci_high,ssim,ssim_ci_low,ssim_ci_high,lpips,lpips_ci_low,lpips_ci_high,dino,dino_ci_low,dino_ci_high
adjscc_c2,common_paid_information,4096,8192,snr_1,100,300,23.537103958129887,22.957079877376554,24.096103564103448,0.6486436438560486,0.6215457512363789,0.6747551881646114,0.39360343871017295,0.36734274856435756,0.4207721905174354,0.4380959272384644,0.4070490741735944,0.46869602839835006
adjscc_c2,common_paid_information,4096,8192,snr_4,100,300,24.828768844604493,24.219324862798057,25.416420338630672,0.7045792593558631,0.6797502401769163,0.7285623731414479,0.33192719213664534,0.30654004278779046,0.3583401698792974,0.5944738668203353,0.5667269396521153,0.6211516853359841
adjscc_c2,common_paid_information,4096,8192,snr_7,100,300,25.914034029642742,25.27147745100658,26.532511492888137,0.7468018709619839,0.7242433944791552,0.7686083709225057,0.29047357468555374,0.2659310458771263,0.31583521359475936,0.699894635081291,0.6743456243524949,0.7241114401196443
adjscc_c2,common_paid_information,4096,8192,snr_13,100,300,27.340381005605064,26.64324938042958,28.01345946311951,0.7913322806358337,0.7708568781465294,0.8110893614441157,0.2502231430013974,0.22655351443837085,0.27515662730733564,0.7931353869040807,0.7723978432516257,0.8128786835372446
adjscc_c2,common_paid_information,4096,8192,snr_19,100,300,27.889063536326088,27.163193413575478,28.586535871505756,0.8066057886679968,0.786620707924167,0.8257706780135631,0.2366931048594415,0.21315993551087253,0.26147354270269463,0.8237376877665521,0.8050498513579374,0.8416684560924766
adjscc_c2,common_paid_information,4096,8192,primary_1_4_7,100,900,24.759968944125706,24.152640333864422,25.340110089619948,0.7000082580579652,0.6752147151157262,0.7240475055724379,0.3386680685107906,0.3133895034599637,0.36504461365213803,0.5774881430466972,0.5512556067415412,0.6032562051380258
adjscc_c2,common_paid_information,4096,8192,high_13_19,100,600,27.614722270965576,26.900799277305616,28.298800859053934,0.7989690346519152,0.7787055267517765,0.8185137943128744,0.24345812393041946,0.21995001544058315,0.26825235291267746,0.8084365373353163,0.7888754021363951,0.8270767123885452
adjscc_c4,common_paid_information,8192,16384,snr_1,100,300,25.852372805277504,25.15060289287568,26.529695850690207,0.735521167318026,0.7125550927718481,0.7578187200725082,0.2655665142896275,0.2439983484178471,0.28783008424037443,0.6692643596728641,0.6421511423960328,0.6952729497676096
adjscc_c4,common_paid_information,8192,16384,snr_4,100,300,27.26602469762166,26.537084402084353,27.97003502813975,0.7902865868806839,0.7706088889390232,0.8092683812479177,0.20590539897481597,0.18750653627173353,0.22508638960930205,0.7867662566900254,0.764572220047315,0.8072847183346749
adjscc_c4,common_paid_information,8192,16384,snr_7,100,300,28.444356244405103,27.69695776923496,29.168264562606808,0.8277757847309111,0.810802845691641,0.8440363937914376,0.16490790705507002,0.14896760323426375,0.18176783370506028,0.8582502930363018,0.8426831886197133,0.8729896503488225
adjscc_c4,common_paid_information,8192,16384,snr_13,100,300,29.962838001251217,29.170621181488052,30.72509596395492,0.8661499307552972,0.8516406930188333,0.8800079756975172,0.12711919971741736,0.11315429631108419,0.14195927988667972,0.9134662320216497,0.9011365644087395,0.9242909585833547
adjscc_c4,common_paid_information,8192,16384,snr_19,100,300,30.5939716720581,29.77050105174383,31.38595516490936,0.8796589759985605,0.8659172961860894,0.8928001433610916,0.11301756612335641,0.09963844284570468,0.12730794290235886,0.9298067214091619,0.9190190463662149,0.9392093715022007
