method,protocol,complex_uses,scope,image_index,image_id,psnr_db,ssim,lpips,dino
adjscc_c2,common_paid_information,4096,snr_1,0,n01440764/ILSVRC2012_val_00003014_n01440764,17.395363489786785,0.4769820769627889,0.4244990050792694,0.27375925580660504
adjscc_c2,common_paid_information,4096,snr_1,1,n01601694/ILSVRC2012_val_00021656_n01601694,23.26654052734375,0.5838620464007059,0.49539777636528015,0.325610210498174
adjscc_c2,common_paid_information,4096,snr_1,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.618335088094074,0.4316886266072591,0.6719500025113424,0.16557060678799948
adjscc_c2,common_paid_information,4096,snr_1,3,n01689811/ILSVRC2012_val_00020598_n01689811,18.642524083455402,0.46618370215098065,0.543968121210734,0.32840340336163837
adjscc_c2,common_paid_information,4096,snr_1,4,n01735189/ILSVRC2012_val_00006699_n01735189,20.531531651814777,0.49236828088760376,0.48408086101214093,0.1793487916390101
adjscc_c2,common_paid_information,4096,snr_1,5,n01744401/ILSVRC2012_val_00032663_n01744401,25.56147066752116,0.5695956349372864,0.5885267853736877,0.30243246754010517
adjscc_c2,common_paid_information,4096,snr_1,6,n01751748/ILSVRC2012_val_00033157_n01751748,23.921904881795246,0.4040645956993103,0.7007028659184774,0.1985288659731547
adjscc_c2,common_paid_information,4096,snr_1,7,n01775062/ILSVRC2012_val_00036589_n01775062,17.714163462320965,0.3714936077594757,0.6494687795639038,0.19700917849938074
adjscc_c2,common_paid_information,4096,snr_1,8,n01843383/ILSVRC2012_val_00005901_n01843383,18.587078094482422,0.4741741716861725,0.47084319591522217,0.5509190559387207
adjscc_c2,common_paid_information,4096,snr_1,9,n01860187/ILSVRC2012_val_00021594_n01860187,19.353260676066082,0.5887657999992371,0.495840589205424,0.2362550993760427
adjscc_c2,common_paid_information,4096,snr_1,10,n01882714/ILSVRC2012_val_00019996_n01882714,22.150157928466797,0.5743285616238912,0.5080978671709696,0.4328319529692332
adjscc_c2,common_paid_information,4096,snr_1,11,n01943899/ILSVRC2012_val_00005706_n01943899,21.363890329996746,0.5008160273234049,0.5313559770584106,0.24230044583479562
adjscc_c2,common_paid_information,4096,snr_1,12,n01955084/ILSVRC2012_val_00001857_n01955084,24.53332010904948,0.64526895682017,0.39518800377845764,0.4863395094871521
adjscc_c2,common_paid_information,4096,snr_1,13,n01983481/ILSVRC2012_val_00019856_n01983481,22.16230074564616,0.5539021293322245,0.31246504187583923,0.29315297305583954
adjscc_c2,common_paid_information,4096,snr_1,14,n02013706/ILSVRC2012_val_00003168_n02013706,19.181903839111328,0.664815882841746,0.317619393269221,0.4886092444260915
adjscc_c2,common_paid_information,4096,snr_1,15,n02027492/ILSVRC2012_val_00007524_n02027492,28.01974105834961,0.7758915821711222,0.33053237199783325,0.6303634842236837
adjscc_c2,common_paid_information,4096,snr_1,16,n02088094/ILSVRC2012_val_00005507_n02088094,22.716732660929363,0.6669568220774332,0.393650343020757,0.14244485398133597
adjscc_c2,common_paid_information,4096,snr_1,17,n02090622/ILSVRC2012_val_00006265_n02090622,18.827672958374023,0.4852445721626282,0.510009378194809,0.3097585638364156
adjscc_c2,common_paid_information,4096,snr_1,18,n02096177/ILSVRC2012_val_00019083_n02096177,24.52828852335612,0.529420534769694,0.5223275025685629,0.20682440201441446
adjscc_c2,common_paid_information,4096,snr_1,19,n02098286/ILSVRC2012_val_00038253_n02098286,27.092992146809895,0.746001402537028,0.2911393344402313,0.42355600992838544
adjscc_c2,common_paid_information,4096,snr_1,20,n02102480/ILSVRC2012_val_00010261_n02102480,27.47942288716634,0.785131553808848,0.30030179023742676,0.5169401466846466
adjscc_c2,common_paid_information,4096,snr_1,21,n02105641/ILSVRC2012_val_00018762_n02105641,21.951189676920574,0.5575100183486938,0.5071629683176676,0.1524089773495992
adjscc_c2,common_paid_information,4096,snr_1,22,n02106550/ILSVRC2012_val_00014315_n02106550,23.201086044311523,0.6371384660402933,0.33723772565523785,0.4256111979484558
adjscc_c2,common_paid_information,4096,snr_1,23,n02107683/ILSVRC2012_val_00010786_n02107683,27.798917134602863,0.7322958509127299,0.452126940091451,0.5547090768814087
adjscc_c2,common_paid_information,4096,snr_1,24,n02110806/ILSVRC2012_val_00030364_n02110806,22.604101816813152,0.655684252580007,0.4151628812154134,0.4187283416589101
adjscc_c2,common_paid_information,4096,snr_1,25,n02113799/ILSVRC2012_val_00007866_n02113799,24.039913813273113,0.5685130755106608,0.5273946126302084,0.15357751895984015
adjscc_c2,common_paid_information,4096,snr_1,26,n02123159/ILSVRC2012_val_00025723_n02123159,19.149552663167317,0.3813253343105316,0.630965014298757,0.46436700224876404
adjscc_c2,common_paid_information,4096,snr_1,27,n02134084/ILSVRC2012_val_00020332_n02134084,25.342987060546875,0.5857715010643005,0.4447612663110097,0.5620187719662985
adjscc_c2,common_paid_information,4096,snr_1,28,n02168699/ILSVRC2012_val_00040132_n02168699,23.05702527364095,0.44704827666282654,0.5211166938145956,0.5563769737879435
adjscc_c2,common_paid_information,4096,snr_1,29,n02233338/ILSVRC2012_val_00016160_n02233338,23.99985694885254,0.6269511381785074,0.4472574293613434,0.33560840288798016
adjscc_c2,common_paid_information,4096,snr_1,30,n02264363/ILSVRC2012_val_00027803_n02264363,29.54291025797526,0.8510324160257975,0.32485416531562805,0.4207925995190938
adjscc_c2,common_paid_information,4096,snr_1,31,n02277742/ILSVRC2012_val_00015608_n02277742,18.398017247517902,0.40814919273058575,0.44319045543670654,0.39820682009061176
adjscc_c2,common_paid_information,4096,snr_1,32,n02325366/ILSVRC2012_val_00024858_n02325366,23.945646286010742,0.7139646410942078,0.29277653495470685,0.544373502333959
adjscc_c2,common_paid_information,4096,snr_1,33,n02398521/ILSVRC2012_val_00018354_n02398521,22.718129475911457,0.544927179813385,0.5618156393369039,0.4719182352224986
adjscc_c2,common_paid_information,4096,snr_1,34,n02410509/ILSVRC2012_val_00022568_n02410509,26.83264096577962,0.7638009389241537,0.3623969753583272,0.5475396712621053
adjscc_c2,common_paid_information,4096,snr_1,35,n02437312/ILSVRC2012_val_00006245_n02437312,18.267744064331055,0.3547641734282176,0.6740162173906962,0.38388675451278687
adjscc_c2,common_paid_information,4096,snr_1,36,n02486410/ILSVRC2012_val_00009799_n02486410,26.560619990030926,0.8152028719584147,0.30598710974057514,0.3949543833732605
adjscc_c2,common_paid_information,4096,snr_1,37,n02509815/ILSVRC2012_val_00014423_n02509815,25.892086029052734,0.7456151843070984,0.34295517206192017,0.5031095743179321
adjscc_c2,common_paid_information,4096,snr_1,38,n02708093/ILSVRC2012_val_00024690_n02708093,23.61810048421224,0.7633614738782247,0.26954832673072815,0.6481770078341166
adjscc_c2,common_paid_information,4096,snr_1,39,n02776631/ILSVRC2012_val_00028186_n02776631,19.443866729736328,0.5486994584401449,0.4361256758371989,0.5071208377679189
adjscc_c2,common_paid_information,4096,snr_1,40,n02788148/ILSVRC2012_val_00012264_n02788148,23.362847010294598,0.6365657250086466,0.4119500517845154,0.6304248174031576
adjscc_c2,common_paid_information,4096,snr_1,41,n02834397/ILSVRC2012_val_00010741_n02834397,25.108421325683594,0.7068797945976257,0.31709132591883343,0.45833708842595416
adjscc_c2,common_paid_information,4096,snr_1,42,n02841315/ILSVRC2012_val_00014601_n02841315,21.98297182718913,0.5680409471193949,0.38906680544217426,0.5600555539131165
adjscc_c2,common_paid_information,4096,snr_1,43,n02910353/ILSVRC2012_val_00017543_n02910353,21.49807357788086,0.6749146183331808,0.3879704376061757,0.5157719055811564
adjscc_c2,common_paid_information,4096,snr_1,44,n02951585/ILSVRC2012_val_00008336_n02951585,26.846797307332356,0.8192080855369568,0.3543884754180908,0.5050618151823679
adjscc_c2,common_paid_information,4096,snr_1,45,n02980441/ILSVRC2012_val_00023472_n02980441,25.779030481974285,0.6053560376167297,0.49389105041821796,0.529494951168696
adjscc_c2,common_paid_information,4096,snr_1,46,n03028079/ILSVRC2012_val_00031446_n03028079,27.691582361857098,0.8175491094589233,0.3328501482804616,0.3601027230421702
adjscc_c2,common_paid_information,4096,snr_1,47,n03109150/ILSVRC2012_val_00032588_n03109150,24.401321411132812,0.6162551442782084,0.4101542830467224,0.4585207899411519
adjscc_c2,common_paid_information,4096,snr_1,48,n03127747/ILSVRC2012_val_00003732_n03127747,21.262664159138996,0.6734617948532104,0.3595494528611501,0.5253449579079946
adjscc_c2,common_paid_information,4096,snr_1,49,n03220513/ILSVRC2012_val_00006359_n03220513,24.30169423421224,0.761109987894694,0.3303262988726298,0.4655284285545349
adjscc_c2,common_paid_information,4096,snr_1,50,n03372029/ILSVRC2012_val_00034937_n03372029,22.10362434387207,0.6797430912653605,0.320513794819514,0.3039539655049642
adjscc_c2,common_paid_information,4096,snr_1,51,n03388549/ILSVRC2012_val_00022928_n03388549,23.844179153442383,0.7421566645304362,0.2532086471716563,0.3658201992511749
adjscc_c2,common_paid_information,4096,snr_1,52,n03424325/ILSVRC2012_val_00006147_n03424325,20.841489791870117,0.6536838213602701,0.38966087500254315,0.7587662935256958
adjscc_c2,common_paid_information,4096,snr_1,53,n03447721/ILSVRC2012_val_00006942_n03447721,22.348483403523762,0.7148695588111877,0.23239315549532572,0.3687247733275096
adjscc_c2,common_paid_information,4096,snr_1,54,n03485794/ILSVRC2012_val_00010782_n03485794,26.28260866800944,0.7810429533322653,0.24472011625766754,0.6122708320617676
adjscc_c2,common_paid_information,4096,snr_1,55,n03527444/ILSVRC2012_val_00035251_n03527444,22.02842966715495,0.49956972400347394,0.4181872109572093,0.4341518481572469
adjscc_c2,common_paid_information,4096,snr_1,56,n03584254/ILSVRC2012_val_00016384_n03584254,28.14828109741211,0.9263471364974976,0.09975156684716542,0.8358311851819357
adjscc_c2,common_paid_information,4096,snr_1,57,n03623198/ILSVRC2012_val_00019928_n03623198,27.95305569966634,0.8535466392834982,0.1824097732702891,0.612687329451243
adjscc_c2,common_paid_information,4096,snr_1,58,n03657121/ILSVRC2012_val_00000359_n03657121,28.180203755696613,0.8565727074941,0.07552094509204228,0.5723310708999634
adjscc_c2,common_paid_information,4096,snr_1,59,n03706229/ILSVRC2012_val_00017460_n03706229,23.624170939127605,0.8228467106819153,0.12012686332066853,0.584153413772583
adjscc_c2,common_paid_information,4096,snr_1,60,n03759954/ILSVRC2012_val_00010804_n03759954,19.153302510579426,0.5529283285140991,0.4008684555689494,0.4842188556989034
adjscc_c2,common_paid_information,4096,snr_1,61,n03775071/ILSVRC2012_val_00002420_n03775071,24.114063262939453,0.723629375298818,0.28491318225860596,0.4824538230895996
adjscc_c2,common_paid_information,4096,snr_1,62,n03782006/ILSVRC2012_val_00004758_n03782006,23.779033025105793,0.6994066039721171,0.4036013384660085,0.25708451867103577
adjscc_c2,common_paid_information,4096,snr_1,63,n03796401/ILSVRC2012_val_00025827_n03796401,25.14383316040039,0.7199481129646301,0.3322928249835968,0.7657583157221476
adjscc_c2,common_paid_information,4096,snr_1,64,n03866082/ILSVRC2012_val_00003554_n03866082,26.21082941691081,0.6675703326861063,0.4313661952813466,0.5162047743797302
adjscc_c2,common_paid_information,4096,snr_1,65,n03876231/ILSVRC2012_val_00022714_n03876231,27.176932017008465,0.8560097614924113,0.23066064715385437,0.24064690371354422
adjscc_c2,common_paid_information,4096,snr_1,66,n03929660/ILSVRC2012_val_00012300_n03929660,26.766037623087566,0.6087783376375834,0.49015475312868756,0.6565904021263123
adjscc_c2,common_paid_information,4096,snr_1,67,n03950228/ILSVRC2012_val_00019039_n03950228,28.17486000061035,0.7556390563646952,0.5011146366596222,0.27389803528785706
adjscc_c2,common_paid_information,4096,snr_1,68,n03977966/ILSVRC2012_val_00027383_n03977966,20.850276311238606,0.6191987991333008,0.39713047941525775,0.3714245756467183
adjscc_c2,common_paid_information,4096,snr_1,69,n03983396/ILSVRC2012_val_00012891_n03983396,25.00418980916341,0.7620066603024801,0.2800121506055196,0.4835299650828044
adjscc_c2,common_paid_information,4096,snr_1,70,n04044716/ILSVRC2012_val_00039752_n04044716,30.47341537475586,0.8762409885724386,0.35328113039334613,0.4445394078890483
adjscc_c2,common_paid_information,4096,snr_1,71,n04067472/ILSVRC2012_val_00007618_n04067472,21.33907636006673,0.5698117017745972,0.4523905813694,0.35063572227954865
adjscc_c2,common_paid_information,4096,snr_1,72,n04111531/ILSVRC2012_val_00013982_n04111531,24.12285041809082,0.6048956910769144,0.5551392634709676,0.49377989768981934
adjscc_c2,common_paid_information,4096,snr_1,73,n04131690/ILSVRC2012_val_00002728_n04131690,27.77967643737793,0.8688061038653055,0.21726310749848685,0.5757081111272176
adjscc_c2,common_paid_information,4096,snr_1,74,n04153751/ILSVRC2012_val_00008426_n04153751,29.22258949279785,0.944456954797109,0.14814496040344238,0.7890436848004659
adjscc_c2,common_paid_information,4096,snr_1,75,n04204347/ILSVRC2012_val_00018921_n04204347,20.412768681844074,0.5497402548789978,0.5401845177014669,0.29207947850227356
adjscc_c2,common_paid_information,4096,snr_1,76,n04235860/ILSVRC2012_val_00004033_n04235860,22.075775782267254,0.4653913974761963,0.4347259799639384,0.34967054923375446
adjscc_c2,common_paid_information,4096,snr_1,77,n04252077/ILSVRC2012_val_00012989_n04252077,23.25239435831706,0.6266462206840515,0.4653884371121724,0.27889375885327655
adjscc_c2,common_paid_information,4096,snr_1,78,n04310018/ILSVRC2012_val_00003156_n04310018,21.7933406829834,0.6031686663627625,0.4205502967039744,0.6142429312070211
adjscc_c2,common_paid_information,4096,snr_1,79,n04328186/ILSVRC2012_val_00014795_n04328186,24.493216196695965,0.8371058901151022,0.16460631787776947,0.5908502737681071
adjscc_c2,common_paid_information,4096,snr_1,80,n04346328/ILSVRC2012_val_00003305_n04346328,21.641249974568684,0.5370137095451355,0.5031959017117819,0.2616484711567561
adjscc_c2,common_paid_information,4096,snr_1,81,n04357314/ILSVRC2012_val_00009430_n04357314,23.447202682495117,0.6457203427950541,0.3315426508585612,0.46862650911013287
adjscc_c2,common_paid_information,4096,snr_1,82,n04371774/ILSVRC2012_val_00030870_n04371774,21.897886276245117,0.4997111161549886,0.5248537063598633,0.23892869551976523
adjscc_c2,common_paid_information,4096,snr_1,83,n04392985/ILSVRC2012_val_00029362_n04392985,24.09598731994629,0.7035087545712789,0.3614269495010376,0.4481396476427714
adjscc_c2,common_paid_information,4096,snr_1,84,n04456115/ILSVRC2012_val_00002331_n04456115,23.892310460408527,0.6879834135373434,0.38511913021405536,0.2787858049074809
adjscc_c2,common_paid_information,4096,snr_1,85,n04485082/ILSVRC2012_val_00000955_n04485082,23.630116780598957,0.753657321135203,0.2259949048360189,0.41676535209019977
adjscc_c2,common_paid_information,4096,snr_1,86,n04515003/ILSVRC2012_val_00002400_n04515003,25.406810760498047,0.7327236334482828,0.21554877857367197,0.38081564505894977
adjscc_c2,common_paid_information,4096,snr_1,87,n04540053/ILSVRC2012_val_00007665_n04540053,23.312119166056316,0.7269042134284973,0.20449951787789664,0.710506816705068
adjscc_c2,common_paid_information,4096,snr_1,88,n04560804/ILSVRC2012_val_00029830_n04560804,21.103421529134113,0.6019273797671,0.3681074380874634,0.610296885172526
adjscc_c2,common_paid_information,4096,snr_1,89,n04596742/ILSVRC2012_val_00007608_n04596742,23.888390858968098,0.6642074187596639,0.33620352546374005,0.5504882136980692
