method,method_complex_uses,control,control_complex_uses,scope,metric,equal_resource,source_images,mean_method_minus_control,ci_low,ci_high,interpretation
adjscc_c2,4096,perceptual_deepjscc,3060,snr_4,ssim,False,100,0.03202488690614701,0.02793181408941745,0.036454465893407666,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,snr_4,lpips,False,100,0.13343693602830173,0.11833431543037294,0.14835077073362962,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,snr_4,dino,False,100,0.03321577355265617,0.01713959801197053,0.048966086277117335,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,snr_7,psnr_db,False,100,0.5585100110371909,0.4775056875546776,0.6334912114143374,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,snr_7,ssim,False,100,0.03964024424552918,0.03513359099874891,0.04432261452823878,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,snr_7,lpips,False,100,0.1239318622276187,0.10922999708075076,0.13859488265650968,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,snr_7,dino,False,100,0.04445539876818657,0.029884065202126928,0.05946255281070866,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,snr_13,psnr_db,False,100,0.8731085586547852,0.7921408398946129,0.9488867429097494,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,snr_13,ssim,False,100,0.04831639111042023,0.043607025809586045,0.05317724741250275,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,snr_13,lpips,False,100,0.11157532221327222,0.09736086291943988,0.12583043352204062,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,snr_13,dino,False,100,0.04798211579521496,0.034200449122736835,0.06316612983743351,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,snr_19,psnr_db,False,100,1.005816472371419,0.912652292092641,1.0974109141031902,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,snr_19,ssim,False,100,0.0522133140762647,0.047370133732756,0.057201296764115506,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,snr_19,lpips,False,100,0.10632190314431984,0.09208130013725409,0.12050795173582933,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,snr_19,dino,False,100,0.05097353935241699,0.037505734975139295,0.06597702524811028,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,primary_1_4_7,psnr_db,False,100,0.38162980397542334,0.29795568439695574,0.4603508486217921,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,primary_1_4_7,ssim,False,100,0.032588044769234124,0.028502492775519687,0.03692996912532383,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,primary_1_4_7,lpips,False,100,0.13337703612943488,0.11850998870811108,0.14809261591649717,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,primary_1_4_7,dino,False,100,0.033061586943351554,0.018340702926740046,0.0475311173441199,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,high_13_19,psnr_db,False,100,0.9394625155131021,0.8535519899527229,1.0222018381754556,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,high_13_19,ssim,False,100,0.05026485259334246,0.04547528517991302,0.055162966178109216,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,high_13_19,lpips,False,100,0.10894861267879603,0.09465490928043924,0.12313577536974721,system_comparison_not_architecture_causality
adjscc_c2,4096,perceptual_deepjscc,3060,high_13_19,dino,False,100,0.04947782757381598,0.03597751072297495,0.0643209050068011,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_1,psnr_db,False,100,5.517642526626587,5.252765319903695,5.775892541329066,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_1,ssim,False,100,0.19642383806407454,0.1829648711966971,0.20979627333395187,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_1,lpips,False,100,0.15693375879277785,0.13618870642036202,0.17841660475078971,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_1,dino,False,100,-0.410584036509196,-0.4408944235264011,-0.3815819663455089,system_comparison_not_architecture_causality
