method,complex_uses,scope,source_images,timing_rows,TX_mean_ms,RX_mean_ms,TX_p95_ms,RX_p95_ms,single_method_peak_allocated_MiB,communication_parameters,NFE_mean,scope_note
adjscc_c2,4096,primary_1_4_7,100,900,3.4731807107325747,24.17080025935623,3.559886015136726,24.238655032240786,269.13134765625,15935028,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
adjscc_c2,4096,high_13_19,100,600,3.466653579719908,24.17012103450058,3.5656867403304204,24.236792749434244,269.13134765625,15935028,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
adjscc_c4,8192,snr_1,100,300,3.3136004401603714,24.248611566824064,3.4098969597835094,24.317908656666987,269.29150390625,15960644,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
adjscc_c4,8192,snr_4,100,300,3.299991200134779,24.247620426273595,3.3884926146129146,24.311385076725855,269.29150390625,15960644,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
adjscc_c4,8192,snr_7,100,300,3.315092381380964,24.255550473074738,3.4159249407821335,24.32149109808961,269.29150390625,15960644,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
adjscc_c4,8192,snr_13,100,300,3.3049640408717096,24.247969947076246,3.3930196295841597,24.313680100021884,269.29150390625,15960644,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
adjscc_c4,8192,snr_19,100,300,3.311235805255516,24.254507467655156,3.40675400220789,24.329318960371893,269.29150390625,15960644,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
adjscc_c4,8192,primary_1_4_7,100,900,3.3095613405587048,24.2505941553908,3.4054148971335962,24.316003831336275,269.29150390625,15960644,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
adjscc_c4,8192,high_13_19,100,600,3.308099923063613,24.2512387073657,3.403522314329166,24.325070763006806,269.29150390625,15960644,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
adjscc_c6,12288,snr_1,100,300,3.3381636199192144,24.306361767230555,3.416964899224695,24.370656489918474,269.45166015625,15986268,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
adjscc_c6,12288,snr_4,100,300,3.327563263689323,24.308558169383712,3.4265357680851594,24.37071438471321,269.45166015625,15986268,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
adjscc_c6,12288,snr_7,100,300,3.334972030230953,24.305797165822394,3.413337546226103,24.370926697156392,269.45166015625,15986268,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
