scope,method,control,metric,source_images,difference_unit,gain,ci_low,ci_high
4,whole_adaptive,wetok_8PSK_FEC,processing_sum_seconds,32,ms_method_minus_control,0.6551891257610492,0.4870155684557176,0.8396981204100469
4,r2__full_grid_innovation,perceptual_deepjscc,TX_seconds,32,ms_method_minus_control,27.114082061719575,27.06021190390402,27.164287284078153
4,r2__full_grid_innovation,perceptual_deepjscc,RX_seconds,32,ms_method_minus_control,36.550581624851475,36.45908478699388,36.68346474255865
4,r2__full_grid_innovation,perceptual_deepjscc,processing_sum_seconds,32,ms_method_minus_control,63.664663686571046,63.52917473456425,63.83554447802074
4,r2__full_grid_innovation,wetok_8PSK_FEC,TX_seconds,32,ms_method_minus_control,-3.084457958721032,-3.1292006706773163,-3.037008025050151
4,r2__full_grid_innovation,wetok_8PSK_FEC,RX_seconds,32,ms_method_minus_control,0.6518449905949328,0.569687508463326,0.7786568388079704
4,r2__full_grid_innovation,wetok_8PSK_FEC,processing_sum_seconds,32,ms_method_minus_control,-2.432612968126099,-2.5474696830428933,-2.2648267131292728
7,whole_adaptive,whole_m7,TX_seconds,32,ms_method_minus_control,1.6059855640075207,1.5768289275077523,1.6371618711483882
7,whole_adaptive,whole_m7,RX_seconds,32,ms_method_minus_control,1.303767635363328,0.961666271624987,1.8427181515524644
7,whole_adaptive,whole_m7,processing_sum_seconds,32,ms_method_minus_control,2.9097531993708503,2.5573483802266628,3.464576108179548
7,whole_adaptive,whole_m8,TX_seconds,32,ms_method_minus_control,1.0020543551642425,0.9719247602712733,1.0354467085752121
7,whole_adaptive,whole_m8,RX_seconds,32,ms_method_minus_control,0.9053644995825978,0.5849280437056826,1.421501922796626
7,whole_adaptive,whole_m8,processing_sum_seconds,32,ms_method_minus_control,1.907418854746843,1.5675956804367774,2.4494618295761943
7,whole_adaptive,whole_m9,TX_seconds,32,ms_method_minus_control,0.012438960311555673,-0.014326752390540692,0.04641900469929733
7,whole_adaptive,whole_m9,RX_seconds,32,ms_method_minus_control,-0.022389051537175193,-0.6014866879733445,0.5984028433961908
7,whole_adaptive,whole_m9,processing_sum_seconds,32,ms_method_minus_control,-0.009950091225618959,-0.6048921172805428,0.6413324780282902
7,whole_adaptive,r2__full_grid_innovation,TX_seconds,32,ms_method_minus_control,-18.452267373504583,-18.48839875788144,-18.414616125680066
