scope,arm,source_images,timed_calls,TX_mean_ms,TX_raw_call_p95_ms,RX_mean_ms,RX_raw_call_p95_ms,processing_sum_mean_ms,processing_sum_raw_call_p95_ms
1,whole_m7,32,96,9.34920740655798,9.499895997578278,61.84473273879121,63.01986125254189,71.19394014534919,72.40232201002073
1,whole_m8,32,96,9.956260801876246,10.138740246475209,62.08234633277243,63.01140849973308,72.03860713464867,73.13281249662396
1,whole_m9,32,96,10.950160573126292,11.255947250901954,62.886870970335934,64.33228925743606,73.83703154346222,75.3221090126317
1,whole_adaptive,32,96,9.3835045410439,9.669781258708099,61.79013739529182,62.86989225191064,71.17364193633571,72.28652549747494
1,r2__full_grid_innovation,32,96,29.38446245934756,29.720966009335825,39.50339790587047,39.8809327489289,68.88786036521803,69.39193174912361
1,perceptual_deepjscc,32,96,2.265020113706366,2.574731995991897,3.0104638854027144,3.0409807441174053,5.27548399910908,5.602309491223423
1,wetok_8PSK_FEC,32,96,32.445809583956965,32.71419300654088,38.97848148881167,39.269788248930126,71.42429107276863,71.91039099780028
4,whole_m7,32,96,9.363340833867067,9.56600650533801,61.90823336419271,63.55558799987193,71.27157419805977,72.91206975787645
4,whole_m8,32,96,9.938155865559867,10.09134150808677,62.24130490727475,63.60544599738205,72.17946077283463,73.62539099267451
4,whole_m9,32,96,10.935518416469373,11.08613949327264,62.85543011487485,63.77060350496322,73.79094853134423,74.63330649989075
4,whole_adaptive,32,96,9.94066147935276,10.092051761603216,62.0962433748294,63.637681494583376,72.03690485418217,73.87568048943649
4,r2__full_grid_innovation,32,96,29.382950562497477,29.645185997651424,39.56615219779754,39.97145875473507,68.949102760295,69.5693677480449
4,perceptual_deepjscc,32,96,2.2688685007778986,2.549538003222551,3.0155705729460656,3.066653502173722,5.284439073723965,5.578610511292936
4,wetok_8PSK_FEC,32,96,32.4674085212185,32.75995674994192,38.91430720720261,39.153257002908504,71.38171572842111,71.79539875141927
7,whole_m7,32,96,9.339305083206757,9.52156399944215,61.66262956276114,62.72716325111105,71.00193464596789,72.02876899464172
7,whole_m8,32,96,9.943236292050036,10.11945600839681,62.06103269854187,62.94618825268117,72.0042689905919,73.00416050929925
7,whole_m9,32,96,10.932851686902723,11.143522493512137,62.98878624966164,63.62926375368261,73.92163793656437,74.76581250011805
7,whole_adaptive,32,96,10.945290647214279,11.075819504185347,62.96639719812447,63.68961200496415,73.91168784533875,74.79380899167154
7,r2__full_grid_innovation,32,96,29.39755802071886,29.606017498736037,39.53420201969493,39.79125724436017,68.93176004041379,69.31880923730205
7,perceptual_deepjscc,32,96,2.241594177273025,2.530219757318264,3.0439130003590735,3.0674907502543647,5.285507177632098,5.560200250329217
7,wetok_8PSK_FEC,32,96,32.45066657291318,32.69175099558197,38.863658395560684,39.03763499693014,71.31432496847387,71.68817551064421
13,whole_m7,32,96,9.369336167461976,9.559017249557655,61.915868979061386,63.445870247960556,71.28520514652337,72.81247574064764
13,whole_m8,32,96,9.964740885152423,10.122263498487882,62.63960930239895,63.54137249945779,72.60435018755136,73.77319323495612
13,whole_m9,32,96,10.95866275015093,11.294811745756306,62.82216754137457,63.93871349064284,73.78083029152549,75.2778847454465
13,whole_adaptive,32,96,10.959570469670629,11.208595504285768,63.47749241679897,64.44584675409715,74.43706288646959,75.28696426015813
13,r2__full_grid_innovation,32,96,29.39492930227061,29.61930899618892,39.5279824898959,39.850793498771964,68.9229117921665,69.45049524802016
13,perceptual_deepjscc,32,96,2.252754802157142,2.5973617484851275,3.0293549466478,3.1234617417794652,5.282109748804942,5.76003550668247
13,wetok_8PSK_FEC,32,96,32.45900044854959,32.72526650107466,39.14920896810751,39.4170992585714,71.60820941665709,72.09365050584893
19,whole_m7,32,96,9.359291822420346,9.536536254017847,61.7135156456546,62.57290525172721,71.07280746807496,72.02962524752365
19,whole_m8,32,96,9.932841562052392,10.11190099598025,62.08927434333115,63.39787300021271,72.02211590538354,73.36936599676847
19,whole_m9,32,96,10.93511188476744,11.10872899153037,62.92385128199385,64.60728500314872,73.85896316676128,75.66698049777187
19,whole_adaptive,32,96,10.935795186469477,11.11274574577692,62.82980455110494,64.34614024328766,73.76559973757443,75.61307674768614
19,r2__full_grid_innovation,32,96,29.37421850159202,29.615293500683038,39.57923050969233,39.970015506696654,68.95344901128433,69.456034751056
19,perceptual_deepjscc,32,96,2.246409228519042,2.5088780021178536,3.0201833545409804,3.06057075431454,5.266592583060023,5.528440997295547
19,wetok_8PSK_FEC,32,96,32.44641920855429,32.65008175003459,38.82257180324207,39.03039225406246,71.26899101179636,71.61777550936677
primary_1_4_7,whole_m7,32,288,9.350617774543935,9.540184149955167,61.80519855524835,63.172933548048604,71.15581632979229,72.60230765168671
