family,budget,renderer,snr_db,mode,frames,source_images,raw_payload_bits,accepted_correct_probability,source_packet_BLER,source_index_goodput,psnr_db,lpips,actual_payload_bits_mean,header_failure_probability,body_crc_failure_given_header_accept
arithmetic,4084,D0,4.0,9,3000,1000,5088,0.9686666666666667,0.031333333333333324,4928.576,20.880155995051066,0.13630873788210254,3988.72,0.0,0.03133333333333333
arithmetic,4084,D0,7.0,7,3000,1000,1860,1.0,0.0,1860.0,17.81330359013875,0.22992090533301235,1540.084,0.0,0.0
arithmetic,4084,D0,7.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396618800163267,0.1738951269723475,2484.81,0.0,0.0
arithmetic,4084,D0,7.0,9,3000,1000,5088,1.0,0.0,5088.0,20.971463291486103,0.1326294781472534,3988.72,0.0,0.0
arithmetic,4084,D0,13.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813303592681883,0.22992090551679334,1540.084,0.0,0.0
arithmetic,4084,D0,13.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396618803977965,0.1738951271250844,2484.81,0.0,0.0
arithmetic,4084,D0,13.0,9,3000,1000,5088,1.0,0.0,5088.0,20.971463276863098,0.1326294781056543,3988.72,0.0,0.0
arithmetic,4084,D0,19.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813303592681883,0.22992090539882581,1540.084,0.0,0.0
arithmetic,4084,D0,19.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396618803977965,0.1738951270841062,2484.81,0.0,0.0
arithmetic,4084,D0,19.0,9,3000,1000,5088,1.0,0.0,5088.0,20.971463276863098,0.13262947810130815,3988.72,0.0,0.0
arithmetic,4084,Dc,1.0,7,3000,1000,1860,1.0,0.0,1860.0,18.47018011569977,0.21466634431357184,1540.084,0.0,0.0
arithmetic,4084,Dc,1.0,8,3000,1000,3060,0.757,0.243,2316.42,19.333687840620676,0.1950426597284774,2484.81,0.0,0.243
arithmetic,4084,Dc,1.0,9,3000,1000,5088,0.007333333333333333,0.9926666666666667,37.312,13.375106887896855,0.48923716667170325,3988.72,0.0,0.9926666666666667
