method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,checkpoint_sha256,psnr_db,lpips_alex,dino_cosine
original_residual_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,16.558792114257812,0.13846102356910706,0.7547128796577454
predicted_innovation_candidate,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,16.60824966430664,0.13806968927383423,0.7410023212432861
original_residual_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,16.64048957824707,0.1333335041999817,0.8285844326019287
predicted_innovation_candidate,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,16.72275733947754,0.13158494234085083,0.8102613687515259
original_residual_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,16.660892486572266,0.13399963080883026,0.8295633792877197
predicted_innovation_candidate,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,16.73284912109375,0.13172543048858643,0.8101975917816162
original_residual_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,16.62042236328125,0.13443148136138916,0.817862331867218
predicted_innovation_candidate,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,16.70297622680664,0.13258762657642365,0.7799209356307983
original_residual_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,True,False,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,21.038705825805664,0.18943919241428375,0.7096133232116699
predicted_innovation_candidate,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,True,False,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,21.06092643737793,0.18688639998435974,0.7528870701789856
original_residual_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,True,False,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,21.589244842529297,0.12875117361545563,0.7351261377334595
predicted_innovation_candidate,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,True,False,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,21.62156867980957,0.12837092578411102,0.7689269781112671
original_residual_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,True,False,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,21.618648529052734,0.14349567890167236,0.7934815883636475
predicted_innovation_candidate,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,True,False,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,21.646230697631836,0.13662055134773254,0.7974305152893066
original_residual_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.13790512084961,0.10461436212062836,0.8118668794631958
predicted_innovation_candidate,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.171016693115234,0.10528339445590973,0.8340636491775513
