source_index,image_id,snr_db,noise_seed,method,repeat,order,position,tx_ms,rx_ms,total_ms
0,n01440764/ILSVRC2012_val_00003014_n01440764,4,2001,arithmetic_N4084_m8_Dc,0,2,10,60.79775502439588,76.98702102061361,137.7847760450095
0,n01440764/ILSVRC2012_val_00003014_n01440764,4,2001,m8_D0,0,2,11,9.767540032044053,59.235475957393646,69.0030159894377
0,n01440764/ILSVRC2012_val_00003014_n01440764,4,2001,m8_Dc_only,0,2,12,9.770186035893857,59.459403972141445,69.2295900080353
0,n01440764/ILSVRC2012_val_00003014_n01440764,4,2001,m8_plus_latent_1024,1,3,0,57.22533504012972,59.5763890305534,116.80172407068312
0,n01440764/ILSVRC2012_val_00003014_n01440764,4,2001,raw_N3060_m8_Dc,1,3,1,9.78163501713425,58.91596793662757,68.69760295376182
0,n01440764/ILSVRC2012_val_00003014_n01440764,4,2001,arithmetic_N3060_m8_Dc,1,3,2,60.84896100219339,76.7233989899978,137.5723599921912
0,n01440764/ILSVRC2012_val_00003014_n01440764,4,2001,raw_N3060_m9_Dc,1,3,3,10.850469931028783,59.4224949600175,70.27296489104629
0,n01440764/ILSVRC2012_val_00003014_n01440764,4,2001,arithmetic_N3060_m9_Dc,1,3,4,77.71147799212486,88.4047569707036,166.11623496282846
0,n01440764/ILSVRC2012_val_00003014_n01440764,4,2001,raw_N3572_m8_Dc,1,3,5,9.825653047300875,59.21234888955951,69.03800193686038
0,n01440764/ILSVRC2012_val_00003014_n01440764,4,2001,arithmetic_N3572_m8_Dc,1,3,6,63.43456998001784,78.2459449255839,141.68051490560174
0,n01440764/ILSVRC2012_val_00003014_n01440764,4,2001,raw_N4084_m8_Dc,1,3,7,9.853229043073952,59.5541219227016,69.40735096577555
0,n01440764/ILSVRC2012_val_00003014_n01440764,4,2001,arithmetic_N4084_m8_Dc,1,3,8,60.7562530785799,77.18740904238075,137.94366212096065
0,n01440764/ILSVRC2012_val_00003014_n01440764,4,2001,m8_D0,1,3,9,9.804531000554562,59.176663053222,68.98119405377656
0,n01440764/ILSVRC2012_val_00003014_n01440764,4,2001,m8_Dc_only,1,3,10,9.770328993909061,59.35287894681096,69.12320794072002
0,n01440764/ILSVRC2012_val_00003014_n01440764,4,2001,m8_receiver_only_refiner,1,3,11,9.806400979869068,60.040051001124084,69.84645198099315
0,n01440764/ILSVRC2012_val_00003014_n01440764,4,2001,m8_plus_latent_512,1,3,12,57.17327701859176,59.381611994467676,116.55488901305944
0,n01440764/ILSVRC2012_val_00003014_n01440764,7,2001,m8_plus_latent_1024,0,4,0,57.15871602296829,59.301562956534326,116.46027897950262
0,n01440764/ILSVRC2012_val_00003014_n01440764,7,2001,raw_N3060_m8_Dc,0,4,1,9.727035998366773,58.638907968997955,68.36594396736473
0,n01440764/ILSVRC2012_val_00003014_n01440764,7,2001,arithmetic_N3060_m8_Dc,0,4,2,66.05644896626472,78.98374297656119,145.0401919428259
0,n01440764/ILSVRC2012_val_00003014_n01440764,7,2001,raw_N3060_m9_Dc,0,4,3,10.80097199883312,60.45436405111104,71.25533604994416
0,n01440764/ILSVRC2012_val_00003014_n01440764,7,2001,arithmetic_N3060_m9_Dc,0,4,4,77.98196305520833,88.35164096672088,166.3336040219292
0,n01440764/ILSVRC2012_val_00003014_n01440764,7,2001,raw_N3572_m8_Dc,0,4,5,9.792582015506923,59.3236549757421,69.11623699124902
0,n01440764/ILSVRC2012_val_00003014_n01440764,7,2001,arithmetic_N3572_m8_Dc,0,4,6,60.91655895579606,76.93732203915715,137.85388099495322
0,n01440764/ILSVRC2012_val_00003014_n01440764,7,2001,raw_N4084_m8_Dc,0,4,7,9.791781078092754,59.237133944407105,69.02891502249986
