method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,enhancement_energy,psnr_db,lpips_alex,dino_cosine,decoder_sha256,protocol_id,model_context_sha256
random_source,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,4084,8168,1,1,True,198,2048.0,15.207419395446777,0.16702023148536682,0.6760885119438171,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2002,4084,8168,1,1,True,173,2048.0,15.264444351196289,0.16499117016792297,0.6820145845413208,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,1,1,True,198,2048.0,15.287723541259766,0.15986303985118866,0.675780177116394,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,1,1,True,173,2048.0,15.334737777709961,0.15846525132656097,0.675491452217102,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,1,1,True,198,2048.0,15.40046215057373,0.15939682722091675,0.759937047958374,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,1,1,True,173,2048.0,15.419239044189453,0.15860065817832947,0.7546284198760986,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,1,1,True,198,2048.0,15.391107559204102,0.1602284014225006,0.6855047941207886,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,1,1,True,173,2048.0,15.411477088928223,0.15966768562793732,0.6872506141662598,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,1,1,True,198,2048.0,15.437150955200195,0.15629088878631592,0.6863160133361816,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,1,1,True,173,2048.0,15.452259063720703,0.15609867870807648,0.6900239586830139,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,1,1,True,198,2048.0,15.457390785217285,0.15724308788776398,0.7430416941642761,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,1,1,True,173,2048.0,15.463260650634766,0.15706276893615723,0.7413269281387329,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,1,1,True,198,2048.0,15.452108383178711,0.1583506166934967,0.7013282179832458,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,1,1,True,173,2048.0,15.458534240722656,0.15818490087985992,0.7064488530158997,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,1,1,True,198,2048.0,15.476945877075195,0.156147763133049,0.707119345664978,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,1,1,True,173,2048.0,15.480222702026367,0.15626636147499084,0.7119550108909607,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,1,0,True,136,2048.0,19.26039695739746,0.18507538735866547,0.7208231091499329,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,1,0,True,114,2047.999755859375,18.795045852661133,0.19479966163635254,0.7103276252746582,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,1,0,True,136,2048.0,21.271543502807617,0.1389048993587494,0.6547435522079468,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,1,0,True,114,2047.999755859375,21.12866973876953,0.14387866854667664,0.7267746925354004,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,1,0,True,136,2048.0,20.735246658325195,0.1697467714548111,0.7943738698959351,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,1,0,True,114,2047.999755859375,20.50482177734375,0.18120263516902924,0.8016840219497681,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,1,1,True,136,2048.0,21.63296890258789,0.11698304116725922,0.7789660692214966,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
