method,source_index,snr_db,seed,repeat,position,tx_ms,rx_ms,total_ms
full_tx_control,11,1.0,2001,0,2,111.19026900269091,113.41888399329036,224.60915299598128
pure_continuous,11,1.0,2001,1,0,7.388512953184545,11.145427939482033,18.53394089266658
full_tx_control,11,1.0,2001,1,1,111.28475796431303,113.50307299289852,224.78783095721155
light_tx,11,1.0,2001,1,2,10.985044995322824,113.5750109096989,124.56005590502173
light_tx,11,4.0,2001,0,0,10.959078907035291,113.80120099056512,124.76027989760041
pure_continuous,11,4.0,2001,0,1,7.393126026727259,11.159165995195508,18.552292021922767
full_tx_control,11,4.0,2001,0,2,111.33727198466659,113.38829400483519,224.72556598950177
pure_continuous,11,4.0,2001,1,0,7.402057060971856,11.177115025930107,18.579172086901963
full_tx_control,11,4.0,2001,1,1,111.05101194698364,113.49809798412025,224.54910993110389
light_tx,11,4.0,2001,1,2,11.063880054280162,113.20392193738371,124.26780199166387
light_tx,11,7.0,2001,0,0,10.954282945021987,113.6846860172227,124.63896896224469
pure_continuous,11,7.0,2001,0,1,7.395160035230219,11.156567954458296,18.551727989688516
full_tx_control,11,7.0,2001,0,2,111.32984701544046,113.5635890532285,224.89343606866896
pure_continuous,11,7.0,2001,1,0,7.388393976725638,11.195351951755583,18.58374592848122
full_tx_control,11,7.0,2001,1,1,110.7576300855726,113.60755003988743,224.36518012546003
light_tx,11,7.0,2001,1,2,11.012102011591196,113.4140359936282,124.4261380052194
light_tx,11,13.0,2001,0,0,10.993611998856068,114.15608797688037,125.14969997573644
pure_continuous,11,13.0,2001,0,1,7.405776996165514,11.191364959813654,18.59714195597917
full_tx_control,11,13.0,2001,0,2,111.65222502313554,113.3810409810394,225.03326600417495
pure_continuous,11,13.0,2001,1,0,7.397613022476435,11.187554919160903,18.585167941637337
full_tx_control,11,13.0,2001,1,1,111.06127698440105,113.13756497111171,224.19884195551276
light_tx,11,13.0,2001,1,2,11.038831085897982,113.25268493965268,124.29151602555066
light_tx,11,19.0,2001,0,0,10.968161979690194,113.46783093176782,124.43599291145802
pure_continuous,11,19.0,2001,0,1,7.437950000166893,11.153285973705351,18.591235973872244
full_tx_control,11,19.0,2001,0,2,111.43540998455137,113.51949896197766,224.95490894652903
pure_continuous,11,19.0,2001,1,0,7.407914963550866,11.179651017300785,18.58756598085165
full_tx_control,11,19.0,2001,1,1,111.0389520181343,113.22166805621237,224.26062007434666
light_tx,11,19.0,2001,1,2,10.935581987723708,113.47993498202413,124.41551696974784
full_tx_control,22,1.0,2001,0,0,111.24518106225878,113.28860907815397,224.53379014041275
light_tx,22,1.0,2001,0,1,10.929109994322062,113.42762806452811,124.35673805885017
pure_continuous,22,1.0,2001,0,2,7.3962180176749825,11.218704981729388,18.61492299940437
light_tx,22,1.0,2001,1,0,11.060253018513322,113.33441699389368,124.394670012407
pure_continuous,22,1.0,2001,1,1,7.424202980473638,11.167777003720403,18.59197998419404
full_tx_control,22,1.0,2001,1,2,112.04774305224419,113.81350096780807,225.86124402005225
full_tx_control,22,4.0,2001,0,0,111.60595901310444,113.6433529900387,225.24931200314313
light_tx,22,4.0,2001,0,1,10.952017968520522,115.0260609574616,125.97807892598212
pure_continuous,22,4.0,2001,0,2,7.407419034279883,11.164090014062822,18.571509048342705
light_tx,22,4.0,2001,1,0,10.97208191640675,113.82448801305145,124.7965699294582
pure_continuous,22,4.0,2001,1,1,7.413170067593455,11.20387704577297,18.617047113366425
full_tx_control,22,4.0,2001,1,2,111.24316102359444,113.48342301789671,224.72658404149115
full_tx_control,22,7.0,2001,0,0,111.12703499384224,114.0340140555054,225.16104904934764
light_tx,22,7.0,2001,0,1,11.038142023608088,113.65928791929036,124.69742994289845
pure_continuous,22,7.0,2001,0,2,7.387634017504752,11.15843199659139,18.54606601409614
light_tx,22,7.0,2001,1,0,10.96492598298937,113.63899300340563,124.603918986395
pure_continuous,22,7.0,2001,1,1,7.397053996101022,11.165532981976867,18.56258697807789
full_tx_control,22,7.0,2001,1,2,111.99661996215582,113.84449596516788,225.8411159273237
full_tx_control,22,13.0,2001,0,0,111.53084295801818,113.69324696715921,225.2240899251774
light_tx,22,13.0,2001,0,1,11.001734994351864,114.01089595165104,125.0126309460029
