method,repeat,tx_ms,rx_ms,total_ms
pure_continuous,0,7.521137944422662,11.214348953217268,18.73548689763993
pure_continuous,1,7.45317607652396,11.1964400857687,18.64961616229266
pure_continuous,2,7.440664921887219,11.166391079314053,18.607056001201272
pure_continuous,3,7.433229009620845,11.173077044077218,18.606306053698063
pure_continuous,4,7.43459293153137,11.150553007610142,18.585145939141512
full_tx_control,0,111.42695799935609,113.70263004209846,225.12958804145455
full_tx_control,1,111.33571190293878,113.58110199216753,224.91681389510632
full_tx_control,2,111.1236090073362,113.48814296070486,224.61175196804106
full_tx_control,3,111.15555197466165,113.82871004752815,224.9842620221898
full_tx_control,4,111.19056702591479,113.52628900203854,224.71685602795333
light_tx,0,10.959497070871294,113.85316192172468,124.81265899259597
light_tx,1,10.99751004949212,113.87965199537575,124.87716204486787
light_tx,2,11.023710947483778,113.72138501610607,124.74509596358985
light_tx,3,11.04652404319495,113.46804501954466,124.51456906273961
light_tx,4,11.00350997876376,113.40857902541757,124.41208900418133
