method,source_index,image_id,snr_db,seed,N,E,checkpoint_sha256,decoder_sha256,protocol_id,normalized_latent,header_ok,body_crc_ok,psnr_db,lpips_alex,dino_cosine
pure_continuous,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.4168834984302521,1,not_applicable,18.12096405029297,0.09110558032989502,0.8870714902877808
full_tx_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,0.8838342428207397,1,1,16.294294357299805,0.1516302078962326,0.74666428565979
light_tx,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,0.8933952450752258,1,1,16.163284301757812,0.155814528465271,0.76472008228302
pure_continuous,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.3062712550163269,1,not_applicable,18.68789291381836,0.07923215627670288,0.9088561534881592
full_tx_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,0.8419749736785889,1,1,16.749406814575195,0.13235966861248016,0.8058825731277466
light_tx,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,0.8491819500923157,1,1,16.720735549926758,0.13642612099647522,0.8066682815551758
pure_continuous,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.30663204193115234,1,not_applicable,18.729629516601562,0.07509704679250717,0.8972101211547852
full_tx_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,0.8417672514915466,1,1,16.73892593383789,0.13491228222846985,0.8235875368118286
light_tx,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,0.8497202396392822,1,1,16.66615104675293,0.14010833203792572,0.8396089673042297
pure_continuous,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.30452606081962585,1,not_applicable,18.733531951904297,0.07672861218452454,0.9077984690666199
