step,method,snr_db,mse,lpips_alex,normalized_latent,utility,U_image,header_failures,body_crc_failures
0,H6-P,1,0.03404510760458652,0.589969011793534,0.8723410278633237,0.10176541991035143,0.09304200981557369,0,2816
0,H6-P,4,0.02942287262075115,0.5604946033557257,0.8510492755124967,0.09398282671098908,0.08547233408503234,0,9
0,H6-P,7,0.02941789213300217,0.560457336217165,0.8510303944498301,0.09397393069788813,0.08546362688206136,0,0
0,H6-P,13,0.02941789213300217,0.560457336217165,0.8510303944498301,0.09397393069788813,0.08546362688206136,0,0
0,H6-P,19,0.02941789213300217,0.560457336217165,0.8510303944498301,0.09397393069788813,0.08546362688206136,0,0
0,H6-V,1,0.0313372572720206,0.3248881858314077,1.0779131966133912,0.07460520815135291,0.06382607648335398,0,2816
0,H6-V,4,0.024623520661805134,0.27952531338483094,1.0242635920842489,0.06281868806760758,0.0525760524586464,0,9
0,H6-V,7,0.02461736410798039,0.2794872315749526,1.0242160007357597,0.0628082474200055,0.05256608772557229,0,0
0,H6-V,13,0.02461736410798039,0.2794872315749526,1.0242160007357597,0.0628082474200055,0.05256608772557229,0,0
0,H6-V,19,0.02461736410798039,0.2794872315749526,1.0242160007357597,0.0628082474200055,0.05256608772557229,0,0
2500,H6-P,1,0.010975657499356506,0.1697371959798038,0.6241209026773771,0.03419058632167677,0.0279493774274985,0,2816
2500,H6-P,4,0.007450948586221784,0.1200302853466322,0.5237577942411105,0.024691555172204973,0.019453977310409147,0,9
2500,H6-P,7,0.0067238764431288775,0.10965851226945718,0.47496122517685097,0.022439340023323893,0.01768972785654478,0,0
2500,H6-P,13,0.006184751372842584,0.10124053993013998,0.4343377547437946,0.020652182994099953,0.01630880554780985,0,0
2500,H6-P,19,0.006047438757377677,0.09847307332543036,0.4225368655100465,0.020120114804555972,0.015894746254120642,0,0
2500,H6-V,1,0.010923364939983003,0.17292658030241728,0.6859871224363645,0.03507589436291406,0.028216023264763256,0,2816
2500,H6-V,4,0.007702566171200791,0.12408935526385903,0.5487087148874998,0.025598588928890723,0.0201115019020314,0,9
2500,H6-V,7,0.006915189326973632,0.11250876893165211,0.4808174973130226,0.02297424128294612,0.018166066411028928,0,0
2500,H6-V,13,0.006314204338734271,0.10329490160010756,0.42700115822752316,0.020913706164651862,0.016643694680261736,0,0
2500,H6-V,19,0.006151197583501925,0.10044485524731378,0.41287731129676103,0.020324456323714307,0.016195683297313128,0,0
5000,H6-P,1,0.010143091609274658,0.1577916582102577,0.5979852300087611,0.03190210986323655,0.02592225767641018,0,2816
5000,H6-P,4,0.006714682478545001,0.10802518183055024,0.4746858252733946,0.022264058970535794,0.017517200842422122,0,9
5000,H6-P,7,0.005936969111130262,0.09598394115145008,0.4082603671575586,0.019617966978345065,0.015535363392205908,0,0
5000,H6-P,13,0.005343819560570409,0.08621730511945983,0.3496840449174245,0.017462390582232427,0.013965550213198489,0,0
5000,H6-P,19,0.005194130483820724,0.08334196060647567,0.3316878931472699,0.016845205559628085,0.013528326694077502,0,0
