step,selection_utility,U_image,mse,lpips_alex,normalized_latent
0,0.1659745036597053,0.15304627591023842,0.07928834246248007,0.7375793193300565,1.292822802635034
2500,0.03575581059573839,0.0292250068377393,0.010962564467890965,0.18262442063763737,0.6530803892751534
5000,0.03280507332530493,0.026611974943537887,0.010054660265985876,0.16557314390105507,0.6193098510002096
7500,0.03151540155597031,0.025511646249673017,0.009676503680855967,0.15835142285823822,0.6003755431726575
10000,0.03110190983687838,0.02517862920208524,0.009585352689629265,0.15593276236715417,0.5923280751163761
12500,0.030320101658534257,0.024470561013417318,0.009229110618393557,0.15241450132889053,0.5849540769656499
15000,0.03018624593348553,0.024371622289468844,0.009269519044148425,0.15102102983680865,0.5814623764961958
17500,0.029956301330402495,0.024172851591790095,0.009143318347039167,0.15029532980881632,0.5783449869091312
20000,0.02970021492034818,0.02397213429113229,0.009070455224878,0.14901678812665245,0.5728080771490931
22500,0.029503530598338695,0.02380350210208756,0.008941686962075377,0.14861814884978036,0.570002862260739
25000,0.029293935543578117,0.023615110306348653,0.00894887078536364,0.14666239258175096,0.5678825353960196
27500,0.029157485852825144,0.023498234817540892,0.008887779943761416,0.14610454616819818,0.5659251150315007
30000,0.029103239191509783,0.023451075207333392,0.008892062460483673,0.1455901250484089,0.5652164107541243
