method,source_index,image_id,snr_db,seed,mse,lpips_alex,normalized_latent,utility,U_image,header_ok,body_crc_ok
P2048,0,n01440764/ILSVRC2012_val_00045866_n01440764,1,4101,0.010847005061805248,0.25538474321365356,0.664283037185669,0.04302830994129181,0.03638548031449318,1,not_applicable
P2048,1,n01443537/ILSVRC2012_val_00044095_n01443537,1,4101,0.011901172809302807,0.22923876345157623,0.7026646137237549,0.041851695626974106,0.034825049340724945,1,not_applicable
P2048,2,n01484850/ILSVRC2012_val_00029481_n01484850,1,4101,0.007173044141381979,0.19542405009269714,0.5370864868164062,0.032086312770843506,0.02671544998884201,1,not_applicable
P2048,3,n01491361/ILSVRC2012_val_00049000_n01491361,1,4101,0.002757292939350009,0.15709659457206726,0.442429780960083,0.022891249507665634,0.018466951325535774,1,not_applicable
P2048,4,n01494475/ILSVRC2012_val_00027283_n01494475,1,4101,0.00730094825848937,0.17370140552520752,0.5382018089294434,0.03005310706794262,0.02467108890414238,1,not_applicable
P2048,5,n01496331/ILSVRC2012_val_00041248_n01496331,1,4101,0.0043483455665409565,0.13745051622390747,0.38136494159698486,0.02190704643726349,0.018093397840857506,1,not_applicable
P2048,6,n01498041/ILSVRC2012_val_00030470_n01498041,1,4101,0.012943146750330925,0.25589555501937866,0.640299916267395,0.04493570327758789,0.03853270411491394,1,not_applicable
P2048,7,n01514668/ILSVRC2012_val_00016052_n01514668,1,4101,0.015164032578468323,0.22745007276535034,0.9388319849967957,0.04729735851287842,0.03790903836488724,1,not_applicable
P2048,8,n01514859/ILSVRC2012_val_00006195_n01514859,1,4101,0.015129109844565392,0.30189746618270874,0.8266599178314209,0.05358545482158661,0.045318856835365295,1,not_applicable
P2048,9,n01518878/ILSVRC2012_val_00033181_n01518878,1,4101,0.009155837818980217,0.19153745472431183,0.5143437385559082,0.033453021198511124,0.02830958366394043,1,not_applicable
P2048,10,n01530575/ILSVRC2012_val_00027374_n01530575,1,4101,0.010972395539283752,0.19919036328792572,1.0652477741241455,0.041543908417224884,0.030891431495547295,1,not_applicable
P2048,11,n01531178/ILSVRC2012_val_00025888_n01531178,1,4101,0.005828882567584515,0.13422070443630219,0.4748515784740448,0.023999469354748726,0.019250953570008278,1,not_applicable
P2048,12,n01532829/ILSVRC2012_val_00030042_n01532829,1,4101,0.0152584258466959,0.1467166543006897,0.5567145347595215,0.035497236996889114,0.02993009239435196,1,not_applicable
P2048,13,n01534433/ILSVRC2012_val_00030911_n01534433,1,4101,0.011217307299375534,0.1739741414785385,0.7498041391372681,0.03611276298761368,0.028614722192287445,1,not_applicable
P2048,14,n01537544/ILSVRC2012_val_00031716_n01537544,1,4101,0.01239809300750494,0.17198726534843445,0.5881738066673279,0.035478558391332626,0.02959682047367096,1,not_applicable
