source_index,image_id,snr_db,noise_seed,N,E,family,sent_mode,received_mode,header_ok,body_crc_ok,source_complete,payload_bits,arithmetic_length_field,source_error,candidate_key,method,psnr_db,lpips_alex,dino_cosine,renderer,policy,selected_mode
1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,3572,7144,raw,8,8,1,1,1,3060,0,,"('raw', '55151c69d6a5a00bd5d75a7f36a03e22891c34849440e1b23e61eda7e96614cc')",raw_N3572_m8_D0,20.23249626159668,0.13815292716026306,0.7056215405464172,D0,reliability,8
1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'c8dafaccec9ff05eb06a9d50e7dae7bdb62d97a2037bfec9095d7b19fc795ca1')",raw_N3572_m9_D0,20.524206161499023,0.12865634262561798,0.8784524202346802,D0,reliability,9
1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'c8dafaccec9ff05eb06a9d50e7dae7bdb62d97a2037bfec9095d7b19fc795ca1')",raw_N3572_m9_D0,20.524206161499023,0.12865634262561798,0.8784524202346802,D0,reliability,9
1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'c8dafaccec9ff05eb06a9d50e7dae7bdb62d97a2037bfec9095d7b19fc795ca1')",raw_N3572_m9_D0,20.524206161499023,0.12865634262561798,0.8784524202346802,D0,reliability,9
1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'c8dafaccec9ff05eb06a9d50e7dae7bdb62d97a2037bfec9095d7b19fc795ca1')",raw_N3572_m9_D0,20.524206161499023,0.1286563277244568,0.8784524202346802,D0,reliability,9
1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'c8dafaccec9ff05eb06a9d50e7dae7bdb62d97a2037bfec9095d7b19fc795ca1')",raw_N3572_m9_D0,20.524206161499023,0.12865634262561798,0.8784524202346802,D0,reliability,9
1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'c8dafaccec9ff05eb06a9d50e7dae7bdb62d97a2037bfec9095d7b19fc795ca1')",raw_N3572_m9_D0,20.524206161499023,0.12865634262561798,0.8784524202346802,D0,reliability,9
1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'c8dafaccec9ff05eb06a9d50e7dae7bdb62d97a2037bfec9095d7b19fc795ca1')",raw_N3572_m9_D0,20.524206161499023,0.12865634262561798,0.8784524202346802,D0,reliability,9
1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'c8dafaccec9ff05eb06a9d50e7dae7bdb62d97a2037bfec9095d7b19fc795ca1')",raw_N3572_m9_D0,20.524206161499023,0.1286563277244568,0.8784524202346802,D0,reliability,9
1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2003,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'c8dafaccec9ff05eb06a9d50e7dae7bdb62d97a2037bfec9095d7b19fc795ca1')",raw_N3572_m9_D0,20.524206161499023,0.12865634262561798,0.8784524202346802,D0,reliability,9
2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2001,3572,7144,raw,7,7,1,1,1,1860,0,,"('raw', 'bf44f5a3501626fef9c63e416d813851201e0da39e6658aca273136a9799291d')",raw_N3572_m7_D0,15.154129028320312,0.37340426445007324,0.8730372786521912,D0,reliability,7
2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2002,3572,7144,raw,7,7,1,1,1,1860,0,,"('raw', 'bf44f5a3501626fef9c63e416d813851201e0da39e6658aca273136a9799291d')",raw_N3572_m7_D0,15.154129028320312,0.37340426445007324,0.8730372786521912,D0,reliability,7
2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2003,3572,7144,raw,7,7,1,1,1,1860,0,,"('raw', 'bf44f5a3501626fef9c63e416d813851201e0da39e6658aca273136a9799291d')",raw_N3572_m7_D0,15.154129028320312,0.37340426445007324,0.8730372786521912,D0,reliability,7
2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2001,3572,7144,raw,8,8,1,1,1,3060,0,,"('raw', '784fc10e5d53951619cb211dcd3fdb29846fac4ddd841299edea2c235728eec7')",raw_N3572_m8_D0,15.881024360656738,0.3094536364078522,0.9003390073776245,D0,reliability,8
2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2002,3572,7144,raw,8,8,1,1,1,3060,0,,"('raw', '784fc10e5d53951619cb211dcd3fdb29846fac4ddd841299edea2c235728eec7')",raw_N3572_m8_D0,15.881024360656738,0.3094536364078522,0.9003390073776245,D0,reliability,8
2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2003,3572,7144,raw,8,8,1,1,1,3060,0,,"('raw', '784fc10e5d53951619cb211dcd3fdb29846fac4ddd841299edea2c235728eec7')",raw_N3572_m8_D0,15.881024360656738,0.3094536364078522,0.9003390073776245,D0,reliability,8
2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2001,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'e65ae79bd3534333918f48bf3aa567d598e6ad9e425ecc75cfbbb904365ef01c')",raw_N3572_m9_D0,16.637897491455078,0.25521984696388245,0.9067087173461914,D0,reliability,9
