family,budget,renderer,policy,source_index,snr_db,psnr_db,lpips_alex,dino_cosine,selected_mode
arithmetic,3572,D0,goodput,0,1.0,12.33504867553711,0.2813071608543396,0.6454495787620544,7
arithmetic,3572,D0,goodput,0,4.0,14.400623321533203,0.16540132959683737,0.7895399928092957,9
arithmetic,3572,D0,goodput,0,7.0,14.76740837097168,0.15156676868597665,0.8782002925872803,9
arithmetic,3572,D0,goodput,0,13.0,14.76740837097168,0.15156676868597665,0.8782002925872803,9
arithmetic,3572,D0,goodput,0,19.0,14.76740837097168,0.15156676868597665,0.8782002925872803,9
arithmetic,3572,D0,goodput,1,1.0,19.626873016357422,0.177059143781662,0.6421431303024292,7
arithmetic,3572,D0,goodput,1,4.0,20.524206161499023,0.12865633765856424,0.8784524202346802,9
arithmetic,3572,D0,goodput,1,7.0,20.524206161499023,0.12865633765856424,0.8784524202346802,9
arithmetic,3572,D0,goodput,1,13.0,20.524206161499023,0.12865633765856424,0.8784524202346802,9
arithmetic,3572,D0,goodput,1,19.0,20.524206161499023,0.12865634262561798,0.8784524202346802,9
arithmetic,3572,D0,goodput,2,1.0,15.154129028320312,0.37340426445007324,0.8730372786521912,7
arithmetic,3572,D0,goodput,2,4.0,14.859903653462728,0.3821420768896739,0.7375371356805166,9
arithmetic,3572,D0,goodput,2,7.0,16.637897491455078,0.25521984696388245,0.9067087173461914,9
arithmetic,3572,D0,goodput,2,13.0,16.637897491455078,0.25521984696388245,0.9067087173461914,9
arithmetic,3572,D0,goodput,2,19.0,16.637897491455078,0.25521984696388245,0.9067087173461914,9
arithmetic,3572,D0,goodput,3,1.0,13.565649032592773,0.2806093096733093,0.8263841271400452,7
arithmetic,3572,D0,goodput,3,4.0,14.544387817382812,0.2326777776082357,0.8347093264261881,9
arithmetic,3572,D0,goodput,3,7.0,15.704376220703125,0.19603008031845093,0.9049654603004456,9
arithmetic,3572,D0,goodput,3,13.0,15.704376220703125,0.19603009025255838,0.9049654603004456,9
arithmetic,3572,D0,goodput,3,19.0,15.704376220703125,0.19603009025255838,0.9049654603004456,9
arithmetic,3572,D0,goodput,4,1.0,15.716838836669922,0.2969245711962382,0.8595544695854187,7
arithmetic,3572,D0,goodput,4,4.0,17.933265686035156,0.17996534705162048,0.9242644906044006,9
arithmetic,3572,D0,goodput,4,7.0,17.933265686035156,0.17996534705162048,0.9242644906044006,9
arithmetic,3572,D0,goodput,4,13.0,17.933265686035156,0.17996534705162048,0.9242644906044006,9
arithmetic,3572,D0,goodput,4,19.0,17.933265686035156,0.17996534705162048,0.9242644906044006,9
arithmetic,3572,D0,goodput,5,1.0,22.051319122314453,0.21365326642990112,0.8297808766365051,7
arithmetic,3572,D0,goodput,5,4.0,23.066692352294922,0.15026476979255676,0.8560503721237183,9
arithmetic,3572,D0,goodput,5,7.0,23.066692352294922,0.15026476979255676,0.8560503721237183,9
arithmetic,3572,D0,goodput,5,13.0,23.066692352294922,0.15026476979255676,0.8560503721237183,9
arithmetic,3572,D0,goodput,5,19.0,23.066692352294922,0.15026476979255676,0.8560503721237183,9
arithmetic,3572,D0,goodput,6,1.0,21.71365737915039,0.2806437909603119,0.8070136308670044,7
arithmetic,3572,D0,goodput,6,4.0,21.24688212076823,0.2895613710085551,0.8052405516306559,9
arithmetic,3572,D0,goodput,6,7.0,22.566015243530273,0.17145907878875732,0.9324827194213867,9
arithmetic,3572,D0,goodput,6,13.0,22.566015243530273,0.17145907878875732,0.9324827194213867,9
arithmetic,3572,D0,goodput,6,19.0,22.566015243530273,0.17145907878875732,0.9324827194213867,9
arithmetic,3572,D0,goodput,7,1.0,13.61967658996582,0.32814526557922363,0.793735146522522,7
arithmetic,3572,D0,goodput,7,4.0,14.690975507100424,0.26186607778072357,0.7957156896591187,9
arithmetic,3572,D0,goodput,7,7.0,15.116445541381836,0.2284837265809377,0.8559284210205078,9
arithmetic,3572,D0,goodput,7,13.0,15.116445541381836,0.2284837265809377,0.8559284210205078,9
arithmetic,3572,D0,goodput,7,19.0,15.116445541381836,0.22848372161388397,0.8559284210205078,9
arithmetic,3572,D0,goodput,8,1.0,13.673247337341309,0.28471553325653076,0.9095737338066101,7
arithmetic,3572,D0,goodput,8,4.0,15.25265375773112,0.21748942136764526,0.908765971660614,9
arithmetic,3572,D0,goodput,8,7.0,16.03847312927246,0.18463578820228577,0.9089347124099731,9
arithmetic,3572,D0,goodput,8,13.0,16.03847312927246,0.18463578820228577,0.9089347124099731,9
arithmetic,3572,D0,goodput,8,19.0,16.03847312927246,0.18463578820228577,0.9089347124099731,9
arithmetic,3572,D0,goodput,9,1.0,14.987019538879395,0.24326059222221375,0.8603636026382446,7
arithmetic,3572,D0,goodput,9,4.0,15.52823289235433,0.20055747528870901,0.8995093107223511,9
arithmetic,3572,D0,goodput,9,7.0,16.46030616760254,0.15909311175346375,0.9155489206314087,9
arithmetic,3572,D0,goodput,9,13.0,16.46030616760254,0.15909311175346375,0.9155489206314087,9
arithmetic,3572,D0,goodput,9,19.0,16.46030616760254,0.15909311175346375,0.9155489206314087,9
arithmetic,3572,D0,goodput,10,1.0,16.346851348876953,0.24061132967472076,0.9603189826011658,7
arithmetic,3572,D0,goodput,10,4.0,17.581246376037598,0.20825159549713135,0.9587013324101766,9
arithmetic,3572,D0,goodput,10,7.0,19.22677230834961,0.13109707832336426,0.9679110050201416,9
arithmetic,3572,D0,goodput,10,13.0,19.22677230834961,0.13109707832336426,0.9679110050201416,9
arithmetic,3572,D0,goodput,10,19.0,19.22677230834961,0.13109707832336426,0.9679110050201416,9
arithmetic,3572,D0,goodput,11,1.0,16.21218490600586,0.2629922330379486,0.8444234132766724,7
arithmetic,3572,D0,goodput,11,4.0,13.631460825602213,0.43353257576624554,0.579870825012525,9
arithmetic,3572,D0,goodput,11,7.0,18.94344711303711,0.17179900407791138,0.9199231863021851,9
arithmetic,3572,D0,goodput,11,13.0,18.94344711303711,0.17179900407791138,0.9199231863021851,9
arithmetic,3572,D0,goodput,11,19.0,18.94344711303711,0.17179900407791138,0.9199231863021851,9
arithmetic,3572,D0,goodput,12,1.0,18.656696319580078,0.2984961271286011,0.888289213180542,7
arithmetic,3572,D0,goodput,12,4.0,18.946038246154785,0.27780720591545105,0.8566667636235555,9
arithmetic,3572,D0,goodput,12,7.0,21.749895095825195,0.17431750893592834,0.9402333498001099,9
arithmetic,3572,D0,goodput,12,13.0,21.749895095825195,0.17431750893592834,0.9402333498001099,9
arithmetic,3572,D0,goodput,12,19.0,21.749895095825195,0.17431750893592834,0.9402333498001099,9
arithmetic,3572,D0,goodput,13,1.0,15.489664077758789,0.3121224343776703,0.8704050779342651,7
arithmetic,3572,D0,goodput,13,4.0,20.474977493286133,0.1688289443651835,0.922906756401062,9
