population,method,sources,N,psnr_db_mean,psnr_db_median,psnr_db_p90,psnr_db_p95,psnr_db_min,psnr_db_max,lpips_alex_mean,lpips_alex_median,lpips_alex_p90,lpips_alex_p95,lpips_alex_min,lpips_alex_max,dino_cosine_mean,dino_cosine_median,dino_cosine_p90,dino_cosine_p95,dino_cosine_min,dino_cosine_max,raw_bits_mean,raw_bits_median,raw_bits_p90,raw_bits_p95,raw_bits_min,raw_bits_max,arithmetic_bits_mean,arithmetic_bits_median,arithmetic_bits_p90,arithmetic_bits_p95,arithmetic_bits_min,arithmetic_bits_max,selected_payload_bits_mean,selected_payload_bits_median,selected_payload_bits_p90,selected_payload_bits_p95,selected_payload_bits_min,selected_payload_bits_max,raw_fallback_fraction
development,D0_F,100,not_applicable_source_reference,21.74421434402466,20.812962532043457,27.189981269836426,29.77655906677246,14.527425765991211,34.08747100830078,0.14904033161699773,0.1445748507976532,0.23708664029836668,0.2667222574353218,0.008800981566309929,0.37603217363357544,0.8815531158447265,0.8856586515903473,0.9677541732788086,0.9761000722646713,0.6214231252670288,0.9910162687301636,,,,,,,,,,,,,,,,,,,
development,D0_Fq,100,not_applicable_source_reference,22.83588849067688,22.660602569580078,27.370833969116212,28.98660364151001,15.95679759979248,31.3367862701416,0.10575142819434405,0.10669323056936264,0.15281156450510025,0.1686172693967819,0.01302122138440609,0.22433610260486603,0.9376831614971161,0.9438800513744354,0.9754222095012665,0.9830784738063812,0.6937648057937622,0.9899264574050903,,,,,,,,,,,,,,,,,,,
development,D0_VAR_m6,100,not_applicable_source_reference,16.593994617462158,16.070820808410645,21.010294723510743,22.75413131713867,11.608077049255371,25.296403884887695,0.2955867325514555,0.3047749102115631,0.3746866047382355,0.4059639811515808,0.04175294190645218,0.4395056962966919,0.7916893666982651,0.8026883006095886,0.908163857460022,0.9169269561767578,0.5080534219741821,0.9707376956939697,,,,,,,,,,,,,,,,,,,
development,D0_VAR_m7,100,not_applicable_source_reference,18.101699466705323,17.486534118652344,21.99358596801758,25.031942653656007,12.33504867553711,27.020519256591797,0.23380434527993202,0.24344468861818314,0.29878018498420716,0.3154516190290451,0.025908805429935455,0.37340426445007324,0.8499016338586807,0.8601678311824799,0.9286492347717286,0.9390174716711044,0.6421431303024292,0.9756616950035095,,,,,,,,,,,,,,,,,,,
development,D0_VAR_m8,100,not_applicable_source_reference,19.69162389755249,19.454011917114258,24.15332489013672,25.22145671844482,13.516948699951172,27.946975708007812,0.1771413299255073,0.1805754378437996,0.24013852328062057,0.255098320543766,0.022170720621943474,0.3094536364078522,0.8897296357154846,0.9005282521247864,0.943275260925293,0.9679573833942413,0.7056215405464172,0.9774685502052307,,,,,,,,,,,,,,,,,,,
development,D0_VAR_m9,100,not_applicable_source_reference,21.243728103637697,20.791760444641113,25.392340660095215,26.823945713043212,14.76740837097168,29.275959014892578,0.1358956214040518,0.1392170563340187,0.19026974141597747,0.20227331817150113,0.021663889288902283,0.2614869773387909,0.9238587486743927,0.9294607639312744,0.9642210602760315,0.9749205321073532,0.8463501930236816,0.9851127862930298,,,,,,,,,,,,,,,,,,,
development,D0_prefix_m6,100,not_applicable_source_reference,16.03007243156433,15.208822250366211,20.09268569946289,21.106068992614745,11.22827434539795,24.54606819152832,0.5310848864912987,0.5371972024440765,0.6369142830371858,0.6900119334459305,0.25449520349502563,0.8690182566642761,0.14854414144530892,0.1253368929028511,0.3099984765052798,0.42237117439508437,-0.09688907116651535,0.6714919805526733,,,,,,,,,,,,,,,,,,,
development,D0_prefix_m7,100,not_applicable_source_reference,17.159341516494752,16.53458881378174,21.180436897277833,22.145997047424316,12.301379203796387,25.62044906616211,0.4113460685312748,0.40850870311260223,0.5128803133964539,0.5438833206892013,0.12023831903934479,0.7580012083053589,0.32005287578329444,0.30477477610111237,0.5810988306999207,0.635593619942665,0.002112945541739464,0.7995948195457458,,,,,,,,,,,,,,,,,,,
development,D0_prefix_m8,100,not_applicable_source_reference,18.50043351173401,17.690277099609375,22.06226482391358,23.955896472930906,13.457229614257812,26.828012466430664,0.3055803369730711,0.3029443472623825,0.39420894980430615,0.43041248321533204,0.07476475834846497,0.6005257368087769,0.548868001550436,0.5933818817138672,0.7951377749443054,0.8256127834320067,0.04406128078699112,0.89316326379776,,,,,,,,,,,,,,,,,,,
development,D0_prefix_m9,100,not_applicable_source_reference,20.267994480133055,19.835888862609863,24.352645492553712,25.675655651092526,14.360860824584961,28.381853103637695,0.20238847933709622,0.20406899601221085,0.2705033868551254,0.2962651193141937,0.05556159466505051,0.3911800980567932,0.7928585761785507,0.8254441320896149,0.9075298845767975,0.9215863943099976,0.25234127044677734,0.951776385307312,,,,,,,,,,,,,,,,,,,
development,Dc_F,100,not_applicable_source_reference,26.472459735870363,26.270889282226562,31.30646629333496,32.940629386901854,18.502948760986328,35.01765823364258,0.05230988709256053,0.04956066235899925,0.07847063168883327,0.09888955168426036,0.008690855465829372,0.13347873091697693,0.9573012858629226,0.9635756015777588,0.9826364278793335,0.9875630855560302,0.860153317451477,0.9910978078842163,,,,,,,,,,,,,,,,,,,
development,Dc_Fq,100,not_applicable_source_reference,23.464584159851075,23.087773323059082,27.818656158447265,29.334841156005858,16.968162536621094,31.728818893432617,0.09887114544399082,0.09901642799377441,0.1420726537704468,0.1547512851655483,0.014282508753240108,0.19793564081192017,0.9141520994901657,0.9248065054416656,0.9663372755050659,0.9772306054830551,0.6605614423751831,0.9842846989631653,,,,,,,,,,,,,,,,,,,
development,Dc_VAR_m6,100,not_applicable_source_reference,17.17391519546509,16.75437831878662,21.73250560760498,22.84678573608398,12.404264450073242,25.586139678955078,0.2783039794489741,0.28633563220500946,0.34847372174263,0.3793281853199005,0.04066060110926628,0.40886855125427246,0.7866010737419128,0.791959822177887,0.9078429400920868,0.9127477884292603,0.5140024423599243,0.9593234658241272,,,,,,,,,,,,,,,,,,,
development,Dc_VAR_m7,100,not_applicable_source_reference,18.75315245628357,18.170109748840332,22.531971168518066,25.783882999420165,13.200809478759766,27.478919982910156,0.21840494509786368,0.22817527502775192,0.27705096900463105,0.2968211263418198,0.028806231915950775,0.3418770432472229,0.8414670485258102,0.8547551333904266,0.9209471642971039,0.9328073859214783,0.6422007083892822,0.9760597348213196,,,,,,,,,,,,,,,,,,,
development,Dc_VAR_m8,100,not_applicable_source_reference,20.39431778907776,19.989113807678223,24.759850120544435,26.1321457862854,14.479000091552734,28.49810791015625,0.16471791435033084,0.16882961243391037,0.21969661712646488,0.23346303179860114,0.023460589349269867,0.2826482355594635,0.8752845221757889,0.8874009847640991,0.9424627125263214,0.953248706459999,0.6649432182312012,0.982438325881958,,,,,,,,,,,,,,,,,,,
development,Dc_VAR_m9,100,not_applicable_source_reference,21.94578254699707,21.560701370239258,25.944234466552736,27.424216270446774,15.693902969360352,29.90966033935547,0.12581100706011056,0.12892018258571625,0.17291680574417115,0.18510720208287235,0.023522794246673584,0.24124202132225037,0.9026284867525101,0.9136080145835876,0.9585683286190033,0.9688898921012878,0.6989802122116089,0.9789661169052124,,,,,,,,,,,,,,,,,,,
development,Dc_prefix_m6,100,not_applicable_source_reference,16.289127616882325,15.579116821289062,20.277239227294924,21.570416927337646,11.845890045166016,24.95490074157715,0.5601410864293576,0.5796796977519989,0.6903748631477356,0.7164651185274123,0.19332848489284515,0.7832616567611694,0.08962251619435847,0.068962462246418,0.2559139847755432,0.3110295653343201,-0.1029927134513855,0.44200390577316284,,,,,,,,,,,,,,,,,,,
development,Dc_prefix_m7,100,not_applicable_source_reference,17.47102506637573,16.8088436126709,21.350900077819826,22.548580360412597,12.709056854248047,25.907550811767578,0.4248281429708004,0.43544551730155945,0.5301852643489838,0.5520954430103302,0.09017188847064972,0.6959214210510254,0.24415455575101078,0.2093503475189209,0.507290256023407,0.6414266675710678,-0.05035872757434845,0.7953307628631592,,,,,,,,,,,,,,,,,,,
development,Dc_prefix_m8,100,not_applicable_source_reference,18.8748015499115,18.185444831848145,22.615909957885744,25.051839065551757,13.83338737487793,27.108116149902344,0.2904283829778433,0.3016647696495056,0.3810001194477082,0.38877350091934204,0.06177240610122681,0.47608327865600586,0.49945152297616,0.5305482745170593,0.7285717725753784,0.849888825416565,0.053079716861248016,0.9085142612457275,,,,,,,,,,,,,,,,,,,
