source_index,image_id,snr_db,noise_seed,N,E,family,sent_mode,received_mode,header_ok,body_crc_ok,source_complete,payload_bits,arithmetic_length_field,source_error,candidate_key,method,psnr_db,lpips_alex,dino_cosine,renderer,policy,selected_mode,seed,preprocessing_id,seed_count,seed_keys,budget
3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2001,3572,7144,arithmetic,9,9,1,0,1,4367,4367,,"('arithmetic', '7a64d86b8d5a39e2710092c688253eaa98bec453a10eff889bf6277ab0cef21a')",arithmetic_N3572_m9_D0,14.544387817382812,0.2326777776082357,0.8347093264261881,D0,goodput,9,2001,,3,"2001,2002,2003",3572
3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2001,3572,7144,arithmetic,9,9,1,1,1,4367,4367,,"('arithmetic', '501417e8d46f4e0915ae3114d3485f8a27b38c9ab87b8a3551f022202a40f82d')",arithmetic_N3572_m9_D0,15.704376220703125,0.19603008031845093,0.9049654603004456,D0,goodput,9,2001,,3,"2001,2002,2003",3572
3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2001,3572,7144,arithmetic,9,9,1,1,1,4367,4367,,"('arithmetic', '501417e8d46f4e0915ae3114d3485f8a27b38c9ab87b8a3551f022202a40f82d')",arithmetic_N3572_m9_D0,15.704376220703125,0.19603009025255838,0.9049654603004456,D0,goodput,9,2001,,3,"2001,2002,2003",3572
3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2001,3572,7144,arithmetic,9,9,1,1,1,4367,4367,,"('arithmetic', '501417e8d46f4e0915ae3114d3485f8a27b38c9ab87b8a3551f022202a40f82d')",arithmetic_N3572_m9_D0,15.704376220703125,0.19603009025255838,0.9049654603004456,D0,goodput,9,2001,,3,"2001,2002,2003",3572
4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2001,3572,7144,arithmetic,7,7,1,1,1,1661,1661,,"('arithmetic', 'a08ab31c6fcb10773a1cfebba5d9e72702836e05559b61e93e362b3b0937b282')",arithmetic_N3572_m7_D0,15.716838836669922,0.2969245711962382,0.8595544695854187,D0,goodput,7,2001,,3,"2001,2002,2003",3572
4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2001,3572,7144,arithmetic,9,9,1,1,1,4253,4253,,"('arithmetic', 'e80ca94a7d42fad8ada771415d17531802d4255c6df958f9b0a92b9ec9f17cb7')",arithmetic_N3572_m9_D0,17.933265686035156,0.17996534705162048,0.9242644906044006,D0,goodput,9,2001,,3,"2001,2002,2003",3572
4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2001,3572,7144,arithmetic,9,9,1,1,1,4253,4253,,"('arithmetic', 'e80ca94a7d42fad8ada771415d17531802d4255c6df958f9b0a92b9ec9f17cb7')",arithmetic_N3572_m9_D0,17.933265686035156,0.17996534705162048,0.9242644906044006,D0,goodput,9,2001,,3,"2001,2002,2003",3572
4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2001,3572,7144,arithmetic,9,9,1,1,1,4253,4253,,"('arithmetic', 'e80ca94a7d42fad8ada771415d17531802d4255c6df958f9b0a92b9ec9f17cb7')",arithmetic_N3572_m9_D0,17.933265686035156,0.17996534705162048,0.9242644906044006,D0,goodput,9,2001,,3,"2001,2002,2003",3572
4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2001,3572,7144,arithmetic,9,9,1,1,1,4253,4253,,"('arithmetic', 'e80ca94a7d42fad8ada771415d17531802d4255c6df958f9b0a92b9ec9f17cb7')",arithmetic_N3572_m9_D0,17.933265686035156,0.17996534705162048,0.9242644906044006,D0,goodput,9,2001,,3,"2001,2002,2003",3572
5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2001,3572,7144,arithmetic,7,7,1,1,1,1518,1518,,"('arithmetic', 'e1e6eb36529be5f183cc187b0ec2434333a4dab7b056fdcdc197f863658b69d3')",arithmetic_N3572_m7_D0,22.051319122314453,0.21365326642990112,0.8297808766365051,D0,goodput,7,2001,,3,"2001,2002,2003",3572
