population,scope,method,control,metric,source_images,selection_data,gain,ci_low,ci_high
development,1.0,arithmetic_quality,r2__full_grid_innovation,dino,100,calibration_only,0.2615898025035858,0.23582215481996535,0.28837885216126835
development,1.0,arithmetic_quality,r3__full_grid_prediction_features,psnr_db,100,calibration_only,-1.5093256918589273,-1.6900881996154784,-1.3214267129898072
development,1.0,arithmetic_quality,r3__full_grid_prediction_features,lpips,100,calibration_only,-0.053942250994344555,-0.060502801213413476,-0.047756736195025344
development,1.0,arithmetic_quality,r3__full_grid_prediction_features,dino,100,calibration_only,0.26434713453054426,0.23910306211685142,0.29039776073147855
development,1.0,arithmetic_quality,perceptual_deepjscc,psnr_db,100,calibration_only,-5.2361939207712815,-5.4858393360773725,-4.982350432793299
development,1.0,arithmetic_quality,perceptual_deepjscc,lpips,100,calibration_only,-0.016355728209018705,-0.02560908814395467,-0.007119946875919899
development,1.0,arithmetic_quality,perceptual_deepjscc,dino,100,calibration_only,0.4315984620588521,0.4027139089734605,0.46049079206725585
development,1.0,arithmetic_quality,wetok_8PSK_FEC,psnr_db,100,calibration_only,8.64832649230957,8.025548519770306,9.29415262567997
development,1.0,arithmetic_quality,wetok_8PSK_FEC,lpips,100,calibration_only,-0.47379694578548276,-0.49698213102358085,-0.45098576628913484
development,1.0,arithmetic_quality,wetok_8PSK_FEC,dino,100,calibration_only,0.8369823239805798,0.8178658988460277,0.8554189038938688
development,4.0,raw_quality,raw_reliability,psnr_db,100,calibration_only,0.0,0.0,0.0
development,4.0,raw_quality,raw_reliability,lpips,100,calibration_only,0.0,0.0,0.0
development,4.0,raw_quality,raw_reliability,dino,100,calibration_only,0.0,0.0,0.0
development,4.0,raw_quality,raw_goodput,psnr_db,100,calibration_only,0.0,0.0,0.0
development,4.0,raw_quality,raw_goodput,lpips,100,calibration_only,0.0,0.0,0.0
development,4.0,raw_quality,raw_goodput,dino,100,calibration_only,0.0,0.0,0.0
development,4.0,arithmetic_quality,arithmetic_reliability,psnr_db,100,calibration_only,0.0,0.0,0.0
development,4.0,arithmetic_quality,arithmetic_reliability,lpips,100,calibration_only,0.0,0.0,0.0
development,4.0,arithmetic_quality,arithmetic_reliability,dino,100,calibration_only,0.0,0.0,0.0
development,4.0,arithmetic_quality,arithmetic_goodput,psnr_db,100,calibration_only,0.0,0.0,0.0
development,4.0,arithmetic_quality,arithmetic_goodput,lpips,100,calibration_only,0.0,0.0,0.0
development,4.0,arithmetic_quality,arithmetic_goodput,dino,100,calibration_only,0.0,0.0,0.0
development,4.0,raw_quality,arithmetic_quality,psnr_db,100,calibration_only,-0.0008103179931640625,-0.0020487467447916786,0.0
development,4.0,raw_quality,arithmetic_quality,lpips,100,calibration_only,7.733901341756139e-06,-3.5865306854248326e-05,5.906701087951674e-05
development,4.0,raw_quality,arithmetic_quality,dino,100,calibration_only,1.9544760386148718e-05,-7.718324661254883e-05,0.00013581752777099497
development,4.0,arithmetic_quality,raw_m7,psnr_db,100,calibration_only,1.5899243068695068,1.443390758752823,1.7374155850410462
